Angle,mic0,mic1,mic2,mic3
39,203.0,332.0,236.0,176.0,
40,210.0,305.0,232.0,164.0,
41,215.0,317.0,239.0,172.0,
42,216.0,328.0,243.0,179.0,
43,217.0,326.0,240.0,177.0,
44,216.0,316.0,240.0,177.0,
45,218.0,317.0,242.0,178.0,
46,218.0,328.0,242.0,180.0,
47,218.0,328.0,244.0,179.0,
48,220.0,328.0,243.0,179.0,
49,218.0,318.0,240.0,178.0,
50,219.0,329.0,242.0,178.0,
51,219.0,326.0,242.0,179.0,
52,218.0,328.0,243.0,179.0,
53,220.0,317.0,242.0,180.0,
54,221.0,329.0,242.0,178.0,
55,219.0,327.0,244.0,179.0,
56,219.0,326.0,240.0,180.0,
57,219.0,323.0,243.0,179.0,
58,218.0,320.0,242.0,178.0,
59,217.0,328.0,243.0,179.0,
