Angle,mic0,mic1,mic2,mic3
39,134.0,121.0,118.0,156.0,
40,129.0,112.0,107.0,143.0,
41,131.0,111.0,97.0,136.0,
42,137.0,110.0,96.0,140.0,
43,135.0,121.0,115.0,152.0,
44,137.0,121.0,115.0,154.0,
45,137.0,112.0,101.0,134.0,
46,153.0,127.0,115.0,154.0,
47,138.0,113.0,101.0,134.0,
48,138.0,121.0,115.0,153.0,
49,136.0,113.0,103.0,133.0,
50,137.0,115.0,102.0,132.0,
51,137.0,120.0,114.0,154.0,
52,138.0,121.0,114.0,154.0,
53,139.0,121.0,115.0,153.0,
54,140.0,120.0,115.0,154.0,
55,139.0,120.0,114.0,154.0,
56,137.0,116.0,104.0,145.0,
57,135.0,116.0,101.0,135.0,
58,135.0,121.0,115.0,153.0,
59,136.0,113.0,100.0,133.0,
