Angle,mic0,mic1,mic2,mic3
39,171.0,248.0,298.0,183.0,
40,167.0,235.0,287.0,161.0,
41,177.0,253.0,298.0,174.0,
42,183.0,257.0,302.0,187.0,
43,179.0,254.0,293.0,170.0,
44,187.0,253.0,300.0,191.0,
45,187.0,261.0,302.0,192.0,
46,186.0,260.0,301.0,180.0,
47,189.0,263.0,297.0,177.0,
48,178.0,259.0,298.0,174.0,
49,186.0,256.0,302.0,192.0,
50,187.0,258.0,301.0,191.0,
51,184.0,257.0,303.0,186.0,
52,189.0,260.0,301.0,191.0,
53,186.0,256.0,303.0,192.0,
54,187.0,257.0,301.0,192.0,
55,187.0,256.0,300.0,191.0,
56,179.0,253.0,293.0,170.0,
57,178.0,252.0,297.0,186.0,
58,179.0,257.0,294.0,171.0,
59,186.0,255.0,303.0,192.0,
