Angle,mic0,mic1,mic2,mic3
39,150.0,124.0,116.0,163.0,
40,154.0,117.0,101.0,154.0,
41,162.0,131.0,114.0,164.0,
42,170.0,136.0,118.0,166.0,
43,169.0,140.0,120.0,164.0,
44,169.0,143.0,123.0,163.0,
46,169.0,146.0,124.0,162.0,
47,168.0,147.0,125.0,159.0,
48,167.0,147.0,124.0,160.0,
49,167.0,148.0,125.0,159.0,
50,167.0,148.0,127.0,158.0,
51,166.0,149.0,126.0,157.0,
52,168.0,147.0,125.0,161.0,
53,167.0,147.0,125.0,160.0,
54,168.0,148.0,125.0,160.0,
55,168.0,148.0,125.0,160.0,
56,168.0,148.0,125.0,159.0,
57,167.0,148.0,125.0,159.0,
58,169.0,149.0,126.0,160.0,
59,167.0,148.0,125.0,160.0,
