Angle,mic0,mic1,mic2,mic3
39,299.0,246.0,191.0,242.0,
40,290.0,219.0,180.0,229.0,
41,312.0,237.0,190.0,255.0,
42,307.0,226.0,193.0,237.0,
43,313.0,238.0,198.0,255.0,
44,312.0,236.0,199.0,252.0,
45,309.0,233.0,201.0,237.0,
46,308.0,234.0,201.0,237.0,
47,308.0,235.0,202.0,236.0,
48,314.0,238.0,201.0,254.0,
49,308.0,238.0,203.0,246.0,
50,314.0,240.0,206.0,255.0,
51,308.0,237.0,204.0,237.0,
52,307.0,236.0,203.0,236.0,
53,314.0,238.0,203.0,254.0,
54,314.0,237.0,202.0,253.0,
55,307.0,235.0,202.0,236.0,
56,308.0,236.0,200.0,234.0,
57,311.0,236.0,200.0,255.0,
58,307.0,235.0,200.0,234.0,
59,313.0,238.0,200.0,255.0,
