Angle,mic0,mic1,mic2,mic3
39,105.0,121.0,146.0,138.0,
40,116.0,124.0,149.0,151.0,
41,119.0,121.0,152.0,148.0,
42,122.0,125.0,150.0,149.0,
43,127.0,129.0,154.0,149.0,
44,128.0,133.0,151.0,149.0,
45,122.0,127.0,145.0,141.0,
46,122.0,128.0,152.0,142.0,
47,123.0,128.0,150.0,142.0,
48,123.0,127.0,148.0,139.0,
49,120.0,125.0,148.0,139.0,
50,120.0,126.0,149.0,139.0,
51,120.0,126.0,148.0,139.0,
52,120.0,127.0,148.0,140.0,
53,121.0,127.0,149.0,140.0,
54,122.0,127.0,149.0,140.0,
55,121.0,127.0,147.0,139.0,
56,121.0,127.0,146.0,138.0,
57,121.0,127.0,148.0,139.0,
58,123.0,129.0,148.0,141.0,
59,120.0,126.0,147.0,140.0,
