step,mic0,mic1,mic2,mic3,
0,6,7,6,6,
1,7,9,8,7,
2,7,8,7,7,
3,4,4,4,4,
4,3,3,3,2,
5,7,7,7,7,
6,9,10,9,9,
7,9,10,10,10,
8,7,8,8,7,
9,4,5,4,4,
10,5,6,5,5,
11,4,4,4,4,
12,1,1,2,2,
13,4,5,4,4,
14,6,6,6,6,
15,5,5,5,5,
16,4,4,3,4,
17,0,1,0,0,
18,2,3,2,2,
19,5,5,5,5,
20,5,6,5,5,
21,2,2,1,1,
22,5,6,5,5,
23,5,6,6,6,
24,5,6,6,5,
25,4,4,4,4,
26,4,4,3,3,
27,5,5,5,4,
28,1,1,1,1,
29,2,2,1,1,
30,2,2,2,2,
31,3,3,3,3,
32,4,3,3,3,
33,6,7,6,6,
34,2,4,4,3,
35,4,4,4,4,
36,3,3,3,3,
37,2,2,3,3,
38,5,5,4,5,
39,8,9,8,7,
40,4,4,4,4,
41,0,1,1,0,
42,3,3,2,3,
43,3,4,4,3,
44,3,3,3,2,
45,1,1,1,1,
46,3,3,3,3,
47,108,125,155,117,
48,108,112,149,104,
49,109,115,147,104,
50,114,118,148,104,
51,120,125,151,109,
52,121,128,156,108,
53,120,130,156,110,
54,119,129,156,108,
55,116,126,152,105,
56,119,128,155,106,
57,120,129,154,107,
58,119,127,152,106,
59,122,130,153,107,
60,120,128,151,104,
61,121,127,151,105,
62,120,127,151,104,
63,119,125,149,102,
64,120,126,151,103,
65,120,127,152,104,
66,121,128,154,104,
67,119,125,152,101,
68,118,123,151,100,
69,117,123,150,99,
70,118,124,152,99,
71,116,123,150,98,
72,117,125,151,98,
73,117,125,152,99,
74,117,126,154,100,
75,117,124,152,99,
76,116,125,152,99,
77,118,127,153,101,
78,118,126,153,101,
79,117,126,153,101,
80,120,129,156,104,
81,123,132,159,108,
82,122,131,158,107,
83,117,126,153,103,
84,116,125,151,101,
85,117,125,152,102,
86,115,124,151,100,
87,115,123,151,100,
88,116,126,152,101,
89,116,125,153,101,
90,117,127,154,103,
91,115,124,152,101,
92,114,123,151,100,
93,114,124,151,100,
94,113,123,151,99,
95,113,122,150,99,
96,116,124,152,100,
97,15,21,10,11,
98,15,21,8,8,
99,9,13,7,6,
100,4,6,6,6,
101,4,4,6,8,
102,3,3,5,5,
103,6,5,7,7,
104,3,4,7,4,
105,2,3,5,2,
106,1,2,4,1,
107,2,2,3,2,
108,1,2,2,1,
109,2,2,2,1,
110,2,3,2,2,
111,3,3,2,2,
112,4,4,4,4,
113,4,4,4,4,
114,2,2,2,3,
115,1,2,1,1,
116,2,2,1,2,
117,2,2,1,2,
118,1,1,1,1,
119,1,1,1,1,
120,1,1,1,1,
121,1,2,1,1,
122,1,1,1,1,
123,1,1,1,0,
124,0,0,0,0,
125,1,2,2,0,
126,1,1,1,1,
127,7,7,9,8,
128,3,3,4,3,
129,2,3,3,3,
130,2,2,3,2,
131,2,1,1,1,
132,1,1,1,1,
133,4,5,5,4,
134,2,2,1,1,
135,1,2,2,2,
136,1,2,1,1,
137,2,2,1,1,
138,1,1,1,1,
139,2,1,2,1,
140,1,1,0,0,
141,1,1,1,0,
142,1,1,1,1,
143,1,1,2,1,
144,2,2,2,2,
145,1,1,1,1,
146,3,3,2,3,
147,1,1,1,1,
148,1,1,1,1,
149,1,1,1,1,
150,1,2,2,2,
151,1,1,2,1,
152,2,3,2,3,
153,1,1,1,1,
154,2,3,3,3,
155,1,1,1,1,
156,2,2,2,2,
157,1,1,1,1,
158,1,1,1,1,
159,5,5,5,5,
160,7,9,7,7,
161,5,6,5,5,
162,5,6,6,5,
163,6,7,6,5,
164,4,4,4,4,
165,7,8,7,7,
166,6,6,6,6,
167,7,7,6,6,
168,7,8,6,5,
169,5,7,5,6,
170,9,9,8,8,
171,6,7,7,7,
172,9,10,9,10,
173,9,9,8,9,
174,9,9,8,9,
175,8,7,6,7,
176,8,8,8,8,
177,9,10,9,9,
178,8,9,8,8,
179,5,5,5,5,
180,3,3,2,3,
181,3,4,4,4,
182,4,4,4,4,
183,4,4,4,4,
184,3,3,3,3,
185,2,2,2,2,
186,5,6,5,5,
187,3,3,5,4,
188,2,2,2,2,
189,2,2,3,3,
190,3,3,3,3,
191,2,4,3,3,
192,3,3,3,3,
193,2,2,2,2,
194,2,2,2,2,
195,3,4,4,3,
196,2,2,2,2,
197,2,2,2,2,
198,1,2,1,2,
199,1,1,1,1,
