Angle,mic0,mic1,mic2,mic3
39,100.0,148.0,158.0,109.0,
40,101.0,125.0,139.0,101.0,
41,106.0,132.0,145.0,108.0,
42,131.0,149.0,158.0,128.0,
43,115.0,142.0,158.0,113.0,
44,108.0,130.0,139.0,102.0,
45,123.0,142.0,157.0,116.0,
46,117.0,129.0,146.0,108.0,
47,110.0,142.0,157.0,112.0,
48,107.0,121.0,142.0,101.0,
49,108.0,143.0,156.0,112.0,
50,119.0,133.0,142.0,113.0,
51,127.0,136.0,153.0,120.0,
52,127.0,135.0,152.0,119.0,
53,130.0,143.0,155.0,122.0,
54,122.0,143.0,157.0,112.0,
55,115.0,123.0,137.0,108.0,
56,117.0,142.0,157.0,111.0,
57,117.0,142.0,156.0,113.0,
58,119.0,140.0,156.0,113.0,
59,119.0,133.0,141.0,111.0,
