step,mic0,mic1,mic2,mic3,
0,5,6,5,5,
1,3,4,4,4,
2,4,4,4,4,
3,5,5,5,4,
4,3,3,4,3,
5,3,4,3,3,
6,2,3,2,3,
7,4,3,4,3,
8,5,5,5,4,
9,5,5,4,5,
10,5,4,4,4,
11,4,4,3,3,
12,2,3,2,2,
13,2,2,3,2,
14,2,3,2,2,
15,2,2,3,2,
16,2,3,3,2,
17,3,2,2,2,
18,2,3,2,2,
19,2,3,3,2,
20,3,4,3,3,
21,3,4,3,3,
22,3,3,4,2,
23,3,3,3,3,
24,3,3,2,2,
25,3,3,3,3,
26,2,2,2,2,
27,2,3,2,2,
28,3,3,3,2,
29,1,1,1,1,
30,1,2,1,1,
31,1,1,1,1,
32,1,1,1,1,
33,1,1,1,1,
34,1,1,1,1,
35,1,1,1,1,
36,1,1,1,1,
37,1,1,1,1,
38,1,1,1,1,
39,2,2,2,2,
40,2,2,2,2,
41,2,2,2,2,
42,2,2,1,3,
43,2,2,2,1,
44,107,134,164,120,
45,90,124,150,104,
46,88,121,143,101,
47,88,117,139,99,
48,88,118,143,102,
49,87,119,145,104,
50,85,115,145,103,
51,86,116,145,103,
52,86,117,145,102,
53,84,117,146,102,
54,83,116,146,100,
55,83,116,145,100,
56,83,116,147,101,
57,84,116,147,101,
58,83,115,146,101,
59,82,116,146,100,
60,82,115,146,101,
61,83,115,146,101,
62,82,116,147,102,
63,81,114,145,101,
64,82,113,146,101,
65,82,113,147,102,
66,83,114,147,103,
67,83,114,146,102,
68,84,114,146,102,
69,83,114,146,102,
70,84,115,146,102,
71,84,115,146,102,
72,84,115,145,102,
73,84,115,145,102,
74,84,116,145,102,
75,85,117,146,103,
76,85,115,146,103,
77,88,119,148,105,
78,88,119,150,108,
79,85,116,145,104,
80,86,116,147,105,
81,85,117,148,105,
82,86,117,147,106,
83,85,116,147,105,
84,85,117,146,105,
85,85,115,145,104,
86,85,114,145,104,
87,85,116,145,104,
88,85,115,145,104,
89,85,115,146,104,
90,86,117,147,105,
91,87,118,147,106,
92,87,120,148,107,
93,88,120,149,107,
94,26,30,32,26,
95,9,10,10,8,
96,7,8,8,7,
97,5,4,9,7,
98,5,3,7,3,
99,8,6,6,5,
100,4,7,6,3,
101,3,3,4,4,
102,2,3,4,3,
103,3,3,4,3,
104,3,3,4,4,
105,2,3,3,3,
106,2,2,2,2,
107,3,2,2,3,
108,4,4,4,4,
109,3,3,3,3,
110,4,4,4,4,
111,2,3,2,2,
112,1,1,1,1,
113,1,2,1,1,
114,1,1,1,1,
115,1,1,1,1,
116,1,2,1,1,
117,2,2,2,2,
118,2,3,2,2,
119,2,3,3,3,
120,3,3,3,3,
121,2,2,1,2,
122,1,1,1,1,
123,1,1,1,1,
124,1,1,1,1,
125,1,1,1,1,
126,0,1,1,0,
127,0,0,0,0,
128,0,1,0,1,
129,1,1,1,1,
130,2,2,2,2,
131,3,4,3,3,
132,4,4,4,4,
133,4,5,3,4,
134,3,3,3,3,
135,3,3,2,2,
136,1,2,1,1,
137,2,3,2,1,
138,2,3,2,2,
139,1,1,1,1,
140,2,3,3,2,
141,2,3,2,2,
142,2,3,3,3,
143,2,3,3,2,
144,3,3,3,3,
145,4,5,4,4,
146,3,3,3,3,
147,2,2,1,2,
148,2,3,2,2,
149,2,3,3,2,
150,4,4,4,4,
151,2,2,2,2,
152,3,4,3,3,
153,3,4,4,3,
154,3,3,3,3,
155,2,2,2,2,
156,2,2,2,2,
157,2,3,3,2,
158,2,2,2,2,
159,2,2,2,2,
160,1,2,1,1,
161,1,1,1,1,
162,1,1,1,1,
163,1,1,1,1,
164,1,1,1,0,
165,0,0,0,0,
166,3,4,4,2,
167,2,1,1,1,
168,1,2,1,1,
169,1,1,1,1,
170,1,1,1,1,
171,1,1,1,1,
172,1,1,1,0,
173,2,2,2,2,
174,1,1,1,1,
175,1,1,1,1,
176,1,2,1,1,
177,1,1,1,1,
178,1,2,2,1,
179,1,1,2,1,
180,1,1,1,1,
181,2,1,2,1,
182,1,1,2,2,
183,4,5,3,3,
184,4,4,5,4,
185,3,3,4,4,
186,4,5,5,5,
187,5,6,5,5,
188,3,4,3,3,
189,3,3,3,3,
190,4,5,4,4,
191,8,8,7,7,
192,5,6,4,5,
193,4,5,5,5,
194,5,5,4,4,
195,4,5,4,4,
196,4,5,3,3,
197,4,3,3,3,
198,4,5,6,4,
199,7,7,5,6,
