Angle,mic0,mic1,mic2,mic3
40,260.0,194.0,196.0,277.0,
41,248.0,201.0,203.0,269.0,
42,248.0,203.0,204.0,270.0,
43,246.0,205.0,206.0,264.0,
44,276.0,210.0,207.0,300.0,
45,246.0,209.0,208.0,270.0,
46,279.0,210.0,209.0,298.0,
47,244.0,211.0,210.0,265.0,
48,276.0,211.0,210.0,299.0,
49,242.0,211.0,208.0,264.0,
50,242.0,212.0,210.0,263.0,
51,279.0,212.0,209.0,297.0,
52,259.0,213.0,210.0,279.0,
53,276.0,212.0,210.0,300.0,
54,277.0,214.0,212.0,299.0,
55,278.0,214.0,212.0,299.0,
56,279.0,213.0,211.0,297.0,
57,276.0,213.0,210.0,299.0,
58,278.0,212.0,210.0,299.0,
59,249.0,211.0,209.0,272.0,
