step,mic0,mic1,mic2,mic3,
0,0,0,0,1,
1,0,0,0,0,
2,1,1,1,1,
3,0,1,1,0,
4,1,0,0,0,
5,0,0,0,0,
6,0,0,1,0,
7,0,0,0,0,
8,0,0,0,0,
9,1,1,0,1,
10,1,1,1,1,
11,0,0,1,0,
12,0,1,1,0,
13,1,0,0,0,
14,0,0,0,0,
15,1,0,0,1,
16,0,0,1,0,
17,0,1,1,0,
18,0,0,1,0,
19,1,1,1,0,
20,0,0,0,0,
21,0,0,0,0,
22,0,0,1,0,
23,0,0,1,1,
24,0,0,1,0,
25,1,0,1,0,
26,1,1,0,0,
27,0,1,1,1,
28,0,0,1,1,
29,1,0,1,1,
30,0,0,0,0,
31,0,0,0,0,
32,0,0,1,0,
33,0,0,0,0,
34,0,0,0,0,
35,1,1,1,0,
36,1,0,1,0,
37,0,0,0,0,
38,1,1,1,0,
39,1,0,0,1,
40,0,0,1,0,
41,0,1,0,0,
42,1,0,1,0,
43,128,187,131,111,
44,123,177,125,103,
45,121,170,116,103,
46,121,165,110,103,
47,124,168,112,106,
48,124,166,110,105,
49,120,164,108,103,
50,122,165,107,103,
51,122,164,107,104,
52,122,164,108,104,
53,122,163,108,104,
54,120,163,107,103,
55,121,163,106,103,
56,120,163,106,102,
57,120,163,107,102,
58,121,163,106,102,
59,121,163,106,102,
60,120,163,106,102,
61,121,163,106,103,
62,120,163,105,103,
63,120,162,106,103,
64,121,163,106,103,
65,121,163,106,102,
66,121,163,106,102,
67,121,163,105,102,
68,120,163,106,102,
69,121,163,105,103,
70,121,163,105,102,
71,121,163,105,102,
72,121,163,105,102,
73,121,163,105,102,
74,121,163,106,103,
75,121,163,105,102,
76,120,163,105,102,
77,121,163,105,103,
78,121,163,105,102,
79,121,163,105,102,
80,121,163,106,103,
81,121,163,105,102,
82,121,163,105,102,
83,121,163,105,102,
84,121,164,105,103,
85,121,163,106,102,
86,121,164,105,102,
87,121,164,105,103,
88,121,163,105,102,
89,121,164,105,102,
90,121,163,106,102,
91,121,163,105,102,
92,121,164,105,103,
93,19,24,16,10,
94,7,8,17,11,
95,4,6,9,3,
96,4,6,6,1,
97,5,5,6,4,
98,4,5,3,2,
99,2,2,2,2,
100,2,3,2,1,
101,2,3,2,2,
102,3,3,3,2,
103,2,2,1,1,
104,1,2,1,1,
105,1,1,1,1,
106,1,1,1,1,
107,1,1,1,1,
108,0,1,1,0,
109,1,1,1,0,
110,1,0,1,0,
111,1,0,0,0,
112,0,0,0,0,
113,0,0,0,0,
114,0,0,1,0,
115,0,0,0,0,
116,0,0,1,1,
117,0,0,1,0,
118,0,0,1,0,
119,0,0,0,0,
120,1,1,1,1,
121,0,1,1,1,
122,0,0,1,0,
123,0,1,0,0,
124,0,0,0,0,
125,0,0,0,1,
126,0,0,0,0,
127,1,1,1,1,
128,0,0,1,0,
129,1,0,1,0,
130,0,0,0,0,
131,0,1,0,0,
132,0,0,1,1,
133,1,0,0,1,
134,1,1,0,0,
135,0,0,1,0,
136,1,0,0,0,
137,0,0,0,0,
138,0,0,1,0,
139,1,0,0,0,
140,0,0,0,0,
141,0,0,0,0,
142,0,0,0,0,
143,0,0,0,0,
144,0,0,0,0,
145,0,0,0,0,
146,0,1,0,1,
147,0,1,1,1,
148,0,0,0,0,
149,0,0,0,1,
150,0,1,1,0,
151,0,1,0,1,
152,1,0,1,0,
153,0,0,0,0,
154,0,0,0,1,
155,0,0,1,0,
156,1,0,0,1,
157,0,0,1,0,
158,0,0,0,0,
159,1,0,0,0,
160,0,0,0,0,
161,0,0,0,0,
162,0,0,0,0,
163,1,0,0,1,
164,0,0,0,0,
165,0,0,0,0,
166,0,0,0,0,
167,1,0,0,0,
168,1,0,0,1,
169,0,1,1,1,
170,1,0,1,0,
171,1,1,1,1,
172,0,1,0,0,
173,0,0,0,0,
174,0,0,0,0,
175,0,1,0,0,
176,0,0,0,0,
177,0,0,0,0,
178,0,0,0,0,
179,0,0,0,0,
180,0,0,0,0,
181,1,0,1,0,
182,1,0,0,0,
183,0,0,0,0,
184,0,0,0,0,
185,0,0,0,0,
186,0,0,0,0,
187,0,0,0,0,
188,0,0,0,0,
189,1,1,1,0,
190,0,1,0,0,
191,0,0,1,0,
192,1,1,0,1,
193,1,0,0,0,
194,0,0,0,1,
195,1,1,1,1,
196,1,0,0,0,
197,0,0,1,0,
198,0,1,0,0,
199,1,0,0,0,
