Angle,mic0,mic1,mic2,mic3
39,279.0,222.0,188.0,260.0,
40,281.0,207.0,197.0,262.0,
41,270.0,207.0,201.0,253.0,
42,299.0,215.0,201.0,276.0,
43,270.0,206.0,204.0,250.0,
44,300.0,220.0,206.0,280.0,
45,270.0,209.0,207.0,248.0,
46,281.0,210.0,208.0,260.0,
47,297.0,219.0,208.0,278.0,
48,272.0,211.0,208.0,249.0,
49,273.0,213.0,209.0,248.0,
50,270.0,213.0,209.0,246.0,
51,301.0,220.0,210.0,280.0,
52,300.0,219.0,211.0,279.0,
53,271.0,213.0,210.0,247.0,
54,279.0,213.0,210.0,257.0,
55,273.0,213.0,210.0,247.0,
56,298.0,220.0,210.0,280.0,
57,300.0,220.0,210.0,280.0,
58,270.0,213.0,210.0,246.0,
59,297.0,220.0,210.0,279.0,
