Angle,mic0,mic1,mic2,mic3
39,105.0,121.0,146.0,138.0,
40,108.0,116.0,145.0,142.0,
41,140.0,146.0,163.0,164.0,
42,122.0,128.0,150.0,148.0,
43,127.0,132.0,153.0,150.0,
44,146.0,146.0,160.0,167.0,
45,132.0,132.0,147.0,146.0,
46,132.0,132.0,144.0,144.0,
47,138.0,139.0,150.0,150.0,
48,129.0,131.0,150.0,146.0,
49,123.0,124.0,144.0,137.0,
50,139.0,137.0,149.0,150.0,
51,133.0,135.0,149.0,145.0,
52,142.0,147.0,147.0,148.0,
53,124.0,128.0,150.0,146.0,
54,132.0,130.0,145.0,144.0,
55,134.0,135.0,150.0,148.0,
56,125.0,134.0,163.0,163.0,
57,125.0,127.0,159.0,162.0,
