step,mic0,mic1,mic2,mic3,
0,1,1,1,0,
1,0,0,0,0,
2,0,0,0,0,
3,0,0,1,1,
4,0,0,1,0,
5,0,1,1,0,
6,0,1,0,0,
7,0,0,1,0,
8,0,1,0,0,
9,0,0,1,0,
10,0,0,0,0,
11,0,0,0,0,
12,0,0,1,0,
13,0,0,0,0,
14,0,1,0,0,
15,0,1,1,0,
16,0,1,1,0,
17,0,1,0,0,
18,0,1,0,0,
19,0,0,1,0,
20,0,0,0,1,
21,0,0,1,0,
22,1,0,0,0,
23,0,0,0,1,
24,0,0,0,0,
25,0,1,1,1,
26,2,3,3,2,
27,2,1,2,1,
28,1,1,1,1,
29,0,1,1,1,
30,1,1,1,1,
31,0,1,1,0,
32,0,1,1,1,
33,0,1,1,1,
34,1,0,0,1,
35,0,1,0,1,
36,0,0,1,0,
37,1,1,0,0,
38,0,0,0,0,
39,0,0,0,0,
40,0,0,0,0,
41,0,1,0,0,
42,0,0,0,0,
43,0,0,0,0,
44,0,1,0,0,
45,112,129,157,137,
46,105,122,150,133,
47,98,117,146,130,
48,100,118,146,128,
49,101,119,148,130,
50,101,118,151,132,
51,101,119,156,135,
52,101,119,156,135,
53,103,122,157,134,
54,101,121,157,134,
55,101,121,157,133,
56,100,118,156,133,
57,99,119,157,133,
58,99,118,157,133,
59,100,118,157,133,
60,100,117,157,132,
61,99,118,157,132,
62,99,117,157,132,
63,99,117,157,132,
64,100,117,156,133,
65,99,118,157,132,
66,99,118,157,133,
67,100,118,158,133,
68,100,118,157,132,
69,99,118,157,133,
70,99,117,157,132,
71,100,118,157,133,
72,100,118,157,133,
73,100,117,157,132,
74,99,117,157,133,
75,99,117,157,133,
76,100,117,157,133,
77,100,117,157,133,
78,99,117,157,132,
79,99,117,157,133,
80,100,117,157,133,
81,99,118,157,133,
82,99,117,157,132,
83,99,117,157,133,
84,100,117,157,133,
85,99,117,157,133,
86,100,117,157,133,
87,99,118,157,133,
88,100,118,157,134,
89,99,118,158,133,
90,100,118,158,133,
91,100,118,158,133,
92,99,118,158,133,
93,99,118,158,133,
94,100,118,158,133,
95,100,118,158,134,
96,12,16,16,16,
97,8,16,19,10,
98,4,12,18,10,
99,3,8,12,8,
100,2,5,9,6,
101,2,2,4,4,
102,3,4,5,4,
103,3,5,6,5,
104,2,4,4,4,
105,1,3,3,2,
106,0,2,2,1,
107,1,3,3,1,
108,1,1,2,1,
109,1,2,2,1,
110,1,1,1,1,
111,1,1,1,0,
112,0,1,1,1,
113,0,0,1,1,
114,0,0,0,0,
115,0,1,1,1,
116,0,0,0,0,
117,0,0,0,1,
118,0,0,1,1,
119,1,1,1,1,
120,0,1,1,0,
121,0,1,0,1,
122,0,0,0,0,
123,0,0,0,0,
124,0,1,1,1,
125,1,1,0,0,
126,0,1,0,1,
127,1,1,1,1,
128,0,1,1,0,
129,0,1,1,1,
130,1,1,1,1,
131,0,0,0,0,
132,1,1,0,0,
133,1,1,1,0,
134,0,0,0,0,
135,1,0,1,0,
136,0,0,1,0,
137,1,1,1,1,
138,0,1,0,0,
139,1,1,1,1,
140,0,1,0,1,
141,1,1,1,1,
142,1,1,1,1,
143,2,2,2,2,
144,1,1,1,1,
145,1,1,1,0,
146,1,0,1,0,
147,0,1,1,1,
148,1,1,1,0,
149,0,0,0,0,
150,0,0,0,0,
151,0,0,0,1,
152,0,0,1,0,
153,0,0,0,0,
154,0,1,1,1,
155,0,1,1,0,
156,0,0,0,0,
157,1,1,1,1,
158,1,1,1,1,
159,1,1,1,1,
160,1,1,1,1,
161,1,0,0,1,
162,0,0,1,1,
163,0,0,0,0,
164,1,0,0,0,
165,0,0,0,0,
166,0,0,0,1,
167,0,0,0,0,
168,0,0,0,0,
169,0,0,0,0,
170,0,0,0,0,
171,0,0,0,0,
172,0,0,1,0,
173,0,0,0,1,
174,0,0,0,0,
175,0,0,0,1,
176,0,0,0,0,
177,1,0,1,1,
178,0,0,0,0,
179,0,0,0,0,
180,1,1,0,1,
181,1,1,0,1,
182,0,0,0,0,
183,0,0,0,0,
184,0,1,1,1,
185,1,0,0,0,
186,0,1,0,0,
187,0,0,0,0,
188,0,0,0,0,
189,0,1,0,0,
190,1,1,1,1,
191,1,1,1,0,
192,0,0,0,0,
193,0,0,0,0,
194,0,0,1,0,
195,1,1,0,1,
196,0,0,0,0,
197,0,0,1,1,
198,0,0,0,0,
199,0,0,0,0,
