step,mic0,mic1,mic2,mic3,
0,6,7,7,6,
1,7,3,8,7,
2,6,7,7,6,
3,8,8,8,7,
4,8,3,9,8,
5,6,7,6,7,
6,7,7,7,6,
7,8,3,8,8,
8,6,6,6,5,
9,8,8,7,8,
10,8,3,8,8,
11,6,7,7,6,
12,8,9,8,8,
13,8,2,7,8,
14,6,6,5,5,
15,7,7,8,7,
16,7,1,8,7,
17,6,6,7,6,
18,6,6,6,6,
19,8,2,8,8,
20,7,8,7,7,
21,6,6,6,6,
22,7,2,8,7,
23,7,8,7,6,
24,8,9,8,7,
25,8,4,8,8,
26,7,9,8,7,
27,6,7,7,6,
28,10,5,10,9,
29,8,7,8,8,
30,14,17,16,13,
31,14,10,13,11,
32,12,14,12,11,
33,12,14,12,10,
34,10,7,11,11,
35,7,6,8,6,
36,10,12,11,10,
37,8,4,9,8,
38,6,3,7,6,
39,8,11,9,8,
40,8,4,8,7,
41,7,5,8,7,
42,10,11,11,9,
43,8,5,8,7,
44,6,3,7,6,
45,203,194,232,268,
46,196,188,224,266,
47,195,192,229,269,
48,196,188,225,272,
49,187,180,221,265,
50,186,183,221,262,
51,188,183,222,263,
52,188,181,220,262,
53,186,180,219,262,
54,188,186,221,261,
55,188,184,221,261,
56,186,185,219,259,
57,189,188,222,261,
58,188,186,222,261,
59,188,189,222,260,
60,191,190,223,262,
61,188,188,219,261,
62,189,189,223,263,
63,192,194,225,266,
64,190,189,223,264,
65,190,190,224,265,
66,192,193,227,268,
67,188,188,221,264,
68,187,185,220,262,
69,189,191,223,263,
70,188,186,220,262,
71,186,184,221,263,
72,191,191,224,265,
73,187,187,221,261,
74,185,186,220,261,
75,186,188,224,261,
76,185,187,220,259,
77,182,184,217,257,
78,186,190,220,259,
79,187,189,221,258,
80,184,188,218,255,
81,191,195,223,261,
82,191,194,222,259,
83,188,190,219,256,
84,192,197,225,261,
85,193,193,224,262,
86,188,189,220,258,
87,194,193,225,264,
88,191,191,223,262,
89,187,185,218,259,
90,189,187,221,259,
91,191,192,221,263,
92,206,208,241,280,
93,211,216,239,280,
94,19,27,20,27,
95,21,24,16,18,
96,16,20,18,18,
97,19,19,16,18,
98,15,14,12,15,
99,14,14,13,16,
100,6,7,8,10,
101,11,10,11,11,
102,8,10,8,8,
103,11,12,10,11,
104,8,6,9,8,
105,4,5,5,4,
106,7,9,8,8,
107,8,5,9,9,
108,6,5,6,5,
109,8,8,8,7,
110,7,3,8,7,
111,6,4,6,5,
112,5,5,5,4,
113,5,2,6,6,
114,6,5,6,5,
115,5,6,6,5,
116,6,2,6,6,
117,6,3,6,6,
118,5,6,5,5,
119,6,1,6,6,
120,6,4,6,6,
121,6,6,6,6,
122,6,2,6,5,
123,5,4,5,6,
124,5,3,5,5,
125,4,4,5,4,
126,5,2,5,5,
127,6,5,6,6,
128,5,6,6,5,
129,5,4,6,5,
130,5,4,5,5,
131,5,5,5,4,
132,6,4,6,5,
133,4,2,4,4,
134,4,5,4,4,
135,4,2,6,5,
136,5,4,5,5,
137,4,5,4,4,
138,4,2,4,5,
139,4,4,5,6,
140,5,6,5,5,
141,5,5,6,5,
142,5,3,5,4,
143,7,8,7,6,
144,8,7,8,7,
145,7,5,7,8,
146,7,7,7,7,
147,7,6,7,7,
148,7,7,7,8,
149,8,9,8,7,
150,5,7,5,5,
151,5,4,7,6,
152,5,6,6,6,
153,6,7,6,6,
154,5,5,5,5,
155,5,5,5,5,
156,6,4,6,5,
157,6,4,6,6,
158,4,5,3,4,
159,4,4,4,5,
160,6,4,6,6,
161,5,5,4,4,
162,5,6,5,4,
163,4,2,4,4,
164,5,6,5,5,
165,5,6,6,6,
166,5,2,5,4,
167,4,4,4,4,
168,4,4,5,4,
169,5,3,6,5,
170,4,4,4,4,
171,5,5,5,4,
172,5,3,5,5,
173,5,6,5,5,
174,7,8,6,7,
175,5,3,5,4,
176,3,4,3,3,
177,5,6,4,4,
178,5,3,6,6,
179,3,3,3,3,
180,3,4,3,4,
181,5,4,5,5,
182,4,4,4,4,
183,7,7,6,6,
184,6,5,5,5,
185,7,8,6,5,
186,9,10,9,9,
187,7,5,7,7,
188,3,4,4,3,
189,5,6,4,5,
190,5,4,6,5,
191,4,5,4,5,
192,4,5,4,5,
193,4,2,3,3,
194,3,4,3,3,
195,5,5,4,5,
196,4,3,4,4,
197,3,3,3,3,
198,2,3,2,2,
199,4,1,4,4,
