step,mic0,mic1,mic2,mic3,
0,2,3,2,2,
1,1,1,1,1,
2,0,1,1,1,
3,1,2,2,2,
4,1,1,0,1,
5,1,0,1,1,
6,1,1,0,0,
7,1,1,2,2,
8,1,1,1,0,
9,1,0,0,0,
10,1,1,1,0,
11,1,1,1,2,
12,0,0,1,0,
13,1,1,1,0,
14,0,0,0,0,
15,0,0,1,1,
16,0,1,1,1,
17,1,1,0,1,
18,2,1,2,2,
19,1,3,2,1,
20,1,1,1,1,
21,9,10,9,8,
22,2,2,2,2,
23,3,4,4,4,
24,2,3,3,2,
25,3,2,3,2,
26,5,6,5,5,
27,3,2,2,3,
28,3,3,3,3,
29,2,2,3,2,
30,4,5,5,4,
31,1,1,1,1,
32,1,2,1,1,
33,1,2,2,2,
34,1,1,1,1,
35,1,1,1,1,
36,1,1,1,1,
37,1,2,2,2,
38,2,2,2,2,
39,2,2,1,2,
40,2,2,1,2,
41,1,1,1,2,
42,1,1,1,1,
43,1,1,1,1,
44,1,2,1,1,
45,2,2,2,2,
46,91,88,81,98,
47,86,81,77,93,
48,84,80,77,93,
49,78,82,79,86,
50,80,85,78,84,
51,82,85,79,88,
52,81,88,82,88,
53,84,89,84,89,
54,81,87,82,88,
55,81,86,81,86,
56,81,85,80,87,
57,81,84,78,86,
58,82,85,78,87,
59,83,86,79,87,
60,83,87,79,87,
61,83,87,78,86,
62,84,88,79,87,
63,83,87,77,87,
64,84,87,78,88,
65,84,88,78,88,
66,83,88,78,89,
67,83,87,78,88,
68,83,88,79,88,
69,83,87,79,87,
70,82,87,79,86,
71,83,87,79,87,
72,82,87,80,87,
73,83,88,81,87,
74,84,88,79,88,
75,84,88,79,89,
76,83,88,78,89,
77,85,89,79,90,
78,85,88,78,90,
79,85,89,79,89,
80,85,90,80,89,
81,84,88,79,88,
82,82,86,78,86,
83,81,84,77,85,
84,81,84,76,85,
85,82,83,76,86,
86,83,84,76,87,
87,84,84,76,87,
88,85,85,75,88,
89,85,86,76,88,
90,86,86,76,89,
91,85,87,77,89,
92,85,87,78,90,
93,84,86,77,89,
94,85,86,78,88,
95,84,87,78,88,
96,64,77,69,62,
97,5,12,8,8,
98,5,16,11,4,
99,9,19,11,4,
100,6,8,6,4,
101,3,4,4,3,
102,2,4,3,3,
103,2,3,3,2,
104,2,2,2,2,
105,3,3,2,2,
106,2,2,2,2,
107,3,3,2,2,
108,3,3,2,2,
109,3,3,2,3,
110,1,1,1,1,
111,1,0,1,0,
112,3,3,3,3,
113,1,2,1,2,
114,1,0,1,1,
115,1,2,2,1,
116,0,1,1,0,
117,0,0,0,1,
118,1,1,1,1,
119,1,2,1,1,
120,0,1,0,0,
121,1,1,0,1,
122,1,1,2,1,
123,1,1,2,1,
124,2,2,2,2,
125,3,3,2,2,
126,1,1,1,1,
127,2,3,2,3,
128,2,3,3,3,
129,1,1,2,2,
130,3,3,2,3,
131,3,4,3,3,
132,2,2,2,1,
133,2,3,2,2,
134,2,2,2,2,
135,1,1,1,1,
136,2,2,2,2,
137,1,2,2,2,
138,1,1,1,1,
139,1,2,1,1,
140,2,2,2,2,
141,2,2,2,2,
142,2,2,1,1,
143,1,2,2,1,
144,1,1,1,1,
145,1,1,0,1,
146,1,1,1,1,
147,1,1,1,1,
148,1,1,1,1,
149,1,1,1,1,
150,1,1,1,1,
151,0,0,0,0,
152,1,2,1,2,
153,1,1,1,1,
154,4,5,4,4,
155,3,3,3,3,
156,1,2,1,1,
157,3,3,3,3,
158,1,2,2,1,
159,2,2,2,2,
160,1,1,1,1,
161,3,3,3,3,
162,1,2,2,2,
163,2,1,1,2,
164,1,2,1,1,
165,2,3,2,2,
166,2,2,3,2,
167,1,1,0,0,
168,1,0,0,0,
169,1,1,1,1,
170,0,0,0,0,
171,0,0,1,1,
172,1,1,1,1,
173,1,0,1,1,
174,1,1,1,0,
175,1,2,1,1,
176,1,1,1,1,
177,3,2,2,3,
178,1,1,0,1,
179,1,0,1,0,
180,3,3,3,3,
181,2,2,2,2,
182,1,1,1,1,
183,1,1,1,1,
184,2,2,2,2,
185,2,2,2,2,
186,1,1,1,1,
187,1,1,1,1,
188,2,1,2,1,
189,2,3,2,2,
190,1,2,1,2,
191,1,2,2,1,
192,1,2,2,1,
193,1,1,1,0,
194,1,1,1,1,
195,2,2,2,2,
196,1,1,1,1,
197,1,2,1,1,
198,0,0,1,0,
199,1,0,1,1,
