step,mic0,mic1,mic2,mic3,
0,0,0,1,0,
1,1,0,1,0,
2,1,0,1,0,
3,1,0,0,0,
4,0,0,0,0,
5,1,1,1,0,
6,1,1,1,0,
7,0,0,0,0,
8,0,0,0,0,
9,0,0,0,0,
10,0,1,0,0,
11,1,1,1,0,
12,0,0,0,0,
13,0,1,0,0,
14,1,1,1,0,
15,0,0,0,0,
16,0,0,0,0,
17,0,1,1,0,
18,1,0,0,0,
19,0,0,1,0,
20,0,0,0,0,
21,0,0,0,0,
22,1,0,1,0,
23,1,0,1,0,
24,1,0,0,0,
25,0,0,0,0,
26,0,0,1,1,
27,0,0,1,0,
28,0,0,1,0,
29,0,0,0,0,
30,0,1,0,0,
31,1,1,1,1,
32,0,0,1,0,
33,0,0,1,0,
34,0,0,1,0,
35,0,0,0,0,
36,0,0,0,0,
37,0,0,1,0,
38,0,1,1,0,
39,0,0,0,0,
40,0,0,0,0,
41,0,0,0,0,
42,1,0,0,0,
43,87,100,111,92,
44,97,106,110,92,
45,100,108,108,95,
46,96,102,107,91,
47,97,103,109,91,
48,99,103,107,91,
49,101,104,105,91,
50,102,104,105,90,
51,103,106,104,91,
52,103,107,104,91,
53,102,106,104,90,
54,102,107,104,90,
55,102,106,103,91,
56,102,106,103,91,
57,102,105,103,91,
58,102,106,104,91,
59,101,106,103,90,
60,101,105,102,90,
61,101,105,103,90,
62,101,105,102,90,
63,101,105,102,90,
64,101,105,103,91,
65,101,105,103,90,
66,101,105,103,91,
67,101,105,103,91,
68,101,105,103,91,
69,101,105,103,91,
70,101,105,103,91,
71,101,104,103,91,
72,101,105,103,91,
73,101,105,103,90,
74,101,106,103,91,
75,102,105,103,91,
76,101,105,103,91,
77,101,105,103,90,
78,101,105,103,91,
79,101,105,103,91,
80,102,105,103,90,
81,101,105,103,91,
82,101,105,104,90,
83,102,105,103,90,
84,101,105,103,91,
85,102,105,103,90,
86,101,105,104,91,
87,101,105,103,91,
88,101,105,102,91,
89,101,105,103,90,
90,101,105,103,90,
91,101,105,103,91,
92,101,104,102,90,
93,16,9,11,9,
94,11,10,17,8,
95,15,14,15,11,
96,12,10,11,5,
97,6,5,6,2,
98,5,4,3,2,
99,2,2,2,1,
100,2,2,3,1,
101,2,1,2,2,
102,2,2,2,2,
103,1,2,2,1,
104,1,2,1,1,
105,1,2,1,1,
106,1,1,1,1,
107,1,1,1,1,
108,1,1,1,1,
109,1,0,1,0,
110,0,0,1,0,
111,1,1,1,0,
112,1,1,1,0,
113,1,1,1,0,
114,1,1,1,0,
115,1,1,1,1,
116,0,1,1,0,
117,0,1,1,1,
118,0,0,0,0,
119,1,0,0,1,
120,0,0,1,0,
121,1,1,0,1,
122,0,1,1,1,
123,1,0,0,0,
124,0,0,0,1,
125,0,0,0,0,
126,0,0,1,0,
127,1,1,1,0,
128,1,0,1,1,
129,1,0,0,0,
130,1,0,1,0,
131,0,0,1,1,
132,0,0,1,1,
133,1,0,1,1,
134,1,1,0,1,
135,0,0,1,0,
136,0,0,0,0,
137,0,0,0,0,
138,0,1,0,0,
139,0,0,1,0,
140,0,0,0,0,
141,1,1,1,0,
142,1,0,0,0,
143,0,0,0,0,
144,1,1,0,1,
145,0,0,0,0,
146,0,0,0,0,
147,1,1,1,0,
148,0,0,1,1,
149,1,1,0,1,
150,1,0,0,0,
151,0,0,1,1,
152,1,0,1,0,
153,1,1,1,1,
154,1,0,1,0,
155,1,1,1,0,
156,1,0,1,1,
157,1,0,0,0,
158,1,0,0,0,
159,1,1,1,1,
160,1,0,1,1,
161,0,1,0,0,
162,1,0,0,0,
163,0,1,0,0,
164,0,0,0,1,
165,0,0,0,0,
166,0,0,0,1,
167,0,0,0,0,
168,1,1,0,1,
169,0,0,0,0,
170,0,0,0,0,
171,0,1,0,0,
172,0,0,1,0,
173,1,0,0,0,
174,0,0,1,0,
175,0,1,1,0,
176,0,0,1,1,
177,0,0,0,0,
178,0,0,1,0,
179,0,0,0,0,
180,0,0,1,0,
181,0,0,1,1,
182,1,1,1,0,
183,0,0,0,0,
184,0,0,0,0,
185,0,1,0,0,
186,0,0,0,0,
187,0,1,0,0,
188,1,1,1,1,
189,0,0,0,1,
190,0,0,0,0,
191,0,0,0,0,
192,1,1,0,0,
193,0,1,0,0,
194,0,0,0,0,
195,0,0,0,1,
196,0,0,0,0,
197,0,0,0,0,
198,0,0,0,0,
199,0,0,1,1,
