Angle,mic0,mic1,mic2,mic3
39,155.0,137.0,116.0,136.0,
40,143.0,139.0,138.0,138.0,
41,159.0,135.0,136.0,149.0,
42,153.0,128.0,138.0,143.0,
43,156.0,132.0,139.0,147.0,
44,154.0,127.0,139.0,143.0,
45,165.0,145.0,150.0,157.0,
46,160.0,136.0,139.0,148.0,
47,159.0,136.0,139.0,149.0,
48,159.0,135.0,139.0,148.0,
49,158.0,135.0,138.0,149.0,
50,158.0,134.0,139.0,145.0,
51,159.0,135.0,137.0,147.0,
52,160.0,136.0,137.0,147.0,
53,155.0,129.0,138.0,145.0,
54,160.0,136.0,137.0,146.0,
55,155.0,126.0,138.0,143.0,
56,157.0,135.0,139.0,146.0,
57,159.0,135.0,137.0,147.0,
58,155.0,129.0,139.0,145.0,
59,159.0,135.0,138.0,148.0,
