step,mic0,mic1,mic2,mic3,
0,0,2,1,1,
1,0,0,0,0,
2,1,1,1,1,
3,0,0,1,0,
4,1,0,1,0,
5,0,0,0,0,
6,0,0,1,0,
7,0,0,1,0,
8,0,0,0,0,
9,0,0,0,0,
10,0,0,1,0,
11,0,0,0,1,
12,16,20,20,17,
13,7,8,7,7,
14,4,3,3,3,
15,1,1,2,1,
16,2,3,3,2,
17,1,2,2,2,
18,1,1,1,1,
19,2,1,2,1,
20,1,1,1,0,
21,0,1,0,1,
22,0,0,0,0,
23,0,0,1,0,
24,1,1,0,0,
25,0,1,1,0,
26,0,1,1,1,
27,0,1,1,0,
28,0,0,0,0,
29,0,0,1,0,
30,0,1,0,0,
31,0,0,0,0,
32,0,0,1,0,
33,0,0,0,0,
34,0,0,0,0,
35,0,0,0,0,
36,0,1,0,0,
37,0,0,1,0,
38,1,0,1,1,
39,0,1,0,0,
40,1,0,0,0,
41,0,0,0,0,
42,0,0,0,0,
43,1,0,0,0,
44,101,97,80,86,
45,96,93,83,83,
46,95,95,76,85,
47,99,97,78,91,
48,99,98,79,90,
49,100,98,79,89,
50,99,96,79,87,
51,100,96,80,88,
52,98,95,80,87,
53,98,95,80,87,
54,97,95,80,87,
55,97,94,79,86,
56,97,95,79,87,
57,98,95,80,88,
58,98,96,80,88,
59,98,95,80,88,
60,98,95,80,88,
61,98,95,80,87,
62,98,95,80,88,
63,98,95,79,87,
64,98,95,79,87,
65,98,95,80,87,
66,98,95,79,87,
67,98,95,79,87,
68,98,95,79,87,
69,98,95,80,88,
70,98,95,79,88,
71,98,96,80,87,
72,98,95,79,87,
73,98,96,79,88,
74,99,96,80,88,
75,98,96,79,89,
76,103,100,85,93,
77,102,99,82,91,
78,102,99,83,92,
79,101,99,83,92,
80,101,99,82,91,
81,101,100,83,91,
82,100,100,83,91,
83,100,100,84,90,
84,98,100,83,88,
85,98,99,83,88,
86,96,97,82,86,
87,97,96,81,85,
88,96,96,81,85,
89,96,96,81,85,
90,96,96,80,86,
91,97,97,81,86,
92,96,97,80,85,
93,96,97,80,87,
94,96,96,80,86,
95,11,8,5,10,
96,8,7,8,8,
97,5,3,8,5,
98,3,4,5,4,
99,3,5,4,3,
100,5,6,4,4,
101,5,4,2,4,
102,2,2,1,1,
103,0,1,1,1,
104,1,2,1,1,
105,0,1,0,1,
106,1,1,0,1,
107,0,1,1,1,
108,0,1,1,1,
109,1,1,0,1,
110,1,0,1,1,
111,0,1,1,1,
112,0,1,0,0,
113,8,10,10,7,
114,8,7,6,6,
115,3,3,3,3,
116,2,2,2,1,
117,3,3,3,2,
118,2,3,2,2,
119,1,1,1,1,
120,3,3,3,3,
121,2,2,2,2,
122,1,1,1,1,
123,0,0,0,0,
124,0,1,0,1,
125,0,0,0,0,
126,1,1,0,1,
127,0,0,0,1,
128,0,0,1,0,
129,1,1,0,1,
130,0,0,0,0,
131,0,1,1,0,
132,1,1,1,1,
133,0,1,1,1,
134,1,1,1,1,
135,0,0,0,0,
136,0,0,1,0,
137,0,0,0,1,
138,0,0,0,0,
139,0,0,1,0,
140,0,0,0,0,
141,0,0,0,0,
142,0,1,0,0,
143,0,0,0,0,
144,1,0,1,0,
145,0,0,0,0,
146,0,1,0,0,
147,0,0,0,0,
148,0,0,0,0,
149,0,0,0,0,
150,0,0,0,0,
151,0,0,0,0,
152,0,0,0,0,
153,0,0,0,0,
154,1,0,0,0,
155,0,1,1,0,
156,0,0,0,0,
157,0,0,0,0,
158,0,0,0,0,
159,0,0,0,0,
160,0,0,0,0,
161,0,0,0,0,
162,0,0,0,0,
163,0,0,0,0,
164,0,1,0,0,
165,0,0,0,0,
166,0,0,0,0,
167,0,0,0,0,
168,0,0,0,0,
169,0,0,0,0,
170,0,0,0,0,
171,0,0,0,0,
172,0,0,0,0,
173,0,0,0,0,
174,0,0,0,0,
175,0,0,0,0,
176,0,0,0,0,
177,0,0,0,0,
178,0,0,1,0,
179,0,0,0,0,
180,1,1,0,0,
181,0,1,0,0,
182,0,1,0,1,
183,0,0,0,0,
184,0,1,0,0,
185,0,0,0,0,
186,0,0,0,0,
187,0,0,0,0,
188,0,0,0,0,
189,0,0,0,0,
190,0,0,0,0,
191,0,0,0,0,
192,0,0,0,0,
193,0,0,0,0,
194,0,0,0,0,
195,0,0,0,0,
196,0,0,0,0,
197,0,0,0,0,
198,0,0,0,0,
199,0,0,0,0,
