step,mic0,mic1,mic2,mic3,
0,6,7,7,6,
1,5,6,5,6,
2,6,7,6,5,
3,4,4,4,4,
4,3,4,4,3,
5,1,2,1,2,
6,2,3,3,3,
7,2,2,3,2,
8,2,2,2,2,
9,1,1,1,1,
10,1,1,1,1,
11,0,1,1,1,
12,1,2,2,2,
13,0,1,1,1,
14,2,3,2,2,
15,4,5,4,4,
16,3,4,3,3,
17,1,1,1,1,
18,3,3,3,3,
19,2,2,2,1,
20,0,1,1,1,
21,2,2,2,2,
22,2,2,2,2,
23,2,2,2,2,
24,1,1,1,1,
25,1,2,1,1,
26,2,1,2,2,
27,1,1,1,1,
28,1,1,0,0,
29,1,1,1,1,
30,1,1,1,1,
31,1,1,1,1,
32,2,2,2,2,
33,2,2,1,1,
34,1,1,1,1,
35,1,1,1,1,
36,2,2,2,2,
37,1,1,1,1,
38,0,1,1,0,
39,1,1,2,1,
40,1,1,1,2,
41,0,1,1,1,
42,1,1,1,1,
43,0,0,0,0,
44,1,1,1,1,
45,1,1,1,1,
46,111,157,157,113,
47,102,164,162,99,
48,95,154,153,97,
49,97,154,152,96,
50,94,152,148,94,
51,93,152,147,91,
52,91,149,147,92,
53,92,149,146,91,
54,93,149,146,94,
55,94,149,146,93,
56,92,147,144,92,
57,92,146,143,92,
58,94,147,144,93,
59,93,146,143,92,
60,94,146,143,93,
61,92,145,143,92,
62,93,145,144,92,
63,93,145,143,92,
64,93,147,145,93,
65,93,147,144,92,
66,95,149,146,94,
67,94,147,145,93,
68,95,148,146,94,
69,94,147,145,93,
70,95,147,146,94,
71,95,149,147,94,
72,95,148,146,94,
73,94,147,146,94,
74,97,150,149,95,
75,94,148,147,93,
76,94,148,147,94,
77,94,148,146,94,
78,95,148,147,94,
79,95,148,146,94,
80,94,148,147,94,
81,95,148,146,94,
82,94,148,146,93,
83,95,148,146,94,
84,94,148,146,93,
85,95,149,147,95,
86,95,149,147,95,
87,95,149,147,94,
88,95,149,148,95,
89,95,150,148,95,
90,95,149,146,94,
91,94,148,146,94,
92,94,149,147,94,
93,95,149,147,95,
94,95,149,147,94,
95,96,150,148,94,
96,11,22,18,10,
97,3,11,10,3,
98,4,10,8,3,
99,3,7,5,2,
100,3,9,6,4,
101,5,8,7,4,
102,4,6,5,4,
103,3,6,6,3,
104,2,5,5,3,
105,1,2,3,1,
106,1,1,1,1,
107,1,2,1,1,
108,2,2,2,1,
109,2,4,3,2,
110,2,2,2,2,
111,3,3,3,2,
112,2,2,1,2,
113,2,2,2,2,
114,2,2,2,2,
115,1,1,1,1,
116,1,1,1,1,
117,1,1,2,1,
118,1,1,1,1,
119,0,1,1,0,
120,2,2,2,2,
121,2,2,2,2,
122,1,1,1,1,
123,1,1,1,1,
124,2,2,2,2,
125,1,1,1,1,
126,4,4,4,4,
127,3,3,3,2,
128,2,2,3,2,
129,1,2,2,2,
130,1,1,2,2,
131,1,2,1,1,
132,1,1,1,1,
133,1,1,1,2,
134,1,2,1,1,
135,3,2,2,2,
136,2,2,2,1,
137,2,2,1,1,
138,3,2,3,2,
139,0,1,1,1,
140,2,3,2,1,
141,1,2,1,1,
142,1,1,2,1,
143,1,1,1,1,
144,2,2,2,1,
145,2,2,2,2,
146,1,1,1,1,
147,0,1,0,0,
148,1,1,1,0,
149,1,1,1,1,
150,1,1,0,1,
151,0,1,1,1,
152,1,1,1,1,
153,1,2,1,1,
154,0,1,0,0,
155,1,1,1,1,
156,3,2,2,2,
157,1,2,1,2,
158,2,1,1,2,
159,2,2,1,2,
160,1,2,1,2,
161,1,1,2,1,
162,0,1,1,1,
163,1,1,1,1,
164,1,1,1,1,
165,4,4,6,4,
166,2,2,2,2,
167,1,2,2,1,
168,1,1,1,1,
169,1,1,1,0,
170,1,1,1,1,
171,1,1,1,1,
172,1,1,1,1,
173,1,2,2,1,
174,1,2,1,2,
175,1,1,1,1,
176,1,2,2,2,
177,1,2,2,2,
178,1,1,1,1,
179,2,1,2,1,
180,1,3,1,2,
181,1,1,1,0,
182,1,2,2,2,
183,1,1,1,1,
184,2,2,2,2,
185,1,1,1,1,
186,1,2,1,1,
187,1,1,1,1,
188,1,0,0,1,
189,1,1,2,2,
190,1,1,1,1,
191,1,1,1,1,
192,2,2,2,2,
193,0,1,1,1,
194,1,1,2,1,
195,1,1,1,1,
196,4,4,5,4,
197,9,8,9,10,
198,7,10,8,7,
199,5,6,5,5,
