step,mic0,mic1,mic2,mic3,
0,1,1,1,1,
1,1,0,0,1,
2,0,0,1,0,
3,1,1,1,0,
4,1,0,1,1,
5,2,3,2,3,
6,3,4,4,2,
7,2,3,3,2,
8,2,2,2,2,
9,2,2,2,2,
10,1,1,1,1,
11,1,1,1,1,
12,0,1,1,1,
13,1,1,1,1,
14,0,1,1,0,
15,1,1,0,0,
16,0,1,1,0,
17,1,1,1,0,
18,1,1,1,1,
19,0,0,0,1,
20,0,0,0,0,
21,1,0,1,0,
22,0,0,0,0,
23,0,0,0,0,
24,1,1,1,1,
25,0,1,1,0,
26,0,1,0,0,
27,1,1,0,1,
28,1,1,1,1,
29,2,2,2,1,
30,1,1,1,1,
31,0,0,0,0,
32,0,0,0,0,
33,0,0,1,1,
34,0,0,0,0,
35,0,1,0,1,
36,0,0,0,1,
37,1,1,0,0,
38,1,0,0,0,
39,1,1,1,1,
40,1,1,1,1,
41,0,1,0,0,
42,0,1,0,0,
43,0,1,1,1,
44,0,1,0,1,
45,103,154,153,107,
46,102,164,163,100,
47,98,158,158,99,
48,99,158,159,100,
49,97,156,155,96,
50,96,155,154,95,
51,97,157,154,96,
52,97,157,155,97,
53,97,157,155,97,
54,97,156,155,96,
55,96,155,155,96,
56,96,156,154,95,
57,96,156,153,94,
58,96,155,153,94,
59,95,155,153,94,
60,95,154,153,94,
61,95,154,152,94,
62,94,154,153,94,
63,95,154,152,94,
64,95,154,152,94,
65,95,154,153,95,
66,94,154,152,94,
67,95,153,152,94,
68,95,153,152,94,
69,95,154,152,94,
70,94,153,152,94,
71,95,154,152,94,
72,94,154,152,94,
73,94,154,152,93,
74,95,154,153,94,
75,94,154,152,94,
76,95,154,152,93,
77,95,154,152,94,
78,95,154,153,94,
79,94,154,153,94,
80,95,155,153,94,
81,94,154,153,93,
82,95,155,153,94,
83,94,155,153,94,
84,94,155,153,93,
85,94,155,153,94,
86,95,155,153,94,
87,94,155,153,94,
88,94,155,153,93,
89,95,155,153,94,
90,94,155,153,93,
91,94,155,153,93,
92,95,155,153,93,
93,95,155,153,93,
94,94,155,153,93,
95,18,22,18,20,
96,4,13,13,5,
97,5,9,10,6,
98,5,8,7,6,
99,1,8,6,2,
100,2,5,4,2,
101,3,5,4,4,
102,3,4,4,3,
103,2,4,5,3,
104,2,2,2,3,
105,1,1,1,1,
106,1,1,1,1,
107,1,1,1,0,
108,0,1,1,1,
109,0,1,1,0,
110,0,1,0,0,
111,0,0,0,0,
112,1,1,0,1,
113,0,0,1,0,
114,1,0,1,1,
115,1,1,1,1,
116,0,0,0,0,
117,1,1,1,1,
118,0,0,0,1,
119,1,0,1,0,
120,0,0,0,0,
121,0,1,1,1,
122,0,1,0,0,
123,1,1,1,0,
124,0,0,0,0,
125,1,1,0,0,
126,1,1,1,1,
127,0,1,0,0,
128,0,0,0,0,
129,0,1,1,1,
130,0,0,0,0,
131,0,1,0,0,
132,0,0,0,0,
133,0,0,1,0,
134,0,0,0,1,
135,0,0,0,1,
136,1,1,1,1,
137,0,1,0,0,
138,0,0,0,1,
139,0,1,0,0,
140,1,1,0,1,
141,0,1,1,1,
142,1,2,1,1,
143,1,0,0,0,
144,0,0,0,0,
145,0,0,0,0,
146,0,0,0,0,
147,0,0,1,1,
148,1,1,1,1,
149,0,0,0,0,
150,0,1,0,0,
151,0,1,0,1,
152,0,1,1,1,
153,0,0,0,0,
154,2,3,5,3,
155,2,2,3,2,
156,2,2,2,1,
157,1,1,1,1,
158,1,1,1,1,
159,0,1,1,1,
160,1,1,1,1,
161,1,1,1,1,
162,1,0,1,1,
163,2,2,2,1,
164,1,1,2,1,
165,0,0,0,0,
166,1,1,2,1,
167,1,0,0,0,
168,1,1,1,1,
169,2,2,2,2,
170,1,3,3,2,
171,2,2,3,3,
172,2,2,2,2,
173,2,2,2,2,
174,1,1,1,1,
175,1,2,1,1,
176,2,2,1,1,
177,1,1,1,1,
178,1,1,1,1,
179,0,1,0,0,
180,0,0,0,0,
181,1,0,1,0,
182,1,1,1,0,
183,1,1,1,0,
184,1,1,2,1,
185,1,2,1,1,
186,0,0,1,1,
187,1,1,1,1,
188,1,2,2,2,
189,1,1,1,1,
190,1,1,1,1,
191,5,5,7,5,
192,2,2,3,2,
193,1,1,2,1,
194,1,1,1,1,
195,1,1,1,0,
196,1,1,1,1,
197,1,1,1,1,
198,0,0,1,0,
199,1,0,0,1,
