Angle,mic0,mic1,mic2,mic3
39,118.0,130.0,126.0,147.0,
40,113.0,109.0,110.0,139.0,
41,105.0,102.0,100.0,145.0,
42,125.0,120.0,121.0,152.0,
43,112.0,101.0,107.0,131.0,
44,126.0,119.0,120.0,151.0,
45,114.0,109.0,110.0,140.0,
46,115.0,108.0,108.0,140.0,
47,124.0,118.0,121.0,154.0,
48,110.0,104.0,106.0,133.0,
49,109.0,99.0,102.0,126.0,
50,109.0,100.0,103.0,126.0,
51,126.0,119.0,120.0,152.0,
52,110.0,100.0,103.0,126.0,
53,126.0,120.0,121.0,153.0,
54,124.0,119.0,122.0,154.0,
55,125.0,119.0,122.0,154.0,
56,109.0,100.0,102.0,127.0,
57,125.0,119.0,121.0,153.0,
58,109.0,102.0,104.0,125.0,
59,124.0,118.0,121.0,153.0,
