Angle,mic0,mic1,mic2,mic3
39,149.0,131.0,114.0,145.0,
40,159.0,143.0,131.0,164.0,
41,164.0,145.0,137.0,169.0,
42,167.0,149.0,142.0,169.0,
43,165.0,150.0,144.0,167.0,
44,165.0,149.0,142.0,166.0,
45,164.0,150.0,143.0,166.0,
46,164.0,147.0,142.0,163.0,
47,165.0,148.0,144.0,164.0,
48,165.0,148.0,144.0,164.0,
49,165.0,147.0,144.0,164.0,
50,164.0,149.0,145.0,163.0,
51,164.0,148.0,145.0,163.0,
52,164.0,149.0,144.0,163.0,
53,164.0,148.0,144.0,163.0,
54,164.0,147.0,143.0,163.0,
55,165.0,148.0,145.0,164.0,
56,164.0,148.0,145.0,164.0,
57,166.0,149.0,145.0,164.0,
58,165.0,148.0,145.0,164.0,
59,165.0,148.0,144.0,164.0,
