Angle,mic0,mic1,mic2,mic3
39,200.0,315.0,270.0,183.0,
40,189.0,280.0,244.0,157.0,
41,200.0,295.0,253.0,169.0,
42,200.0,297.0,250.0,170.0,
43,200.0,299.0,254.0,170.0,
44,200.0,301.0,263.0,174.0,
45,201.0,307.0,260.0,180.0,
46,201.0,308.0,265.0,180.0,
47,200.0,304.0,262.0,178.0,
48,201.0,302.0,264.0,174.0,
49,202.0,295.0,257.0,171.0,
50,201.0,298.0,253.0,171.0,
51,202.0,295.0,252.0,170.0,
52,202.0,309.0,266.0,180.0,
53,201.0,294.0,250.0,171.0,
54,202.0,308.0,265.0,180.0,
55,201.0,306.0,262.0,179.0,
56,201.0,299.0,254.0,170.0,
57,201.0,309.0,265.0,180.0,
58,203.0,300.0,258.0,176.0,
59,203.0,309.0,265.0,180.0,
