step,mic0,mic1,mic2,mic3,
0,0,0,0,0,
1,0,0,0,0,
2,0,0,0,0,
3,1,1,1,1,
4,0,0,0,1,
5,1,1,0,1,
6,0,0,0,0,
7,0,1,1,0,
8,0,0,0,1,
9,0,0,0,0,
10,0,1,1,1,
11,1,0,1,0,
12,1,1,1,1,
13,0,0,0,1,
14,0,0,0,0,
15,0,0,1,0,
16,1,0,1,1,
17,0,0,0,0,
18,0,0,1,0,
19,0,0,0,1,
20,0,0,0,0,
21,0,0,0,0,
22,0,1,1,0,
23,0,0,0,0,
24,0,1,0,0,
25,0,0,0,0,
26,0,0,0,0,
27,0,0,0,1,
28,0,0,0,0,
29,0,0,0,0,
30,0,1,1,1,
31,0,1,1,0,
32,0,1,0,0,
33,0,1,1,1,
34,0,0,0,0,
35,0,0,1,0,
36,0,1,1,0,
37,0,0,0,0,
38,0,0,0,0,
39,0,1,0,1,
40,0,0,0,0,
41,0,1,0,0,
42,0,0,0,0,
43,0,0,0,0,
44,1,1,1,1,
45,117,171,123,104,
46,109,152,115,107,
47,118,161,124,113,
48,120,165,128,114,
49,123,167,133,119,
50,124,167,133,119,
51,122,164,132,120,
52,123,166,132,120,
53,121,166,131,118,
54,121,166,132,118,
55,121,167,132,118,
56,122,166,132,118,
57,122,167,132,119,
58,122,167,132,118,
59,122,167,133,119,
60,121,166,132,119,
61,121,167,133,119,
62,121,166,133,119,
63,121,167,132,119,
64,121,166,132,119,
65,122,167,133,119,
66,122,167,133,119,
67,121,166,132,118,
68,121,165,132,119,
69,121,166,132,119,
70,121,167,132,120,
71,121,166,132,120,
72,121,166,132,119,
73,122,166,132,120,
74,121,166,132,119,
75,121,166,132,119,
76,121,166,132,120,
77,121,166,133,119,
78,121,166,132,119,
79,121,166,132,119,
80,121,166,133,119,
81,121,166,132,120,
82,121,166,133,120,
83,121,166,133,120,
84,121,166,133,120,
85,122,166,133,120,
86,121,166,134,120,
87,121,166,133,120,
88,121,165,133,120,
89,121,166,133,120,
90,121,166,133,120,
91,122,167,134,120,
92,121,167,133,121,
93,122,167,134,122,
94,122,168,135,121,
95,17,21,22,24,
96,13,18,21,18,
97,5,7,12,10,
98,4,5,8,9,
99,5,8,6,3,
100,3,4,3,2,
101,4,5,4,4,
102,2,2,3,3,
103,1,2,3,3,
104,2,2,3,2,
105,2,2,4,3,
106,2,2,2,2,
107,2,2,2,2,
108,2,2,2,2,
109,2,2,1,2,
110,2,3,2,2,
111,2,3,2,2,
112,2,2,2,2,
113,2,2,2,2,
114,1,2,1,1,
115,1,2,2,1,
116,1,1,1,1,
117,1,1,1,1,
118,1,1,1,1,
119,0,1,1,0,
120,0,1,0,1,
121,0,1,1,0,
122,0,0,1,0,
123,0,0,0,0,
124,0,0,0,1,
125,0,0,0,0,
126,1,0,1,1,
127,0,0,0,0,
128,0,0,0,0,
129,1,2,2,2,
130,3,4,3,3,
131,3,4,3,3,
132,3,4,3,3,
133,3,3,3,3,
134,2,3,2,2,
135,6,7,7,7,
136,5,5,7,6,
137,4,6,6,5,
138,4,5,4,4,
139,4,4,4,4,
140,3,4,4,3,
141,3,3,3,3,
142,1,2,1,1,
143,1,2,2,2,
144,1,1,1,1,
145,1,1,1,1,
146,0,1,1,1,
147,1,1,1,1,
148,1,1,1,0,
149,1,1,0,1,
150,1,1,0,0,
151,1,0,1,1,
152,1,1,1,1,
153,0,1,1,1,
154,0,1,0,0,
155,0,0,0,0,
156,0,0,0,0,
157,0,0,1,0,
158,0,0,1,0,
159,0,0,0,0,
160,0,0,0,0,
161,1,0,0,0,
162,0,0,0,0,
163,0,0,0,0,
164,0,0,0,1,
165,0,1,0,0,
166,0,0,0,1,
167,0,0,0,1,
168,0,1,1,1,
169,0,1,1,1,
170,0,0,0,0,
171,1,0,1,0,
172,0,1,0,1,
173,0,1,0,1,
174,1,1,1,1,
175,1,1,1,1,
176,1,1,1,1,
177,1,1,1,1,
178,1,1,1,0,
179,0,1,1,0,
180,0,0,0,0,
181,1,1,1,1,
182,1,0,1,0,
183,0,1,1,1,
184,0,0,0,0,
185,1,0,1,1,
186,0,0,0,0,
187,1,1,0,1,
188,0,0,0,0,
189,0,0,1,0,
190,0,1,1,1,
191,0,0,0,0,
192,0,0,1,0,
193,0,0,1,0,
194,0,0,0,0,
195,0,0,0,0,
196,0,0,0,1,
197,1,1,0,0,
198,1,1,1,0,
199,1,1,0,0,
