Angle,mic0,mic1,mic2,mic3
39,233.0,324.0,188.0,171.0,
40,239.0,314.0,191.0,168.0,
41,250.0,338.0,206.0,181.0,
42,248.0,329.0,206.0,173.0,
43,250.0,338.0,207.0,181.0,
44,252.0,326.0,206.0,177.0,
45,253.0,340.0,208.0,182.0,
46,254.0,325.0,207.0,180.0,
47,254.0,339.0,208.0,181.0,
48,253.0,326.0,207.0,181.0,
49,254.0,339.0,210.0,184.0,
50,254.0,340.0,210.0,183.0,
51,254.0,319.0,211.0,184.0,
52,258.0,322.0,214.0,187.0,
53,255.0,342.0,211.0,184.0,
54,255.0,327.0,210.0,184.0,
55,255.0,339.0,210.0,184.0,
56,255.0,320.0,210.0,184.0,
57,254.0,340.0,209.0,182.0,
58,254.0,340.0,210.0,183.0,
59,253.0,333.0,208.0,182.0,
