Angle,mic0,mic1,mic2,mic3
39,104.0,136.0,162.0,117.0,
40,117.0,129.0,150.0,113.0,
41,126.0,140.0,161.0,121.0,
42,138.0,146.0,165.0,126.0,
43,131.0,138.0,155.0,116.0,
44,121.0,130.0,157.0,111.0,
45,147.0,160.0,165.0,131.0,
46,123.0,134.0,165.0,120.0,
47,123.0,129.0,155.0,106.0,
48,123.0,132.0,159.0,117.0,
49,118.0,134.0,161.0,117.0,
50,120.0,134.0,160.0,118.0,
51,121.0,123.0,152.0,113.0,
52,120.0,123.0,153.0,111.0,
53,122.0,134.0,160.0,119.0,
54,122.0,134.0,161.0,119.0,
55,127.0,129.0,161.0,113.0,
56,128.0,134.0,161.0,119.0,
57,132.0,133.0,161.0,119.0,
58,127.0,124.0,153.0,113.0,
59,133.0,127.0,160.0,118.0,
