Angle,mic0,mic1,mic2,mic3
39,192.0,293.0,292.0,190.0,
40,174.0,260.0,262.0,168.0,
41,191.0,281.0,282.0,182.0,
42,188.0,277.0,274.0,167.0,
43,190.0,284.0,286.0,183.0,
44,191.0,283.0,285.0,183.0,
45,188.0,276.0,272.0,164.0,
46,189.0,283.0,285.0,183.0,
47,188.0,277.0,274.0,163.0,
48,188.0,277.0,272.0,165.0,
49,188.0,276.0,270.0,165.0,
50,191.0,281.0,286.0,184.0,
51,190.0,277.0,270.0,166.0,
52,190.0,283.0,288.0,180.0,
53,191.0,280.0,277.0,167.0,
54,190.0,284.0,286.0,184.0,
55,189.0,283.0,286.0,183.0,
56,192.0,286.0,288.0,183.0,
57,191.0,282.0,286.0,182.0,
58,189.0,276.0,270.0,165.0,
59,192.0,282.0,287.0,183.0,
