step,mic0,mic1,mic2,mic3,
0,0,0,0,0,
1,0,0,0,0,
2,1,0,1,0,
3,0,0,0,0,
4,1,1,1,1,
5,0,1,1,0,
6,1,1,1,0,
7,1,1,0,1,
8,0,0,0,0,
9,1,1,0,1,
10,0,1,0,0,
11,1,1,1,1,
12,0,1,1,1,
13,0,0,0,0,
14,1,1,1,1,
15,0,1,1,1,
16,0,0,0,0,
17,0,1,1,1,
18,0,0,0,0,
19,0,0,1,0,
20,1,1,1,1,
21,1,1,1,0,
22,1,1,1,1,
23,1,1,1,0,
24,1,1,0,0,
25,0,1,1,0,
26,0,1,0,0,
27,0,0,0,0,
28,0,1,1,0,
29,0,0,0,0,
30,0,0,0,0,
31,0,0,1,1,
32,0,1,0,1,
33,0,0,0,1,
34,1,1,1,1,
35,1,1,2,1,
36,0,0,1,1,
37,0,1,0,0,
38,0,1,0,0,
39,0,0,1,0,
40,0,0,1,0,
41,0,0,0,0,
42,0,1,0,1,
43,265,313,188,164,
44,265,309,192,171,
45,265,306,187,173,
46,268,310,188,174,
47,269,311,192,175,
48,267,310,193,176,
49,268,309,192,175,
50,269,309,193,177,
51,270,310,193,176,
52,269,308,193,176,
53,268,309,194,176,
54,268,309,194,177,
55,268,308,193,175,
56,267,309,194,175,
57,269,309,195,176,
58,268,309,193,175,
59,268,309,194,176,
60,268,309,194,176,
61,269,310,195,176,
62,268,309,194,176,
63,268,310,194,176,
64,268,310,194,175,
65,268,310,194,176,
66,268,310,195,176,
67,268,310,194,176,
68,269,310,194,176,
69,269,311,195,176,
70,268,309,194,175,
71,267,309,194,175,
72,267,309,194,175,
73,268,310,195,176,
74,268,309,194,176,
75,268,310,195,176,
76,267,310,194,175,
77,267,309,194,175,
78,269,310,195,176,
79,267,308,194,175,
80,269,310,195,176,
81,268,309,194,175,
82,268,309,194,175,
83,268,310,194,176,
84,268,309,194,175,
85,268,310,194,176,
86,268,309,195,176,
87,268,309,194,175,
88,268,310,194,175,
89,268,309,194,175,
90,267,309,194,175,
91,269,310,194,176,
92,20,20,26,25,
93,10,10,13,15,
94,8,7,7,6,
95,7,6,10,6,
96,2,4,3,2,
97,2,4,2,1,
98,1,2,2,1,
99,2,2,3,2,
100,3,3,3,3,
101,2,2,2,2,
102,1,1,1,2,
103,2,2,1,2,
104,2,2,2,2,
105,2,2,1,1,
106,1,1,1,1,
107,1,1,1,1,
108,1,1,1,1,
109,1,2,1,1,
110,2,2,2,1,
111,1,2,1,1,
112,1,1,1,1,
113,1,0,1,0,
114,0,1,1,1,
115,1,0,0,0,
116,0,1,1,0,
117,0,1,0,1,
118,0,1,1,1,
119,0,1,0,0,
120,1,1,1,1,
121,1,1,1,1,
122,1,2,1,1,
123,1,1,1,1,
124,0,0,1,0,
125,1,1,1,0,
126,1,1,0,1,
127,1,1,1,1,
128,1,1,1,1,
129,1,1,1,1,
130,1,1,1,1,
131,1,2,2,1,
132,1,1,1,1,
133,1,0,1,1,
134,0,0,0,1,
135,1,2,1,1,
136,0,0,0,0,
137,0,0,0,0,
138,0,0,0,0,
139,0,0,0,0,
140,1,1,0,0,
141,0,1,1,1,
142,0,0,0,0,
143,1,1,1,1,
144,1,0,0,0,
145,0,0,0,0,
146,1,0,0,0,
147,1,0,1,1,
148,1,2,1,1,
149,1,1,0,1,
150,1,1,1,1,
151,1,1,0,1,
152,1,1,1,1,
153,1,1,1,1,
154,0,0,0,0,
155,0,0,0,1,
156,0,1,0,0,
157,0,0,0,0,
158,0,0,0,0,
159,0,0,0,0,
160,0,0,0,0,
161,1,1,1,1,
162,1,1,0,0,
163,0,1,0,0,
164,0,1,1,1,
165,0,0,1,0,
166,1,1,1,0,
167,1,1,1,1,
168,1,1,1,1,
169,0,1,1,1,
170,1,1,1,0,
171,1,1,1,1,
172,0,0,0,0,
173,1,1,1,1,
174,1,0,0,0,
175,0,0,0,0,
176,1,1,0,1,
177,0,0,0,0,
178,1,0,1,1,
179,0,0,1,1,
180,1,2,1,1,
181,1,1,0,1,
182,1,1,1,1,
183,1,2,1,1,
184,1,1,1,1,
185,1,1,1,1,
186,1,2,1,2,
187,1,1,2,1,
188,1,1,1,1,
189,0,1,1,0,
190,1,1,1,1,
191,1,1,1,1,
192,1,1,1,1,
193,1,1,1,1,
194,1,1,0,1,
195,0,1,0,0,
196,0,0,1,0,
197,1,0,1,0,
198,1,2,1,1,
199,1,0,1,1,
