Angle,mic0,mic1,mic2,mic3
39,282.0,297.0,185.0,202.0,
40,275.0,292.0,177.0,179.0,
41,284.0,304.0,175.0,173.0,
42,291.0,313.0,190.0,194.0,
43,286.0,306.0,181.0,175.0,
44,288.0,311.0,184.0,179.0,
45,287.0,304.0,184.0,177.0,
46,290.0,313.0,192.0,195.0,
47,287.0,306.0,185.0,178.0,
48,289.0,308.0,184.0,179.0,
49,288.0,307.0,184.0,178.0,
50,287.0,307.0,185.0,178.0,
51,289.0,312.0,191.0,195.0,
52,287.0,306.0,184.0,178.0,
54,287.0,307.0,185.0,178.0,
55,288.0,307.0,183.0,178.0,
56,288.0,307.0,184.0,178.0,
57,288.0,306.0,183.0,177.0,
58,290.0,313.0,192.0,195.0,
59,290.0,313.0,192.0,194.0,
