Angle,mic0,mic1,mic2,mic3
39,218.0,193.0,212.0,289.0,
40,224.0,182.0,208.0,282.0,
41,242.0,210.0,221.0,288.0,
42,238.0,217.0,222.0,306.0,
43,235.0,221.0,217.0,285.0,
44,238.0,220.0,219.0,308.0,
45,235.0,221.0,221.0,309.0,
46,236.0,219.0,221.0,309.0,
47,227.0,219.0,214.0,282.0,
48,232.0,220.0,215.0,300.0,
49,236.0,223.0,221.0,308.0,
50,227.0,219.0,215.0,285.0,
51,236.0,221.0,221.0,309.0,
52,238.0,220.0,221.0,306.0,
53,237.0,220.0,221.0,308.0,
54,229.0,223.0,220.0,283.0,
55,237.0,229.0,222.0,306.0,
56,249.0,246.0,237.0,308.0,
57,241.0,229.0,224.0,309.0,
58,240.0,228.0,221.0,307.0,
59,242.0,239.0,230.0,284.0,
