step,mic0,mic1,mic2,mic3,
0,5,6,5,6,
1,8,9,8,8,
2,12,13,14,12,
3,12,15,12,9,
4,8,9,9,8,
5,7,6,7,7,
6,7,8,8,6,
7,7,7,8,7,
8,7,4,7,7,
9,6,8,6,6,
10,5,4,5,4,
11,6,3,6,6,
12,7,8,7,7,
13,5,4,5,5,
14,6,2,6,5,
15,5,6,7,5,
16,5,7,6,5,
17,5,5,6,5,
18,6,2,6,6,
19,5,5,5,5,
20,6,6,6,5,
21,6,1,7,6,
22,4,5,5,4,
23,5,6,5,5,
24,7,2,7,7,
25,6,6,6,6,
26,6,1,7,6,
27,6,2,6,6,
28,5,6,5,5,
29,7,4,7,7,
30,6,6,6,6,
31,6,7,6,6,
32,25,26,23,21,
33,12,12,16,11,
34,9,9,10,10,
35,9,5,9,8,
36,7,7,7,7,
37,5,6,6,6,
38,7,3,8,8,
39,6,5,6,5,
40,7,6,6,6,
41,7,3,7,6,
42,5,5,6,4,
43,6,7,7,6,
44,229,184,183,278,
45,232,187,184,275,
46,236,189,181,273,
47,230,184,178,270,
48,230,185,178,268,
49,230,188,180,266,
50,225,184,177,261,
51,227,186,180,264,
52,227,187,181,264,
53,223,183,177,259,
54,225,187,181,261,
55,228,190,185,264,
56,224,184,180,260,
57,227,188,181,262,
58,227,188,182,263,
59,225,186,180,260,
60,227,187,182,260,
61,229,191,185,264,
62,224,186,181,260,
63,227,190,184,263,
64,230,191,185,266,
65,225,186,181,260,
66,226,189,183,262,
67,230,191,186,266,
68,223,184,179,260,
69,227,189,183,263,
70,227,190,184,264,
71,224,183,176,260,
72,225,186,178,262,
73,226,186,179,262,
74,225,181,175,261,
75,224,181,174,260,
76,227,185,178,262,
77,225,179,173,260,
78,226,180,174,260,
79,229,186,179,263,
80,225,179,173,259,
81,226,180,175,260,
82,229,187,182,264,
83,226,181,176,259,
84,227,186,179,261,
85,229,189,183,263,
86,229,186,179,262,
87,225,185,178,259,
88,230,191,184,264,
89,227,186,180,262,
90,228,187,180,261,
91,229,191,185,263,
92,229,188,181,262,
93,55,58,51,64,
94,10,11,14,18,
95,14,10,11,19,
96,11,4,9,16,
97,10,8,9,15,
98,8,9,10,11,
99,8,5,9,9,
100,8,8,8,9,
101,8,8,8,8,
102,8,5,9,8,
103,7,8,6,8,
104,7,8,8,7,
105,7,3,8,7,
106,7,7,6,5,
107,6,7,8,6,
108,8,2,8,7,
109,5,7,6,6,
110,6,6,6,7,
111,8,2,8,7,
112,6,7,7,6,
113,6,6,7,6,
114,6,2,7,7,
115,6,7,6,6,
116,7,8,7,6,
117,7,2,8,6,
118,5,6,6,5,
119,6,6,6,6,
120,8,1,8,7,
121,5,6,6,6,
122,5,6,6,5,
123,6,2,7,6,
124,7,8,7,5,
125,6,7,7,6,
126,7,1,7,7,
127,6,7,6,6,
128,6,7,7,6,
129,6,1,7,6,
130,6,6,6,6,
131,6,8,7,7,
132,8,1,8,7,
133,6,5,6,6,
134,6,7,6,6,
135,7,1,7,6,
136,7,7,7,7,
137,7,9,8,7,
138,7,2,8,7,
139,6,5,7,6,
140,7,7,7,7,
141,8,2,8,8,
142,7,6,8,7,
143,7,8,7,6,
144,7,3,8,7,
145,7,7,8,8,
146,7,8,7,7,
147,8,3,8,7,
148,7,6,7,7,
149,6,7,7,6,
150,8,5,8,8,
151,8,5,8,7,
152,6,8,7,6,
153,7,2,8,7,
154,8,5,8,7,
155,9,9,9,9,
156,20,23,22,25,
157,38,39,42,39,
158,26,33,32,28,
159,38,38,34,36,
160,18,27,25,18,
161,20,23,22,18,
162,13,16,14,12,
163,12,11,13,10,
164,12,14,13,11,
165,10,11,11,10,
166,9,8,10,9,
167,13,15,13,12,
168,10,7,9,9,
169,9,6,8,8,
170,9,9,10,10,
171,12,15,12,12,
172,10,11,11,9,
173,8,5,8,8,
174,9,10,9,9,
175,9,7,9,8,
176,11,7,12,11,
177,10,12,10,10,
178,8,6,8,8,
179,11,8,10,10,
180,8,10,9,9,
181,8,8,8,7,
182,8,4,8,7,
183,7,9,8,8,
184,8,8,9,8,
185,8,3,8,8,
186,5,6,6,6,
187,7,5,8,7,
188,8,3,9,8,
189,6,7,6,6,
190,7,5,7,7,
191,8,3,8,8,
192,5,7,6,5,
193,8,7,8,7,
194,8,2,8,7,
195,5,6,6,6,
196,7,6,8,7,
197,8,2,8,8,
198,6,7,7,6,
199,7,6,7,7,
