step,mic0,mic1,mic2,mic3,
0,2,2,2,2,
1,1,1,2,2,
2,1,1,1,1,
3,1,1,1,1,
4,1,2,2,2,
5,1,1,1,1,
6,2,2,3,2,
7,3,4,3,3,
8,2,2,2,2,
9,2,3,2,2,
10,4,4,4,4,
11,2,3,3,2,
12,1,1,1,1,
13,4,3,4,3,
14,3,3,3,3,
15,1,1,1,1,
16,2,2,1,2,
17,1,1,2,1,
18,1,1,1,1,
19,1,1,1,1,
20,1,1,1,1,
21,1,2,1,2,
22,1,1,1,2,
23,1,1,1,1,
24,2,2,2,2,
25,2,1,1,1,
26,1,1,1,1,
27,1,1,1,1,
28,1,1,1,1,
29,1,1,1,0,
30,1,1,1,0,
31,1,1,1,1,
32,1,1,2,1,
33,3,4,3,3,
34,3,3,2,2,
35,3,4,3,3,
36,3,3,3,2,
37,2,2,1,2,
38,4,5,4,4,
39,3,4,5,3,
40,2,2,2,2,
41,3,3,3,2,
42,2,3,3,3,
43,97,88,76,94,
44,94,88,79,93,
45,88,97,83,89,
46,82,88,78,84,
47,89,87,79,92,
48,84,86,79,88,
49,84,81,77,89,
50,85,81,77,89,
51,85,81,77,90,
52,84,79,75,88,
53,84,79,74,88,
54,82,78,73,87,
55,82,79,73,86,
56,81,78,72,85,
57,81,78,73,85,
58,82,79,75,86,
59,83,79,75,87,
60,82,80,74,87,
61,83,78,74,86,
62,82,78,73,86,
63,83,79,75,87,
64,83,79,74,87,
65,83,79,75,87,
66,83,79,75,87,
67,84,80,76,88,
68,83,80,75,88,
69,84,81,77,89,
70,83,79,75,88,
71,82,79,74,86,
72,83,78,74,87,
73,82,78,73,86,
74,82,78,73,87,
75,81,77,73,86,
76,82,77,73,86,
77,81,77,73,86,
78,82,78,73,87,
79,82,78,74,87,
80,83,78,74,87,
81,81,77,73,86,
82,82,77,72,86,
83,81,77,73,86,
84,83,77,74,87,
85,82,78,73,87,
86,83,77,73,87,
87,82,77,73,87,
88,83,79,74,87,
89,84,79,75,89,
90,83,79,74,87,
91,81,76,72,86,
92,82,76,72,86,
93,12,12,8,7,
94,13,18,9,9,
95,10,10,6,10,
96,10,8,5,9,
97,8,8,6,8,
98,5,5,4,5,
99,3,3,3,3,
100,4,4,5,4,
101,4,4,3,3,
102,3,4,3,4,
103,2,2,2,2,
104,1,2,1,0,
105,1,2,1,1,
106,1,1,1,0,
107,1,1,2,1,
108,1,1,1,1,
109,1,2,2,2,
110,1,1,1,1,
111,1,1,1,1,
112,1,1,1,1,
113,1,1,1,1,
114,2,2,2,2,
115,1,1,1,1,
116,2,3,3,3,
117,1,1,1,1,
118,0,0,0,0,
119,0,1,0,1,
120,1,1,1,1,
121,1,1,1,1,
122,1,1,1,1,
123,2,2,2,1,
124,1,1,1,1,
125,2,2,3,1,
126,1,1,1,1,
127,1,1,1,1,
128,1,1,1,0,
129,2,1,1,1,
130,2,2,1,1,
131,2,2,2,1,
132,1,2,2,1,
133,1,2,2,1,
134,3,3,2,3,
135,1,2,2,0,
136,1,1,1,1,
137,1,1,1,1,
138,2,3,2,2,
139,2,3,2,1,
140,2,2,2,2,
141,2,2,2,1,
142,1,2,1,1,
143,1,2,1,2,
144,1,1,1,1,
145,1,1,1,0,
146,3,3,4,3,
147,0,1,2,1,
148,2,2,2,2,
149,1,1,1,1,
150,1,1,1,1,
151,1,1,0,1,
152,1,2,1,1,
153,1,1,0,1,
154,1,1,1,1,
155,0,0,1,0,
156,0,0,0,0,
157,0,1,0,0,
158,1,2,1,1,
159,1,1,1,1,
160,1,0,1,1,
161,0,1,1,0,
162,0,0,0,0,
163,0,0,1,0,
164,0,1,1,0,
165,0,1,1,1,
166,0,1,1,1,
167,0,0,0,0,
168,0,0,0,0,
169,1,1,1,1,
170,1,1,1,1,
171,0,0,0,0,
172,1,1,2,1,
173,1,2,1,1,
174,1,1,1,0,
175,3,3,3,2,
176,2,3,3,2,
177,2,2,2,2,
178,3,4,3,3,
179,2,3,3,2,
180,3,3,3,3,
181,2,2,2,2,
182,3,3,3,3,
183,2,3,2,2,
184,2,3,2,2,
185,1,2,1,1,
186,2,2,1,2,
187,1,2,1,2,
188,1,1,1,1,
189,1,1,0,1,
190,1,2,1,1,
191,1,1,1,1,
192,1,2,1,1,
193,2,1,2,2,
194,2,2,1,1,
195,1,1,1,1,
196,0,0,0,0,
197,0,0,0,0,
198,2,3,2,2,
199,1,2,2,2,
