step,mic0,mic1,mic2,mic3,
0,7,4,7,7,
1,7,8,7,6,
2,8,5,8,7,
3,7,3,8,6,
4,7,7,7,7,
5,7,4,7,7,
6,7,2,8,6,
7,7,8,7,7,
8,8,4,8,8,
9,8,3,8,8,
10,8,10,8,8,
11,7,6,8,8,
12,8,4,9,8,
13,8,9,8,7,
14,7,7,8,7,
15,8,2,9,8,
16,6,7,7,7,
17,7,7,8,7,
18,7,2,8,7,
19,6,8,7,6,
20,8,8,8,8,
21,8,3,8,8,
22,7,8,7,6,
23,7,7,7,7,
24,8,2,8,8,
25,6,8,7,7,
26,8,8,8,7,
27,8,2,8,8,
28,6,8,8,7,
29,7,1,9,7,
30,6,7,7,6,
31,6,7,7,6,
32,7,2,8,7,
33,6,6,6,6,
34,7,8,7,6,
35,6,2,7,6,
36,6,6,6,6,
37,6,8,7,6,
38,6,1,7,6,
39,6,5,6,6,
40,7,8,7,7,
41,6,1,7,6,
42,6,6,7,6,
43,208,339,244,181,
44,190,320,231,166,
45,189,313,228,168,
46,192,307,222,170,
47,190,305,221,167,
48,191,307,222,166,
49,193,307,223,168,
50,191,304,221,166,
51,194,309,224,170,
52,189,304,220,166,
53,192,308,223,169,
54,194,309,223,171,
55,189,305,218,165,
56,193,308,222,169,
57,194,309,222,169,
58,188,303,218,166,
59,192,308,221,168,
60,193,309,222,170,
61,190,306,218,166,
62,193,309,221,169,
63,195,310,222,170,
64,190,305,217,166,
65,192,307,221,169,
66,194,310,224,169,
67,188,305,218,166,
68,192,308,221,168,
69,194,310,224,171,
70,189,306,219,166,
71,191,306,221,168,
72,194,310,222,170,
73,189,304,218,167,
74,195,311,223,172,
75,190,306,220,166,
76,192,308,220,170,
77,195,312,223,173,
78,191,307,220,168,
79,191,307,219,168,
80,193,309,222,171,
81,191,307,220,168,
82,191,308,220,169,
83,194,310,224,171,
84,191,307,219,168,
85,190,307,219,167,
86,192,309,222,170,
87,190,306,219,167,
88,190,307,220,166,
89,193,310,222,170,
90,191,306,219,168,
91,190,307,218,168,
92,194,311,222,171,
93,188,302,218,165,
94,13,22,17,11,
95,12,14,14,10,
96,8,11,9,8,
97,9,9,8,8,
98,7,13,8,8,
99,7,7,7,7,
100,8,7,8,9,
101,7,10,10,10,
102,7,6,8,8,
103,7,4,7,7,
104,6,8,8,7,
105,6,5,7,7,
106,7,2,8,7,
107,6,7,6,6,
108,6,5,7,6,
109,7,2,8,7,
110,5,7,6,5,
111,6,6,6,5,
112,7,2,7,7,
113,6,7,6,6,
114,6,7,6,6,
115,6,1,7,6,
116,6,7,6,6,
117,6,7,6,6,
118,7,2,8,7,
119,6,5,6,6,
120,7,7,7,6,
121,7,2,8,7,
122,6,6,7,7,
123,6,6,7,6,
124,7,2,7,7,
125,6,7,6,5,
126,5,7,7,6,
127,7,1,8,6,
128,6,6,6,6,
129,7,7,6,6,
130,7,2,8,7,
131,6,7,6,6,
132,6,6,6,6,
133,6,7,7,6,
134,6,6,7,6,
135,6,7,7,6,
136,5,6,6,5,
137,6,7,7,6,
138,6,7,7,6,
139,7,2,8,6,
140,6,2,7,7,
141,7,7,7,7,
142,6,1,8,6,
143,6,6,7,7,
144,7,6,7,6,
145,8,2,7,6,
146,7,6,7,6,
147,7,7,7,5,
148,6,8,8,7,
149,6,4,6,6,
150,6,5,7,7,
151,8,9,8,8,
152,7,3,7,6,
153,6,4,7,6,
154,7,8,8,7,
155,6,3,6,6,
156,6,5,7,6,
157,6,6,6,5,
158,7,4,8,7,
159,7,6,8,7,
160,5,6,4,4,
161,7,5,7,7,
162,6,5,6,6,
163,5,6,5,5,
164,6,4,7,7,
165,6,3,6,6,
166,6,7,6,5,
167,6,4,6,6,
168,6,2,6,6,
169,7,8,7,7,
170,6,4,6,6,
171,6,3,7,7,
172,5,7,6,6,
173,6,5,6,6,
174,6,4,7,6,
175,5,6,6,5,
176,7,5,7,6,
177,6,2,7,5,
178,5,6,5,4,
179,5,5,6,6,
180,7,3,6,6,
181,6,7,6,5,
182,6,6,6,6,
183,6,3,7,6,
184,5,5,5,4,
185,6,5,6,6,
186,6,2,6,6,
187,5,6,5,5,
188,5,5,6,5,
189,5,1,6,6,
190,5,5,4,5,
191,4,5,5,5,
192,6,3,6,6,
193,4,5,5,4,
194,5,7,6,6,
195,6,1,6,5,
196,5,5,6,5,
197,5,6,5,4,
198,5,1,6,5,
199,4,5,4,4,
