step,mic0,mic1,mic2,mic3,
0,4,4,5,4,
1,5,2,5,5,
2,3,3,3,3,
3,4,4,4,4,
4,4,1,5,4,
5,2,3,3,2,
6,3,3,4,3,
7,4,2,4,4,
8,4,5,4,4,
9,4,5,5,4,
10,4,2,4,4,
11,3,4,4,3,
12,5,5,5,4,
13,5,2,4,4,
14,4,4,4,4,
15,4,5,5,4,
16,4,2,5,4,
17,4,5,5,3,
18,4,4,4,4,
19,4,1,4,4,
20,3,4,4,2,
21,3,4,3,3,
22,3,1,4,4,
23,3,3,3,3,
24,3,4,3,3,
25,4,2,4,4,
26,3,4,3,3,
27,3,4,4,4,
28,4,1,4,4,
29,2,3,4,3,
30,3,4,4,4,
31,3,1,3,3,
32,3,3,3,2,
33,3,3,4,3,
34,3,1,4,3,
35,2,3,3,2,
36,2,3,3,2,
37,3,1,3,3,
38,3,2,3,3,
39,3,3,3,3,
40,3,2,3,2,
41,2,3,2,3,
42,2,3,2,1,
43,3,2,3,3,
44,207,338,245,182,
45,195,320,234,169,
46,193,321,231,165,
47,187,311,224,166,
48,188,306,220,164,
49,189,308,220,165,
50,187,307,219,162,
51,186,304,217,160,
52,189,308,220,164,
53,188,308,221,164,
54,186,304,217,161,
55,187,304,217,162,
56,188,307,219,163,
57,185,303,216,161,
58,187,305,218,163,
59,188,306,219,164,
60,186,304,216,161,
61,187,306,218,162,
62,187,307,219,164,
63,186,304,216,162,
64,186,304,216,163,
65,188,307,218,164,
66,186,304,217,163,
67,187,304,217,163,
68,185,303,216,162,
69,185,303,217,161,
70,188,307,218,163,
71,186,304,217,162,
72,185,304,217,162,
73,187,305,218,164,
74,186,303,217,162,
75,185,303,217,162,
76,188,305,218,162,
77,185,302,216,162,
78,185,302,216,162,
79,186,304,218,164,
80,185,303,216,162,
81,185,302,216,161,
82,187,304,219,164,
83,185,301,215,161,
84,185,301,215,161,
85,186,303,218,164,
86,186,302,216,163,
87,185,301,215,162,
88,187,303,218,163,
89,185,301,216,162,
90,185,301,216,162,
91,185,302,216,162,
92,185,301,216,162,
93,186,303,218,163,
94,186,303,217,163,
95,10,23,18,10,
96,10,18,13,9,
97,3,6,4,4,
98,4,8,5,4,
99,4,6,4,3,
100,2,3,4,4,
101,3,3,3,5,
102,3,3,4,5,
103,3,3,4,4,
104,3,2,3,3,
105,2,1,2,3,
106,2,2,2,3,
107,3,2,2,2,
108,3,1,3,3,
109,2,2,3,2,
110,2,1,2,2,
111,2,1,2,2,
112,2,2,2,3,
113,2,2,2,2,
114,2,2,2,2,
115,2,3,2,2,
116,2,2,2,2,
117,2,2,2,2,
118,2,2,2,2,
119,2,1,2,2,
120,2,1,3,3,
121,2,2,2,1,
122,2,2,2,2,
123,2,2,2,2,
124,2,4,3,2,
125,3,2,3,3,
126,3,2,3,2,
127,2,2,2,2,
128,3,2,3,2,
129,2,2,3,2,
130,2,2,2,2,
131,2,1,2,2,
132,3,2,2,2,
133,4,4,4,4,
134,2,1,2,3,
135,2,2,3,3,
136,3,3,3,2,
137,3,2,3,2,
138,4,2,4,3,
139,3,3,3,3,
140,3,1,3,2,
141,3,3,3,3,
142,3,4,2,3,
143,2,2,3,2,
144,2,2,3,3,
145,2,3,2,2,
146,2,2,3,3,
147,2,2,3,2,
148,2,3,3,2,
149,3,3,3,4,
150,4,1,3,4,
151,3,4,4,4,
152,4,3,4,4,
153,4,3,5,5,
154,2,4,3,2,
155,3,2,4,3,
156,3,2,3,3,
157,2,3,2,2,
158,2,2,3,2,
159,3,2,3,3,
160,3,3,3,3,
161,4,2,4,3,
162,4,1,4,3,
163,3,4,3,3,
164,4,4,4,4,
165,4,2,4,4,
166,3,3,3,2,
167,3,3,4,3,
168,4,2,4,4,
169,4,4,4,3,
170,3,3,3,3,
171,4,1,4,4,
172,3,4,3,3,
173,3,2,3,4,
174,5,2,5,5,
175,4,5,4,4,
176,4,3,4,4,
177,4,2,5,4,
178,3,4,4,4,
179,4,3,4,4,
180,5,2,4,5,
181,2,4,3,2,
182,4,3,4,3,
183,3,1,4,4,
184,3,3,3,3,
185,4,4,4,4,
186,4,1,4,4,
187,3,3,3,3,
188,2,3,4,3,
189,4,3,4,3,
190,4,2,4,4,
191,3,3,3,2,
192,4,3,4,3,
193,4,2,5,5,
194,2,4,3,4,
195,4,3,4,4,
196,4,2,5,5,
197,3,4,3,3,
198,4,3,4,3,
199,4,2,4,4,
