Angle,mic0,mic1,mic2,mic3
39,217.0,341.0,219.0,176.0,
40,225.0,312.0,216.0,166.0,
41,233.0,327.0,224.0,175.0,
42,232.0,326.0,225.0,177.0,
43,235.0,339.0,225.0,180.0,
44,235.0,338.0,225.0,181.0,
45,236.0,334.0,226.0,183.0,
46,236.0,339.0,226.0,184.0,
47,236.0,330.0,226.0,183.0,
48,236.0,339.0,225.0,182.0,
49,236.0,332.0,225.0,183.0,
50,237.0,340.0,225.0,183.0,
51,238.0,326.0,226.0,183.0,
52,237.0,341.0,227.0,183.0,
53,236.0,332.0,227.0,183.0,
54,238.0,340.0,227.0,184.0,
55,237.0,340.0,227.0,184.0,
56,237.0,327.0,228.0,183.0,
57,238.0,340.0,226.0,184.0,
58,238.0,325.0,227.0,184.0,
59,237.0,337.0,227.0,184.0,
