Angle,mic0,mic1,mic2,mic3
39,296.0,278.0,187.0,208.0,
40,298.0,279.0,157.0,178.0,
41,304.0,288.0,169.0,182.0,
42,306.0,288.0,189.0,209.0,
43,309.0,291.0,172.0,190.0,
44,310.0,293.0,171.0,185.0,
45,310.0,294.0,188.0,210.0,
46,310.0,294.0,189.0,208.0,
47,311.0,296.0,187.0,210.0,
48,311.0,294.0,175.0,186.0,
49,309.0,294.0,188.0,208.0,
50,308.0,293.0,188.0,209.0,
51,311.0,295.0,176.0,187.0,
52,310.0,295.0,189.0,209.0,
53,310.0,294.0,177.0,186.0,
54,310.0,294.0,178.0,186.0,
55,308.0,292.0,176.0,184.0,
56,311.0,295.0,180.0,190.0,
57,309.0,294.0,187.0,209.0,
58,309.0,294.0,187.0,210.0,
59,308.0,293.0,177.0,185.0,
