step,mic0,mic1,mic2,mic3,
0,1,0,0,0,
1,1,0,0,0,
2,0,0,1,0,
3,0,0,0,0,
4,0,0,0,0,
5,1,1,0,0,
6,1,0,1,1,
7,1,1,0,0,
8,0,1,1,1,
9,1,0,0,0,
10,0,0,1,0,
11,0,1,1,0,
12,0,1,1,0,
13,1,1,1,1,
14,0,0,1,0,
15,0,0,0,0,
16,0,1,0,0,
17,0,0,1,0,
18,1,0,1,0,
19,0,0,0,0,
20,1,1,1,0,
21,0,0,0,0,
22,0,1,1,1,
23,1,1,1,1,
24,1,0,1,1,
25,1,0,1,1,
26,2,1,1,1,
27,1,1,1,1,
28,1,2,1,1,
29,0,0,0,1,
30,1,1,1,1,
31,1,1,1,1,
32,0,0,1,1,
33,1,1,0,1,
34,0,0,0,0,
35,0,0,0,0,
36,1,0,1,1,
37,0,0,0,0,
38,0,0,0,0,
39,0,1,1,1,
40,1,1,1,1,
41,0,0,0,0,
42,1,0,1,0,
43,0,1,1,1,
44,0,1,0,0,
45,83,69,83,102,
46,89,93,92,107,
47,91,94,94,109,
48,83,94,93,102,
49,84,90,94,107,
50,84,91,99,109,
51,82,87,98,109,
52,79,86,97,108,
53,80,88,98,108,
54,80,89,97,108,
55,80,89,99,109,
56,80,88,98,109,
57,80,88,98,108,
58,80,88,98,108,
59,81,89,99,110,
60,81,89,99,110,
61,80,89,98,109,
62,80,89,98,109,
63,80,89,97,109,
64,80,89,98,109,
65,80,89,98,109,
66,81,90,98,109,
67,80,90,98,109,
68,80,90,98,108,
69,80,89,97,108,
70,81,89,97,108,
71,80,89,98,108,
72,80,89,97,108,
73,80,89,97,108,
74,80,89,97,108,
75,80,89,97,108,
76,80,90,98,108,
77,80,89,97,108,
78,80,89,97,108,
79,79,89,97,108,
80,80,89,97,108,
81,79,89,97,107,
82,80,89,97,108,
83,79,89,97,108,
84,79,89,96,107,
85,79,89,97,107,
86,80,89,97,108,
87,79,89,96,107,
88,80,89,97,108,
89,80,89,97,108,
90,80,89,97,108,
91,79,89,97,107,
92,79,89,97,107,
93,80,89,98,108,
94,80,90,98,108,
95,74,82,90,80,
96,12,6,11,9,
97,10,8,11,11,
98,7,4,9,10,
99,6,2,5,8,
100,2,5,2,5,
101,2,5,4,2,
102,1,3,1,3,
103,2,2,2,3,
104,1,2,1,1,
105,1,2,1,2,
106,2,3,1,1,
107,1,2,1,1,
108,0,1,1,1,
109,0,0,1,1,
110,0,0,1,1,
111,0,1,1,1,
112,0,1,0,1,
113,1,1,1,1,
114,1,1,1,1,
115,1,0,0,0,
116,0,1,1,1,
117,1,0,0,0,
118,0,1,0,0,
119,1,1,1,1,
120,0,1,1,0,
121,0,0,0,1,
122,1,1,1,1,
123,1,1,0,1,
124,0,0,1,0,
125,0,0,1,1,
126,0,0,0,0,
127,1,0,1,0,
128,1,1,1,1,
129,0,0,0,0,
130,1,1,0,0,
131,0,0,0,0,
132,0,0,0,0,
133,0,0,0,0,
134,0,0,1,0,
135,1,0,0,0,
136,0,0,0,0,
137,0,1,1,1,
138,0,0,0,0,
139,1,1,1,1,
140,0,0,0,0,
141,0,0,0,0,
142,0,0,0,0,
143,0,1,0,1,
144,0,0,0,0,
145,0,0,0,0,
146,1,0,1,0,
147,0,0,0,0,
148,0,1,1,0,
149,1,1,1,1,
150,1,1,0,0,
151,0,0,1,0,
152,1,0,0,1,
153,0,1,0,1,
154,0,0,0,0,
155,0,1,0,0,
156,0,0,0,0,
157,0,1,0,0,
158,1,0,0,0,
159,1,0,1,0,
160,0,1,1,0,
161,0,1,1,1,
162,0,0,0,0,
163,1,1,0,0,
164,0,1,1,1,
165,1,1,0,0,
166,1,1,0,0,
167,0,0,1,0,
168,0,0,0,0,
169,0,0,1,0,
170,0,0,1,0,
171,0,0,1,0,
172,0,0,0,0,
173,0,0,0,0,
174,1,0,1,0,
175,1,1,1,1,
176,0,0,1,0,
177,0,1,1,0,
178,0,1,1,0,
179,0,1,0,0,
180,0,0,1,0,
181,0,0,0,0,
182,0,0,1,1,
183,1,0,1,0,
184,0,1,1,0,
185,0,0,0,1,
186,0,0,0,0,
187,1,0,0,1,
188,0,0,0,0,
189,1,1,0,0,
190,1,1,0,1,
191,0,0,0,0,
192,1,1,0,1,
193,1,0,1,0,
194,0,0,0,0,
195,1,1,1,1,
196,0,0,0,1,
197,0,0,0,0,
198,1,1,1,1,
199,0,0,0,1,
