Angle,mic0,mic1,mic2,mic3
39,202.0,207.0,269.0,271.0,
40,192.0,186.0,240.0,247.0,
41,210.0,204.0,261.0,271.0,
42,215.0,208.0,262.0,272.0,
43,215.0,208.0,240.0,252.0,
44,212.0,209.0,261.0,272.0,
45,211.0,209.0,231.0,244.0,
46,213.0,210.0,261.0,272.0,
47,212.0,209.0,229.0,243.0,
48,212.0,211.0,262.0,270.0,
49,212.0,211.0,258.0,268.0,
50,212.0,212.0,241.0,252.0,
51,211.0,211.0,235.0,248.0,
52,211.0,211.0,261.0,272.0,
53,212.0,211.0,260.0,271.0,
54,210.0,209.0,261.0,272.0,
56,210.0,211.0,229.0,243.0,
57,211.0,211.0,261.0,271.0,
58,211.0,211.0,235.0,246.0,
59,211.0,211.0,229.0,243.0,
