step,mic0,mic1,mic2,mic3,
0,2,2,2,2,
1,2,2,2,2,
2,1,2,2,1,
3,2,3,2,2,
4,1,1,1,1,
5,1,2,2,1,
6,1,1,1,1,
7,0,0,1,1,
8,1,2,1,2,
9,1,0,1,0,
10,1,1,1,0,
11,0,1,1,0,
12,2,1,2,2,
13,1,1,1,1,
14,1,1,1,1,
15,0,1,0,0,
16,1,1,1,1,
17,1,2,1,1,
18,2,1,1,2,
19,1,1,1,1,
20,1,1,1,0,
21,0,0,1,0,
22,1,0,0,0,
23,1,1,1,1,
24,0,0,0,0,
25,1,1,1,1,
26,1,1,1,1,
27,1,1,2,1,
28,1,1,1,1,
29,1,1,0,1,
30,2,2,2,2,
31,1,1,1,1,
32,1,2,1,1,
33,1,1,1,1,
34,0,1,0,0,
35,0,0,0,0,
36,0,0,0,1,
37,1,2,2,2,
38,0,1,1,0,
39,0,0,0,0,
40,0,0,0,0,
41,1,1,1,1,
42,0,1,0,0,
43,1,1,1,1,
44,2,3,3,2,
45,78,88,98,94,
46,77,88,86,89,
47,74,89,82,79,
48,76,91,86,81,
49,75,91,84,79,
50,77,93,86,79,
51,78,93,86,80,
52,78,93,85,78,
53,77,92,84,78,
54,77,94,86,78,
55,77,94,86,76,
56,77,94,85,76,
57,78,94,86,77,
58,78,96,87,77,
59,77,94,86,77,
60,77,94,86,76,
61,76,93,86,76,
62,77,94,87,77,
63,77,93,86,77,
64,76,93,86,76,
65,77,94,86,77,
66,76,93,85,76,
67,77,94,86,76,
68,77,94,86,76,
69,77,94,86,77,
70,76,93,86,76,
71,76,93,85,75,
72,75,94,86,76,
73,76,94,86,75,
74,76,93,86,75,
75,76,94,86,76,
76,75,92,85,75,
77,75,93,85,76,
78,77,94,87,77,
79,75,93,85,76,
80,75,92,85,76,
81,75,92,86,77,
82,75,92,85,76,
83,76,93,86,76,
84,75,92,85,76,
85,75,92,85,76,
86,77,94,87,78,
87,76,93,86,78,
88,80,97,90,80,
89,78,95,89,79,
90,76,94,87,79,
91,77,95,88,78,
92,76,94,86,77,
93,77,95,86,77,
94,82,99,89,79,
95,77,95,87,78,
96,24,19,12,18,
97,11,9,9,7,
98,9,10,8,5,
99,8,9,10,7,
100,5,6,9,6,
101,4,4,6,5,
102,2,4,5,4,
103,2,4,5,3,
104,1,3,3,2,
105,3,3,4,3,
106,1,2,3,1,
107,3,3,4,2,
108,2,3,2,2,
109,3,3,3,3,
110,2,3,2,2,
111,2,2,2,2,
112,3,3,2,2,
113,2,2,2,1,
114,1,3,1,1,
115,2,2,3,1,
116,2,3,2,2,
117,3,3,3,2,
118,3,3,3,3,
119,2,2,2,2,
120,2,2,1,1,
121,2,2,2,1,
122,2,3,2,2,
123,4,5,5,4,
124,6,5,5,6,
125,5,5,5,5,
126,4,5,5,4,
127,3,3,3,2,
128,2,2,2,2,
129,2,3,3,2,
130,2,2,2,1,
131,1,2,2,1,
132,2,2,2,1,
133,2,2,2,2,
134,1,1,1,1,
135,1,2,2,2,
136,1,1,1,1,
137,3,3,2,2,
138,4,4,3,4,
139,2,3,3,2,
140,1,2,2,2,
141,1,1,1,1,
142,1,2,1,1,
143,1,1,1,0,
144,1,1,1,1,
145,1,1,1,1,
146,0,1,0,0,
147,0,1,1,0,
148,1,2,1,1,
149,2,1,1,1,
150,2,2,2,2,
151,1,2,1,1,
152,2,2,2,2,
153,1,1,2,1,
154,1,1,1,0,
155,1,1,1,2,
156,0,0,1,1,
157,1,1,1,1,
158,1,2,2,1,
159,1,2,2,2,
160,2,2,2,3,
161,2,3,2,2,
162,1,2,2,1,
163,2,3,3,3,
164,2,2,2,2,
165,2,2,2,2,
166,2,2,2,2,
167,2,2,2,2,
168,1,1,1,1,
169,2,2,2,1,
170,1,1,1,1,
171,2,2,2,1,
172,1,2,1,1,
173,2,2,2,2,
174,2,2,2,1,
175,1,2,2,1,
176,1,2,1,2,
177,1,2,2,1,
178,0,0,1,0,
179,1,1,1,1,
180,2,3,2,2,
181,1,1,1,1,
182,1,2,2,2,
183,0,0,0,0,
184,1,1,1,1,
185,0,1,0,0,
186,1,1,1,1,
187,1,1,1,1,
188,0,0,1,0,
189,0,0,1,0,
190,1,1,1,1,
191,1,1,1,1,
192,1,1,1,1,
193,1,1,1,1,
194,0,1,0,0,
195,0,1,1,1,
196,1,1,1,0,
197,0,1,1,0,
198,1,1,1,0,
199,1,1,1,1,
