step,mic0,mic1,mic2,mic3,
0,2,3,2,2,
1,2,3,3,3,
2,2,3,2,3,
3,1,2,2,1,
4,2,2,2,2,
5,2,2,2,2,
6,2,3,2,2,
7,3,4,3,3,
8,2,3,3,2,
9,1,1,1,1,
10,1,1,1,1,
11,1,1,1,0,
12,1,1,1,1,
13,1,1,1,1,
14,1,1,1,1,
15,3,3,3,3,
16,2,2,2,2,
17,3,3,2,4,
18,3,4,3,3,
19,1,2,2,1,
20,2,2,2,2,
21,2,3,3,2,
22,1,2,2,2,
23,2,2,2,2,
24,2,1,1,1,
25,2,2,2,2,
26,2,3,2,3,
27,2,2,2,2,
28,1,1,1,1,
29,2,2,1,2,
30,2,3,2,2,
31,3,3,2,2,
32,2,2,2,2,
33,2,2,2,1,
34,1,1,1,1,
35,1,1,1,1,
36,1,2,1,1,
37,1,2,1,1,
38,1,1,2,1,
39,1,2,2,1,
40,1,1,1,1,
41,1,1,2,1,
42,1,2,1,1,
43,1,1,1,1,
44,2,2,2,2,
45,2,3,2,1,
46,130,178,122,110,
47,119,159,109,105,
48,114,157,108,95,
49,112,159,107,92,
50,110,157,111,93,
51,110,156,112,94,
52,108,154,114,95,
53,108,155,115,96,
54,109,157,115,96,
55,108,155,114,95,
56,110,157,115,96,
57,108,155,113,95,
58,109,156,116,97,
59,107,154,114,95,
60,108,154,114,96,
61,107,153,113,95,
62,107,153,114,95,
63,108,154,114,95,
64,108,155,114,96,
65,109,155,115,97,
66,108,154,114,97,
67,113,158,119,102,
68,110,157,116,99,
69,110,155,116,99,
70,109,155,115,96,
71,109,155,114,96,
72,108,154,115,96,
73,108,154,114,96,
74,108,154,113,96,
75,109,155,115,97,
76,109,155,115,98,
77,109,155,115,98,
78,109,154,115,97,
79,110,157,117,99,
80,108,155,115,97,
81,108,154,114,97,
82,110,156,115,97,
83,109,155,114,97,
84,110,155,116,98,
85,108,154,114,96,
86,109,154,114,96,
87,110,154,115,97,
88,109,155,114,97,
89,109,155,115,97,
90,109,154,115,97,
91,109,156,116,98,
92,110,156,116,97,
93,108,155,115,97,
94,109,155,115,97,
95,109,155,115,97,
96,20,20,7,9,
97,12,8,18,6,
98,9,9,8,6,
99,7,5,9,8,
100,4,6,7,5,
101,3,4,6,6,
102,4,6,3,3,
103,2,4,3,2,
104,3,3,3,3,
105,4,5,3,4,
106,2,3,2,2,
107,3,3,3,3,
108,3,3,3,2,
109,1,2,2,2,
110,2,2,1,2,
111,1,1,1,1,
112,1,1,1,1,
113,1,3,2,2,
114,1,1,1,1,
115,1,1,1,1,
116,1,2,2,2,
117,1,2,2,1,
118,1,1,1,1,
119,1,1,1,1,
120,1,2,1,1,
121,2,2,2,2,
122,0,0,1,1,
123,1,1,1,1,
124,2,2,2,2,
125,1,2,2,2,
126,4,3,3,4,
127,2,3,2,2,
128,1,3,2,2,
129,2,2,2,1,
130,2,3,2,2,
131,2,2,2,2,
132,2,2,2,2,
133,3,3,3,3,
134,3,3,3,2,
135,2,1,1,2,
136,1,2,2,2,
137,3,3,2,2,
138,2,3,3,2,
139,1,1,1,1,
140,2,2,2,2,
141,2,2,2,2,
142,3,3,2,3,
143,5,5,5,5,
144,4,6,5,5,
145,3,3,3,3,
146,2,3,3,2,
147,4,4,4,4,
148,1,1,2,1,
149,2,3,2,3,
150,5,6,5,6,
151,9,8,8,8,
152,6,8,8,6,
153,7,8,7,7,
154,8,8,8,7,
155,4,5,6,5,
156,6,8,7,7,
157,5,6,6,5,
158,4,4,3,3,
159,4,5,5,4,
160,5,6,5,5,
161,5,5,4,4,
162,4,5,4,4,
163,3,4,4,3,
164,2,2,3,2,
165,1,2,1,1,
166,2,2,3,2,
167,1,2,2,2,
168,3,4,4,3,
169,3,4,4,3,
170,3,4,4,3,
171,1,2,2,1,
172,1,2,1,2,
173,1,2,2,2,
174,2,2,1,2,
175,2,3,1,2,
176,2,3,2,3,
177,3,4,3,3,
178,4,4,4,4,
179,3,4,3,4,
180,5,5,4,4,
181,2,3,3,3,
182,4,5,4,4,
183,4,4,4,4,
184,5,5,5,5,
185,2,3,3,2,
186,4,4,3,3,
187,2,2,2,2,
188,4,4,4,4,
189,3,5,3,2,
190,5,4,4,4,
191,4,5,4,4,
192,3,4,3,3,
193,5,6,6,5,
194,4,3,4,4,
195,2,3,3,3,
196,4,5,5,4,
197,2,3,2,2,
198,2,3,2,2,
199,3,4,3,3,
