step,mic0,mic1,mic2,mic3,
0,2,2,2,2,
1,2,2,1,2,
2,2,3,2,2,
3,1,1,1,1,
4,1,1,1,1,
5,1,1,1,1,
6,1,1,1,2,
7,1,0,1,1,
8,1,2,2,2,
9,1,2,1,1,
10,1,2,1,1,
11,0,1,1,0,
12,1,2,1,1,
13,2,2,2,2,
14,1,1,1,1,
15,1,1,1,0,
16,1,1,1,1,
17,0,1,1,0,
18,2,1,1,1,
19,1,1,1,1,
20,1,1,1,1,
21,1,1,1,1,
22,2,3,3,2,
23,3,4,4,4,
24,3,4,2,2,
25,4,4,3,3,
26,3,3,3,3,
27,2,3,3,3,
28,3,3,3,2,
29,1,1,1,1,
30,2,2,3,2,
31,2,3,2,2,
32,1,1,1,1,
33,2,2,1,1,
34,2,3,3,2,
35,1,2,2,1,
36,3,3,2,3,
37,2,3,2,2,
38,2,2,2,2,
39,1,2,2,2,
40,1,1,2,1,
41,4,5,5,4,
42,128,176,119,107,
43,122,158,109,105,
44,114,156,104,94,
45,112,159,104,91,
46,108,154,107,91,
47,107,152,106,90,
48,106,150,109,92,
49,108,153,110,92,
50,108,154,111,93,
51,106,151,110,92,
52,107,153,109,92,
53,107,151,109,92,
54,106,149,109,91,
55,106,149,110,92,
56,107,151,109,93,
57,106,150,109,92,
58,106,150,109,92,
59,107,151,109,92,
60,106,150,108,92,
61,106,150,109,92,
62,106,149,109,92,
63,105,149,108,92,
64,105,149,108,92,
65,105,149,108,92,
66,105,149,108,92,
67,106,151,109,93,
68,106,150,109,92,
69,106,149,108,92,
70,106,151,109,93,
71,106,150,109,92,
72,107,151,109,93,
73,107,150,109,93,
74,106,151,109,92,
75,106,149,109,92,
76,106,151,109,93,
77,107,150,109,93,
78,106,149,109,92,
79,107,150,110,94,
80,106,150,109,92,
81,106,150,109,92,
82,106,151,110,93,
83,106,150,109,92,
84,106,150,109,93,
85,106,150,110,93,
86,106,149,109,92,
87,106,150,110,92,
88,106,150,110,93,
89,106,151,109,92,
90,107,151,109,93,
91,107,151,109,93,
92,22,19,11,13,
93,8,5,11,6,
94,8,8,6,4,
95,3,6,6,5,
96,2,4,5,4,
97,4,4,3,3,
98,3,5,2,2,
99,1,3,2,2,
100,2,3,2,2,
101,2,3,2,2,
102,2,2,2,2,
103,1,1,1,1,
104,1,1,1,1,
105,0,1,1,1,
106,1,1,1,1,
107,1,1,1,1,
108,1,1,1,1,
109,0,1,1,1,
110,2,1,1,1,
111,1,1,1,1,
112,1,1,1,1,
113,0,0,0,1,
114,1,0,1,0,
115,1,2,1,1,
116,1,1,1,1,
117,1,0,0,0,
118,0,0,1,1,
119,1,1,1,1,
120,0,0,0,1,
121,1,1,1,1,
122,1,1,0,0,
123,1,1,1,1,
124,0,0,0,0,
125,1,1,1,0,
126,0,1,1,1,
127,1,1,1,1,
128,1,1,1,1,
129,0,1,0,1,
130,0,1,1,0,
131,1,2,2,1,
132,0,1,1,0,
133,1,1,1,1,
134,1,1,1,1,
135,0,1,0,1,
136,0,0,0,0,
137,0,0,0,1,
138,1,0,0,0,
139,0,0,1,0,
140,0,1,1,0,
141,0,1,0,1,
142,1,1,1,0,
143,1,1,1,0,
144,0,1,0,1,
145,0,0,0,0,
146,0,1,1,1,
147,0,1,0,1,
148,1,1,1,0,
149,0,0,0,0,
150,1,1,1,1,
151,0,1,0,1,
152,1,1,1,0,
153,1,1,1,0,
154,0,1,1,0,
155,1,1,1,1,
156,0,0,1,0,
157,1,1,1,1,
158,0,1,0,1,
159,0,0,1,0,
160,0,0,1,0,
161,0,0,0,0,
162,0,0,1,1,
163,0,1,1,1,
164,1,1,1,1,
165,0,1,0,0,
166,1,0,1,0,
167,1,0,0,1,
168,1,1,1,1,
169,1,1,1,0,
170,1,2,1,1,
171,1,1,1,1,
172,0,1,1,0,
173,1,1,0,0,
174,0,0,1,0,
175,1,1,1,1,
176,0,0,0,0,
177,0,1,0,1,
178,0,1,1,1,
179,1,1,0,1,
180,0,1,1,0,
181,1,1,0,1,
182,1,0,1,0,
183,0,0,1,1,
184,0,1,1,1,
185,1,0,0,0,
186,1,1,1,1,
187,1,1,1,1,
188,0,1,0,1,
189,0,0,1,0,
190,1,1,1,0,
191,1,1,0,1,
192,1,1,1,1,
193,1,1,0,1,
194,2,2,2,2,
195,1,1,1,1,
196,1,1,1,1,
197,1,1,1,1,
198,1,1,1,1,
199,1,1,1,1,
