Angle,mic0,mic1,mic2,mic3
39,196.0,190.0,228.0,268.0,
40,210.0,184.0,222.0,268.0,
41,227.0,205.0,228.0,273.0,
42,229.0,216.0,241.0,291.0,
43,226.0,217.0,240.0,290.0,
44,223.0,216.0,222.0,265.0,
45,221.0,218.0,242.0,292.0,
46,219.0,217.0,221.0,264.0,
47,219.0,216.0,240.0,292.0,
48,219.0,218.0,222.0,265.0,
49,219.0,217.0,221.0,264.0,
50,219.0,218.0,222.0,264.0,
51,219.0,218.0,227.0,279.0,
52,219.0,217.0,242.0,293.0,
53,219.0,218.0,240.0,291.0,
54,219.0,218.0,222.0,265.0,
55,219.0,218.0,222.0,270.0,
56,218.0,218.0,242.0,292.0,
57,218.0,218.0,242.0,292.0,
58,218.0,218.0,223.0,263.0,
59,219.0,218.0,240.0,291.0,
