step,mic0,mic1,mic2,mic3,
0,1,1,1,1,
1,1,1,1,0,
2,1,1,1,1,
3,1,1,1,1,
4,1,1,1,1,
5,0,1,1,1,
6,0,0,0,0,
7,1,1,1,0,
8,0,1,1,1,
9,0,0,0,0,
10,0,1,0,1,
11,0,1,0,1,
12,0,1,1,1,
13,0,1,1,0,
14,0,1,1,0,
15,0,1,0,0,
16,1,1,0,0,
17,1,0,0,0,
18,1,0,0,0,
19,0,0,0,0,
20,0,0,0,0,
21,0,0,1,0,
22,0,1,0,0,
23,0,0,0,0,
24,0,0,1,1,
25,0,1,0,1,
26,0,0,0,0,
27,0,1,1,1,
28,0,1,1,0,
29,0,0,0,0,
30,1,1,1,0,
31,1,1,1,1,
32,0,1,1,1,
33,1,1,1,1,
34,1,1,1,1,
35,1,1,1,1,
36,0,0,0,0,
37,0,1,1,1,
38,0,0,0,0,
39,0,0,0,0,
40,0,1,1,0,
41,0,1,1,0,
42,78,100,79,70,
43,68,97,68,65,
44,64,93,62,62,
45,59,91,59,58,
46,62,91,59,57,
47,58,88,58,54,
48,58,86,58,55,
49,59,87,59,55,
50,58,87,60,55,
51,57,86,59,54,
52,58,88,60,56,
53,57,87,60,55,
54,58,88,60,56,
55,59,87,61,56,
56,59,86,60,57,
57,59,86,61,57,
58,59,87,61,57,
59,59,86,61,57,
60,59,87,61,57,
61,59,86,61,57,
62,59,87,61,57,
63,60,87,61,57,
64,59,87,61,57,
65,60,88,61,57,
66,59,87,61,57,
67,59,87,61,57,
68,59,88,61,57,
69,60,88,61,57,
70,59,87,61,57,
71,59,87,61,57,
72,60,88,61,57,
73,60,88,62,58,
74,59,87,61,57,
75,59,87,61,57,
76,59,87,61,57,
77,60,87,61,57,
78,59,87,61,57,
79,59,88,62,57,
80,59,88,61,57,
81,59,87,61,57,
82,60,88,61,57,
83,59,87,61,57,
84,60,88,61,57,
85,59,88,62,57,
86,60,87,61,57,
87,59,87,61,57,
88,59,87,61,57,
89,60,88,61,57,
90,59,88,61,57,
91,19,28,19,15,
92,10,11,11,12,
93,8,8,4,5,
94,4,6,3,2,
95,6,8,5,3,
96,4,5,5,4,
97,2,4,4,3,
98,2,3,3,2,
99,3,4,4,3,
100,3,4,4,3,
101,2,3,2,2,
102,3,3,2,2,
103,2,3,2,2,
104,2,2,2,1,
105,2,3,1,1,
106,1,2,1,1,
107,0,0,1,0,
108,1,1,1,1,
109,1,1,1,1,
110,0,1,1,1,
111,0,1,1,0,
112,1,1,0,1,
113,0,1,1,1,
114,1,1,1,1,
115,0,1,0,1,
116,0,0,1,1,
117,0,0,0,1,
118,0,0,0,0,
119,0,0,0,0,
120,0,0,0,0,
121,0,0,0,0,
122,0,0,0,0,
123,0,0,0,0,
124,0,0,0,0,
125,0,0,0,0,
126,0,1,1,0,
127,1,1,1,1,
128,0,0,0,0,
129,0,0,0,0,
130,0,0,0,0,
131,0,0,0,0,
132,0,0,0,0,
133,0,0,0,1,
134,0,0,0,0,
135,1,1,0,1,
136,0,0,0,0,
137,1,0,1,1,
138,0,1,0,0,
139,0,1,1,0,
140,0,1,1,1,
141,2,2,3,2,
142,6,6,5,6,
143,1,1,2,1,
144,2,2,2,1,
145,1,1,2,1,
146,1,1,1,1,
147,0,1,0,1,
148,0,0,0,0,
149,1,1,1,1,
150,0,0,0,0,
151,0,0,0,0,
152,1,1,0,0,
153,0,1,0,0,
154,0,0,1,1,
155,0,0,0,0,
156,0,1,0,0,
157,0,0,0,1,
158,0,1,0,1,
159,0,0,0,0,
160,1,1,0,0,
161,0,0,0,0,
162,0,0,0,0,
163,0,0,0,0,
164,0,1,1,0,
165,1,1,1,0,
166,1,1,1,0,
167,0,0,0,0,
168,0,0,0,0,
169,1,0,1,0,
170,0,0,0,0,
171,0,0,0,0,
172,0,1,0,0,
173,0,0,0,0,
174,0,1,0,0,
175,1,1,1,1,
176,0,1,0,0,
177,0,0,0,0,
178,1,1,1,1,
179,0,0,1,1,
180,1,1,1,1,
181,0,0,1,0,
182,1,1,1,1,
183,1,1,1,1,
184,1,1,1,1,
185,0,0,0,0,
186,1,2,1,1,
187,1,1,1,1,
188,1,0,1,0,
189,0,0,0,0,
190,0,0,1,0,
191,1,0,1,1,
192,0,1,1,0,
193,0,0,0,0,
194,1,1,1,1,
195,0,1,1,1,
196,0,0,0,0,
197,0,1,1,0,
198,0,0,0,0,
199,0,0,0,0,
