step,mic0,mic1,mic2,mic3,
0,1,0,0,0,
1,0,1,0,0,
2,0,1,0,1,
3,0,0,1,0,
4,0,0,0,0,
5,0,0,0,0,
6,0,1,0,0,
7,0,0,1,0,
8,0,0,1,0,
9,1,0,0,0,
10,0,0,1,0,
11,1,0,0,0,
12,0,0,0,0,
13,1,0,0,0,
14,0,0,0,0,
15,1,0,1,0,
16,0,1,0,1,
17,0,0,0,0,
18,0,1,1,1,
19,0,1,0,0,
20,1,0,1,1,
21,0,1,1,0,
22,0,1,1,0,
23,0,0,1,0,
24,0,1,0,1,
25,0,0,1,0,
26,1,0,0,0,
27,0,0,1,0,
28,0,0,0,1,
29,1,0,0,0,
30,0,1,0,0,
31,1,1,0,0,
32,1,0,1,1,
33,0,1,0,0,
34,0,0,0,0,
35,1,0,1,0,
36,0,0,0,1,
37,0,0,0,0,
38,0,0,0,0,
39,1,1,1,1,
40,0,1,1,0,
41,0,1,1,1,
42,0,0,0,0,
43,0,0,1,0,
44,84,121,89,78,
45,73,130,82,63,
46,78,133,92,67,
47,80,137,93,67,
48,79,136,92,65,
49,83,139,97,66,
50,86,143,98,67,
51,88,144,97,64,
52,89,145,99,65,
53,90,146,98,65,
54,91,147,101,67,
55,90,145,99,67,
56,90,145,98,68,
57,91,145,100,69,
58,91,145,101,68,
59,92,145,100,72,
60,91,144,100,70,
61,92,145,102,72,
62,91,144,101,71,
63,92,144,102,72,
64,91,143,101,71,
65,90,143,101,71,
66,90,142,101,71,
67,90,142,100,71,
68,90,143,100,71,
69,90,142,100,71,
70,90,143,100,72,
71,90,142,101,71,
72,90,142,100,71,
73,90,142,100,72,
74,90,142,100,71,
75,90,142,100,72,
76,90,142,100,71,
77,90,143,100,71,
78,90,142,100,71,
79,90,143,100,70,
80,90,142,99,69,
81,89,142,99,69,
82,90,143,100,69,
83,91,144,100,70,
84,90,143,100,69,
85,90,144,99,70,
86,91,144,100,70,
87,90,143,99,70,
88,90,144,99,69,
89,90,143,99,69,
90,91,143,100,69,
91,90,143,99,69,
92,90,144,99,68,
93,90,143,100,68,
94,30,32,30,32,
95,17,10,8,16,
96,12,8,7,14,
97,11,9,6,11,
98,8,5,4,8,
99,7,3,3,7,
100,2,3,2,2,
101,2,4,3,3,
102,3,4,4,3,
103,2,4,3,2,
104,2,3,2,1,
105,1,3,2,2,
106,2,2,1,2,
107,1,2,1,1,
108,1,1,1,1,
109,2,2,1,2,
110,1,1,1,1,
111,1,1,1,1,
112,1,1,1,1,
113,1,1,1,1,
114,1,1,1,1,
115,1,1,1,1,
116,0,1,1,1,
117,1,1,1,1,
118,1,1,1,1,
119,1,1,1,0,
120,1,1,0,0,
121,1,1,1,1,
122,1,1,1,1,
123,1,1,1,1,
124,1,1,1,1,
125,1,1,1,1,
126,1,1,1,0,
127,1,1,1,1,
128,0,1,1,1,
129,1,1,1,1,
130,1,1,0,1,
131,0,0,1,1,
132,0,0,1,0,
133,0,0,0,0,
134,1,0,1,1,
135,0,1,1,0,
136,1,1,1,1,
137,1,1,1,1,
138,0,0,0,1,
139,1,0,1,1,
140,1,1,1,1,
141,0,0,0,0,
142,0,1,1,1,
143,0,1,1,0,
144,1,0,0,0,
145,1,1,1,1,
146,1,1,1,1,
147,0,1,0,0,
148,0,1,1,0,
149,1,1,1,1,
150,1,1,1,1,
151,0,0,0,1,
152,1,1,1,1,
153,1,1,1,1,
154,0,1,0,0,
155,1,1,1,1,
156,1,0,0,0,
157,1,0,1,0,
158,1,1,1,0,
159,0,0,0,1,
160,1,1,0,1,
161,1,0,0,0,
162,0,0,1,0,
163,0,0,0,0,
164,1,1,0,1,
165,0,1,0,0,
166,0,0,0,1,
167,1,1,1,0,
168,0,1,0,1,
169,0,1,1,0,
170,0,0,0,0,
171,0,1,1,0,
172,1,1,0,0,
173,1,1,0,1,
174,1,0,0,0,
175,0,0,1,1,
176,1,1,0,0,
177,0,0,1,0,
178,0,1,0,1,
179,1,0,1,1,
180,0,0,0,1,
181,0,0,1,0,
182,1,1,1,1,
183,1,1,1,1,
184,0,0,0,0,
185,0,0,0,1,
186,1,1,1,1,
187,0,0,0,1,
188,0,0,0,0,
189,1,1,1,1,
190,0,0,0,0,
191,1,1,1,0,
192,1,1,1,1,
193,0,1,0,1,
194,0,0,1,0,
195,0,1,0,0,
196,1,0,1,1,
197,1,0,0,0,
198,1,1,1,0,
199,1,1,1,0,
