step,mic0,mic1,mic2,mic3,
0,1,0,1,1,
1,0,1,1,1,
2,0,0,0,1,
3,1,0,1,1,
4,0,0,1,1,
5,0,1,0,1,
6,0,0,0,1,
7,0,1,1,1,
8,0,0,1,0,
9,0,1,1,0,
10,0,1,0,0,
11,0,1,0,1,
12,0,1,0,1,
13,0,1,0,1,
14,0,0,0,0,
15,1,2,1,1,
16,1,0,1,0,
17,1,1,1,1,
18,0,1,1,0,
19,1,1,0,0,
20,1,1,1,1,
21,1,0,0,0,
22,0,1,0,0,
23,0,0,0,0,
24,1,1,0,1,
25,1,1,0,1,
26,0,0,0,0,
27,1,1,1,1,
28,0,0,0,0,
29,0,0,0,0,
30,0,0,0,0,
31,1,1,1,1,
32,0,0,0,0,
33,0,0,1,0,
34,1,1,1,1,
35,0,0,0,0,
36,1,1,0,0,
37,1,1,1,0,
38,0,0,0,0,
39,0,0,0,0,
40,1,0,0,0,
41,0,0,0,0,
42,0,0,0,0,
43,0,0,0,1,
44,0,0,0,0,
45,0,1,1,0,
46,1,1,1,1,
47,0,0,0,0,
48,1,1,1,0,
49,1,0,1,0,
50,103,90,82,94,
51,107,94,73,91,
52,110,92,70,89,
53,112,94,70,90,
54,111,93,68,89,
55,113,96,68,92,
56,114,95,71,89,
57,113,96,71,90,
58,114,97,73,91,
59,114,99,72,90,
60,113,98,71,89,
61,111,96,70,87,
62,112,96,70,87,
63,112,96,70,87,
64,112,96,69,88,
65,114,97,70,88,
66,115,98,70,90,
67,115,99,70,91,
68,116,99,71,91,
69,116,99,72,91,
70,116,100,73,92,
71,117,101,74,93,
72,116,100,73,92,
73,117,101,74,94,
74,118,102,74,95,
75,117,102,74,95,
76,118,102,74,95,
77,118,103,75,96,
78,118,103,75,96,
79,118,103,76,96,
80,118,103,75,96,
81,118,103,75,96,
82,119,104,75,96,
83,119,103,75,96,
84,118,103,75,96,
85,118,104,75,96,
86,119,105,75,97,
87,118,104,75,96,
88,118,105,76,98,
89,119,105,76,97,
90,118,105,76,97,
91,119,105,76,97,
92,119,105,76,98,
93,119,105,76,98,
94,119,105,77,98,
95,119,105,76,97,
96,118,104,75,97,
97,118,105,75,97,
98,118,106,75,97,
99,118,105,75,97,
100,119,106,77,98,
101,17,19,11,16,
102,11,12,10,9,
103,3,5,4,2,
104,3,4,3,3,
105,4,4,3,3,
106,4,4,3,2,
107,4,3,2,2,
108,2,2,1,3,
109,2,2,1,2,
110,2,1,3,2,
111,2,2,2,2,
112,2,1,3,2,
113,2,2,3,2,
114,2,1,2,1,
115,1,1,1,1,
116,1,1,0,2,
117,1,1,1,1,
118,0,0,0,1,
119,1,1,1,1,
120,1,1,1,1,
121,1,1,1,0,
122,1,1,1,1,
123,1,1,2,1,
124,0,1,0,0,
125,1,0,1,1,
126,1,1,1,1,
127,1,1,1,1,
128,1,1,1,1,
129,2,2,1,1,
130,1,2,1,1,
131,0,0,1,0,
132,1,1,1,2,
133,2,2,2,2,
134,0,1,1,0,
135,0,1,1,1,
136,2,1,1,1,
137,1,1,1,1,
138,1,1,1,0,
139,1,1,1,0,
140,0,0,0,0,
141,1,0,1,0,
142,1,2,1,0,
143,0,0,1,0,
144,1,1,1,1,
145,0,0,0,0,
146,1,2,2,1,
147,0,0,0,0,
148,1,1,1,1,
149,0,0,0,0,
150,1,1,1,1,
151,1,1,1,1,
152,1,1,1,1,
153,0,0,1,0,
154,0,1,1,1,
155,0,1,1,1,
156,0,0,1,0,
157,1,0,0,0,
158,0,0,0,1,
159,0,0,1,0,
160,1,1,1,1,
161,1,1,1,1,
162,0,1,1,1,
163,1,1,1,1,
164,0,0,0,0,
165,1,0,1,1,
166,0,0,1,0,
167,0,1,0,0,
168,1,1,1,1,
169,0,1,1,1,
170,0,1,1,0,
171,1,1,1,1,
172,1,0,1,0,
173,1,1,0,1,
174,1,0,0,0,
175,0,1,1,0,
176,1,1,0,1,
177,0,1,1,1,
178,0,0,1,1,
179,0,0,0,0,
180,0,1,1,0,
181,0,1,0,0,
182,0,0,0,0,
183,0,0,0,0,
184,0,0,0,1,
185,0,1,0,1,
186,0,1,0,0,
187,0,0,0,0,
188,0,0,0,0,
189,1,0,0,1,
190,0,1,1,0,
191,0,1,1,0,
192,1,1,1,1,
193,1,1,1,1,
194,0,0,0,0,
195,0,0,0,0,
196,1,1,1,1,
197,0,1,0,0,
198,0,0,0,0,
199,0,0,0,0,
