step,mic0,mic1,mic2,mic3,
0,8,5,8,8,
1,7,5,8,7,
2,6,7,6,6,
3,8,5,8,7,
4,8,3,8,7,
5,7,8,7,7,
6,7,5,8,7,
7,7,4,8,7,
8,8,9,8,7,
9,7,5,8,7,
10,6,3,7,7,
11,7,8,8,7,
12,8,6,9,8,
13,8,3,8,7,
14,6,8,7,6,
15,8,6,8,7,
16,8,6,8,8,
17,6,7,7,6,
18,7,6,8,7,
19,6,7,7,6,
20,6,5,7,7,
21,8,3,8,7,
22,7,7,7,7,
23,7,6,8,7,
24,7,3,8,8,
25,6,7,6,6,
26,7,7,8,8,
27,8,4,8,8,
28,6,7,6,6,
29,7,8,8,7,
30,8,3,8,7,
31,6,8,7,6,
32,6,6,7,6,
33,7,2,8,7,
34,6,7,7,6,
35,6,7,7,6,
36,7,2,8,7,
37,6,8,7,7,
38,7,8,8,6,
39,7,2,8,7,
40,5,6,6,5,
41,7,8,8,7,
42,8,2,8,8,
43,7,8,7,7,
44,6,7,7,6,
45,7,8,7,6,
46,6,7,7,6,
47,151,134,105,127,
48,146,134,104,122,
49,142,132,100,121,
50,142,131,98,123,
51,140,130,99,120,
52,141,134,105,123,
53,135,124,99,116,
54,141,130,103,121,
55,141,133,105,122,
56,135,128,100,116,
57,141,132,103,119,
58,139,133,106,121,
59,135,130,103,117,
60,138,132,104,118,
61,139,132,104,120,
62,135,129,101,116,
63,138,130,104,118,
64,138,134,105,120,
65,134,128,100,115,
66,137,132,103,118,
67,139,134,105,120,
68,135,129,100,116,
69,138,132,104,119,
70,138,132,104,119,
71,138,131,103,117,
72,137,131,102,118,
73,135,129,101,116,
74,137,130,102,118,
75,139,133,104,120,
76,133,128,99,114,
77,138,131,102,118,
78,139,135,105,120,
79,134,128,99,115,
80,137,131,102,118,
81,138,132,103,118,
82,134,128,99,116,
83,136,130,102,116,
84,138,130,102,117,
85,137,129,101,116,
86,134,128,100,115,
87,139,132,102,119,
88,137,130,101,116,
89,137,131,101,117,
90,141,135,106,121,
91,136,129,101,116,
92,138,133,103,119,
93,138,131,102,117,
94,138,130,101,117,
95,139,134,104,120,
96,137,129,101,116,
97,14,11,12,13,
98,9,9,11,8,
99,12,14,13,12,
100,12,12,11,11,
101,8,6,8,7,
102,11,11,9,11,
103,7,6,8,7,
104,9,5,8,8,
105,6,5,5,5,
106,6,4,7,6,
107,6,2,7,6,
108,4,5,5,4,
109,8,7,8,7,
110,7,3,8,7,
111,7,10,8,7,
112,7,8,7,7,
113,7,6,8,8,
114,7,8,8,7,
115,5,4,6,6,
116,6,2,6,6,
117,4,6,5,4,
118,6,6,5,6,
119,6,1,6,6,
120,5,6,5,5,
121,7,7,7,6,
122,6,3,7,6,
123,4,6,6,5,
124,5,5,6,5,
125,6,2,7,6,
126,5,7,7,6,
127,6,6,6,6,
128,6,2,7,6,
129,5,6,6,5,
130,6,7,7,6,
131,6,1,6,6,
132,5,6,5,5,
133,6,6,6,6,
134,6,1,6,6,
135,5,6,5,4,
136,5,7,6,5,
137,6,1,6,6,
138,5,5,5,5,
139,6,7,6,6,
140,6,1,6,6,
141,6,6,6,6,
142,5,5,5,5,
143,6,2,7,6,
144,5,5,6,5,
145,6,6,6,5,
146,6,2,7,6,
147,7,7,7,6,
148,4,5,4,5,
149,7,3,7,6,
150,5,6,6,5,
151,7,8,7,6,
152,6,2,6,6,
153,6,5,6,6,
154,5,5,5,4,
155,6,3,7,6,
156,5,5,6,6,
157,6,6,6,6,
158,6,2,6,6,
159,5,4,5,5,
160,5,6,4,4,
161,7,4,7,6,
162,7,6,7,7,
163,6,6,6,6,
164,5,2,6,6,
165,5,2,5,5,
166,5,6,7,6,
167,6,3,6,6,
168,5,6,6,5,
169,4,5,5,4,
170,6,4,7,6,
171,6,6,7,6,
172,7,9,7,7,
173,6,3,6,6,
174,6,5,6,6,
175,4,5,5,4,
176,6,3,7,5,
177,6,5,7,6,
178,4,5,5,4,
179,5,2,5,5,
180,4,2,5,5,
181,5,6,6,5,
182,5,3,6,6,
183,5,2,5,5,
184,5,6,6,5,
185,6,7,7,6,
186,6,5,7,6,
187,6,7,6,5,
188,7,7,7,7,
189,6,5,7,6,
190,6,7,6,6,
191,6,5,7,6,
192,7,4,7,6,
193,7,8,7,7,
194,6,5,7,6,
195,6,5,7,6,
196,6,7,7,5,
197,5,5,6,6,
198,6,5,6,6,
199,5,6,6,5,
