step,mic0,mic1,mic2,mic3,
0,1,1,1,1,
1,2,2,3,1,
2,1,0,0,0,
3,2,2,2,1,
4,1,1,2,1,
5,1,2,2,2,
6,2,2,1,2,
7,3,4,3,3,
8,1,1,0,1,
9,2,2,1,1,
10,2,2,3,2,
11,1,1,1,1,
12,2,3,2,2,
13,2,2,3,2,
14,3,4,3,3,
15,2,2,2,2,
16,1,1,1,0,
17,2,2,2,2,
18,3,3,3,3,
19,2,2,2,2,
20,3,3,3,3,
21,3,3,3,3,
22,2,2,2,2,
23,2,2,2,2,
24,3,3,3,2,
25,1,2,0,1,
26,1,1,2,1,
27,3,4,3,3,
28,1,1,1,1,
29,3,4,4,4,
30,3,3,3,3,
31,1,1,1,1,
32,2,2,2,1,
33,4,5,4,5,
34,1,2,1,1,
35,1,1,1,1,
36,3,3,3,3,
37,5,5,5,4,
38,2,3,2,2,
39,1,2,2,2,
40,1,2,2,1,
41,3,3,3,3,
42,3,3,2,2,
43,1,1,1,1,
44,108,154,153,110,
45,103,165,163,100,
46,99,158,157,99,
47,100,159,158,99,
48,99,158,154,98,
49,97,156,153,94,
50,97,157,153,95,
51,99,157,154,97,
52,99,159,154,98,
53,100,158,157,98,
54,97,157,155,96,
55,97,158,156,95,
56,97,158,155,95,
57,97,157,154,94,
58,96,157,154,95,
59,97,156,154,94,
60,96,156,153,94,
61,98,157,154,95,
62,98,158,154,96,
63,97,157,153,94,
64,97,158,154,97,
65,96,157,154,94,
66,97,159,155,96,
67,98,158,155,96,
68,95,156,153,94,
69,97,157,155,95,
70,96,158,154,95,
71,96,157,153,94,
72,97,158,154,94,
73,96,157,154,95,
74,96,157,154,94,
75,97,158,154,95,
76,97,158,155,96,
77,96,157,153,94,
78,96,157,154,94,
79,97,158,155,95,
80,97,158,155,96,
81,97,159,154,95,
82,96,157,154,94,
83,97,158,154,94,
84,97,158,154,95,
85,97,159,155,95,
86,98,159,155,96,
87,97,158,154,95,
88,96,157,154,94,
89,96,157,153,94,
90,97,158,154,95,
91,97,158,153,95,
92,95,156,153,94,
93,97,157,154,95,
94,16,17,15,18,
95,4,15,14,5,
96,3,11,11,6,
97,4,8,8,6,
98,3,7,6,4,
99,2,6,4,3,
100,3,5,4,4,
101,3,4,5,3,
102,2,5,5,3,
103,4,4,4,4,
104,3,3,2,3,
105,2,3,3,1,
106,1,2,2,1,
107,2,4,3,3,
108,1,2,2,1,
109,1,2,2,1,
110,2,2,1,1,
111,1,2,1,1,
112,2,2,2,2,
113,2,2,2,2,
114,0,0,1,0,
115,1,1,1,1,
116,2,1,1,2,
117,1,1,1,1,
118,1,1,1,1,
119,2,3,3,3,
120,2,2,1,1,
121,2,2,1,2,
122,0,1,1,1,
123,0,1,1,1,
124,1,1,1,1,
125,1,2,2,1,
126,1,2,1,1,
127,1,1,1,1,
128,0,0,0,0,
129,1,1,1,1,
130,1,2,2,2,
131,1,1,1,1,
132,1,0,1,0,
133,1,1,1,1,
134,0,1,1,1,
135,1,1,1,1,
136,1,1,1,1,
137,1,1,1,1,
138,1,1,0,1,
139,3,3,2,2,
140,2,2,2,2,
141,1,1,1,1,
142,2,2,3,2,
143,2,2,2,2,
144,1,1,1,1,
145,3,3,3,3,
146,1,2,1,2,
147,1,2,1,1,
148,5,5,5,5,
149,2,2,2,2,
150,3,3,4,3,
151,3,4,3,3,
152,4,5,3,3,
153,4,5,4,4,
154,4,5,5,4,
155,4,4,4,4,
156,2,2,2,2,
157,3,4,3,3,
158,2,3,3,3,
159,4,4,4,4,
160,5,5,5,5,
161,3,3,3,3,
162,5,6,6,6,
163,4,5,5,4,
164,5,5,5,4,
165,5,5,5,4,
166,5,6,6,5,
167,4,5,4,5,
168,5,6,5,5,
169,4,4,4,4,
170,3,4,5,4,
171,6,6,6,5,
172,4,5,4,4,
173,6,7,6,6,
174,4,5,5,5,
175,6,6,6,6,
176,6,7,6,6,
177,5,6,5,5,
178,7,8,7,6,
179,6,7,6,6,
180,7,8,8,7,
181,6,8,7,6,
182,6,7,6,5,
183,6,8,6,6,
184,8,8,8,7,
185,7,8,8,6,
186,8,9,8,8,
187,7,8,8,7,
188,7,8,8,7,
189,6,7,7,6,
190,5,7,6,6,
191,8,8,8,7,
192,5,6,5,4,
193,5,6,5,4,
194,6,7,6,6,
195,3,5,4,4,
196,6,7,6,5,
197,6,7,6,6,
198,4,5,4,3,
199,5,5,5,4,
