Angle,mic0,mic1,mic2,mic3
39,124.0,139.0,139.0,154.0,
41,113.0,119.0,134.0,144.0,
42,114.0,119.0,137.0,145.0,
43,118.0,121.0,135.0,149.0,
44,113.0,119.0,131.0,140.0,
45,119.0,122.0,133.0,149.0,
46,115.0,119.0,130.0,141.0,
47,119.0,122.0,132.0,149.0,
48,114.0,120.0,132.0,141.0,
49,118.0,123.0,132.0,148.0,
50,119.0,124.0,136.0,145.0,
51,117.0,121.0,132.0,148.0,
52,118.0,121.0,133.0,149.0,
53,113.0,119.0,129.0,143.0,
54,115.0,119.0,129.0,142.0,
55,114.0,120.0,131.0,140.0,
56,113.0,119.0,130.0,139.0,
57,118.0,121.0,131.0,148.0,
58,119.0,122.0,132.0,149.0,
59,115.0,122.0,132.0,144.0,
