step,mic0,mic1,mic2,mic3,
0,0,0,0,0,
1,0,1,1,0,
2,0,0,0,1,
3,1,0,0,0,
4,0,0,0,0,
5,0,0,0,0,
6,0,0,0,0,
7,0,0,0,0,
8,0,0,0,0,
9,1,0,1,0,
10,0,0,0,0,
11,0,0,0,0,
12,0,0,0,1,
13,0,0,0,0,
14,0,0,0,0,
15,0,0,0,0,
16,1,0,0,1,
17,0,0,0,0,
18,0,0,1,0,
19,0,0,0,0,
20,0,0,1,0,
21,0,0,1,0,
22,0,0,0,0,
23,0,0,0,0,
24,0,0,0,0,
25,0,0,0,0,
26,0,0,0,0,
27,0,0,0,0,
28,1,0,0,0,
29,0,0,0,0,
30,0,0,0,1,
31,0,0,0,0,
32,1,0,1,0,
33,0,0,0,0,
34,0,0,1,0,
35,0,0,0,0,
36,0,0,1,0,
37,1,1,0,0,
38,0,1,1,1,
39,0,1,1,1,
40,1,1,1,1,
41,2,2,1,1,
42,0,0,0,1,
43,1,1,1,2,
44,1,0,1,1,
45,5,15,18,4,
46,71,102,104,77,
47,60,105,105,64,
48,62,98,100,68,
49,63,101,103,69,
50,66,103,105,72,
51,66,106,108,73,
52,65,104,107,71,
53,66,105,107,73,
54,67,106,107,73,
55,65,106,108,71,
56,65,107,109,72,
57,65,106,108,71,
58,65,107,108,71,
59,67,108,109,73,
60,65,107,109,72,
61,65,108,109,72,
62,66,109,111,73,
63,66,108,110,72,
64,66,108,110,72,
65,67,109,110,72,
66,66,108,109,72,
67,66,108,110,72,
68,65,107,110,72,
69,66,107,109,72,
70,66,108,109,72,
71,65,107,109,72,
72,65,107,109,72,
73,65,107,109,71,
74,65,107,109,72,
75,66,108,109,72,
76,65,107,110,72,
77,65,107,109,72,
78,65,107,109,71,
79,65,107,109,71,
80,66,108,110,72,
81,65,107,109,71,
82,65,107,109,71,
83,65,107,109,71,
84,66,107,109,71,
85,65,107,109,71,
86,65,107,109,72,
87,65,107,109,71,
88,66,108,110,72,
89,65,108,109,72,
90,65,106,109,71,
91,65,107,110,72,
92,65,107,109,72,
93,65,107,109,71,
94,66,107,109,72,
95,65,107,109,71,
96,7,5,7,7,
97,8,10,9,9,
98,6,11,12,8,
99,3,6,8,6,
100,3,6,6,3,
101,3,4,3,3,
102,3,5,4,3,
103,2,4,4,3,
104,2,3,4,3,
105,1,2,2,1,
106,1,2,1,2,
107,1,1,1,1,
108,1,1,1,0,
109,1,2,1,0,
110,1,1,0,1,
111,0,1,0,0,
112,1,1,1,0,
113,1,1,1,0,
114,1,1,0,0,
115,0,0,1,0,
116,0,0,0,0,
117,0,0,0,0,
118,0,0,0,0,
119,0,0,1,0,
120,0,0,0,0,
121,1,0,0,1,
122,2,3,2,3,
123,5,6,5,4,
124,4,5,5,4,
125,4,4,4,5,
126,3,3,4,2,
127,1,2,2,1,
128,3,3,3,2,
129,5,4,5,5,
130,3,3,2,3,
131,3,3,3,4,
132,1,1,2,1,
133,1,2,1,1,
134,2,1,1,2,
135,1,1,1,1,
136,2,2,2,1,
137,3,3,3,3,
138,5,6,5,5,
139,6,6,5,6,
140,5,6,5,5,
141,3,4,3,3,
142,3,4,3,3,
143,2,3,3,3,
144,2,2,2,2,
145,2,2,2,2,
146,2,2,2,2,
147,3,3,2,3,
148,2,3,2,3,
149,2,3,3,2,
150,3,3,3,2,
151,4,5,4,4,
152,4,5,4,4,
153,3,4,4,4,
154,1,1,1,1,
155,1,1,1,0,
156,1,1,1,1,
157,1,1,1,1,
158,1,1,1,1,
159,0,1,1,0,
160,1,1,1,1,
161,3,3,3,2,
162,2,4,3,3,
163,4,4,3,3,
164,5,5,4,4,
165,4,5,4,3,
166,4,4,3,3,
167,3,3,3,2,
168,2,3,3,2,
169,4,4,4,4,
170,4,4,4,4,
171,3,3,3,2,
172,2,2,2,2,
173,2,2,3,3,
174,2,3,3,2,
175,3,3,2,2,
176,2,2,2,1,
177,1,1,1,1,
178,1,0,0,0,
179,0,0,1,1,
180,1,1,1,1,
181,1,1,1,1,
182,1,1,1,1,
183,0,1,1,1,
184,1,1,1,1,
185,0,0,0,0,
186,0,0,0,0,
187,1,1,0,0,
188,0,1,0,0,
189,0,0,0,0,
190,1,1,1,1,
191,0,0,1,0,
192,0,0,1,1,
193,0,0,0,0,
194,0,1,0,0,
195,1,1,1,0,
196,0,0,0,0,
197,0,0,0,0,
198,0,0,1,0,
199,0,0,1,0,
