step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,
92,0.0,0.0,0.0,0.0,0.0,0,7.08,2.0,
93,0.0,0.0,0.0,0.0,0.0,15.42,0,0.0,
94,0.0,0.0,0.0,0.0,0.0,23.42,7.08,0.0,
95,0.0,0.0,0.0,0.0,0.0,0,5.08,43.0,
96,0.0,0.0,0.0,0.0,0.0,0,25.08,139.0,
97,0.0,0.0,0.0,0.0,0.0,0,6.08,0.0,
98,0.0,0.0,0.0,0.0,0.0,0,14.08,0.0,
99,0.0,0.0,0.0,0.0,0.0,6.42,0,0.0,
100,0.0,0.0,0.0,0.0,0.0,7.42,6.08,0.0,
101,0.0,0.0,0.0,0.0,0.0,9.42,2.08,0.0,
102,0.0,0.0,0.0,0.0,0.0,0,6.08,140.0,
103,0.0,0.0,0.0,0.0,0.0,33.42,6.08,0.0,
104,0.0,0.0,0.0,0.0,0.0,0,12.08,0.0,
105,0.0,0.0,0.0,0.0,0.0,23.42,10.08,0.0,
106,0.0,0.0,0.0,0.0,0.0,0,10.08,0.0,
107,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
108,0.0,0.0,0.0,0.0,0.0,16.42,7.08,0.0,
109,0.0,0.0,0.0,0.0,0.0,16.42,8.08,0.0,
110,0.0,0.0,0.0,0.0,0.0,18.42,25.08,113.0,
111,0.0,0.0,0.0,0.0,0.0,14.42,4.08,0.0,
112,0.0,0.0,0.0,0.0,0.0,14.42,0,0.0,
113,0.0,0.0,0.0,0.0,0.0,0,6.08,92.0,
114,0.0,0.0,0.0,0.0,0.0,14.42,22.08,130.0,
115,0.0,0.0,0.0,0.0,0.0,0,18.08,0.0,
116,0.0,0.0,0.0,0.0,0.0,0,2.08,0.0,
117,0.0,0.0,0.0,0.0,0.0,2.42,0,0.0,
118,0.0,0.0,0.0,0.0,0.0,0,4.08,0.0,
119,0.0,0.0,0.0,0.0,0.0,0,3.08,0.0,
120,0.0,0.0,0.0,0.0,0.0,18.42,0,118.0,
121,0.0,0.0,0.0,0.0,0.0,0.41999999999999993,0,0.0,
122,0.0,0.0,0.0,0.0,0.0,2.42,3.08,0.0,
123,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
124,0.0,0.0,0.0,0.0,0.0,0,4.08,0.0,
125,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
126,0.0,0.0,0.0,0.0,0.0,0,1.08,0.0,
127,0.0,0.0,0.0,0.0,0.0,0,40.08,0.0,
128,0.0,0.0,0.0,0.0,0.0,0,17.08,93.0,
129,0.0,0.0,0.0,0.0,0.0,0,4.08,0.0,
130,0.0,0.0,0.0,0.0,0.0,33.42,3.08,0.0,
131,0.0,0.0,0.0,0.0,0.0,29.42,0,0.0,
132,0.0,0.0,0.0,0.0,0.0,0,6.08,15.0,
133,0.0,0.0,0.0,0.0,0.0,2.42,7.08,0.0,
134,0.0,0.0,0.0,0.0,0.0,13.42,0.08000000000000007,0.0,
135,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
136,0.0,0.0,0.0,0.0,0.0,2.42,1.08,0.0,
137,0.0,0.0,0.0,0.0,0.0,0,0.08000000000000007,0.0,
138,0.0,0.0,0.0,0.0,0.0,0,5.08,77.0,
139,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
140,0.0,0.0,0.0,0.0,0.0,16.42,13.08,0.0,
141,0.0,0.0,0.0,0.0,0.0,17.42,0,0.0,
142,0.0,0.0,0.0,0.0,0.0,0,14.08,0.0,
143,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
144,0.0,0.0,0.0,0.0,0.0,16.42,2.08,0.0,
145,0.0,0.0,0.0,0.0,0.0,20.42,27.08,0.0,
146,0.0,0.0,0.0,0.0,0.0,8.42,5.08,56.0,
147,0.0,0.0,0.0,0.0,0.0,0.41999999999999993,2.08,0.0,
148,0.0,0.0,0.0,0.0,0.0,37.42,1.08,0.0,
149,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
150,0.0,0.0,0.0,0.0,0.0,19.42,3.08,0.0,
151,0.0,0.0,0.0,0.0,0.0,0.41999999999999993,0.08000000000000007,0.0,
152,0.0,0.0,0.0,0.0,0.0,17.42,2.08,0.0,
153,0.0,0.0,0.0,0.0,0.0,13.42,11.08,0.0,
154,0.0,0.0,0.0,0.0,0.0,0,5.08,0.0,
155,0.0,0.0,0.0,0.0,0.0,31.42,3.08,0.0,
