Angle,mic0,mic1,mic2,mic3
39,258.0,328.0,195.0,184.0,
40,257.0,303.0,180.0,172.0,
41,266.0,314.0,186.0,170.0,
42,266.0,313.0,190.0,172.0,
43,271.0,332.0,198.0,186.0,
44,270.0,313.0,195.0,177.0,
45,272.0,333.0,198.0,187.0,
46,272.0,333.0,198.0,186.0,
47,273.0,315.0,199.0,181.0,
48,274.0,333.0,201.0,186.0,
49,272.0,332.0,200.0,188.0,
50,271.0,313.0,198.0,180.0,
51,271.0,329.0,198.0,188.0,
52,271.0,315.0,198.0,180.0,
53,271.0,314.0,197.0,179.0,
54,271.0,312.0,197.0,180.0,
55,271.0,333.0,198.0,186.0,
56,271.0,332.0,198.0,186.0,
57,272.0,332.0,199.0,187.0,
58,271.0,329.0,196.0,186.0,
59,272.0,332.0,198.0,187.0,
