step,mic0,mic1,mic2,mic3,
0,3,3,2,3,
1,4,4,4,3,
2,3,3,4,3,
3,2,2,2,2,
4,2,2,2,1,
5,2,1,1,1,
6,1,2,1,1,
7,1,1,1,1,
8,0,1,1,1,
9,3,3,3,2,
10,2,2,2,2,
11,2,3,2,2,
12,2,3,3,2,
13,3,4,3,4,
14,5,5,5,5,
15,3,3,4,3,
16,3,3,3,3,
17,2,2,2,2,
18,3,4,3,4,
19,2,3,2,2,
20,2,1,2,1,
21,1,2,2,1,
22,1,2,1,1,
23,1,2,1,1,
24,1,1,1,1,
25,1,1,1,1,
26,1,1,1,0,
27,1,1,1,1,
28,0,0,0,0,
29,1,0,1,1,
30,1,1,0,0,
31,0,0,0,1,
32,0,0,0,1,
33,0,1,1,0,
34,0,0,0,1,
35,0,1,0,0,
36,0,1,1,1,
37,1,1,1,1,
38,1,1,1,1,
39,0,1,0,0,
40,0,0,0,0,
41,1,1,0,0,
42,0,1,0,0,
43,0,1,0,0,
44,1,1,1,1,
45,103,107,80,81,
46,97,91,86,84,
47,88,90,88,84,
48,88,92,90,86,
49,94,97,96,90,
50,92,97,97,88,
51,90,95,95,88,
52,93,95,95,89,
53,95,100,97,90,
54,94,98,96,90,
55,94,98,96,90,
56,93,97,94,90,
57,93,97,94,90,
58,94,98,94,91,
59,94,97,94,91,
60,94,97,93,91,
61,94,96,92,90,
62,94,96,92,90,
63,95,97,92,91,
64,94,96,92,91,
65,94,96,92,91,
66,95,96,93,90,
67,94,96,93,91,
68,94,96,93,91,
69,94,96,92,90,
70,95,97,94,92,
71,95,98,95,91,
72,94,96,94,91,
73,93,95,93,90,
74,94,96,93,90,
75,93,96,92,90,
76,93,95,91,89,
77,93,95,91,89,
78,93,95,92,89,
79,93,96,92,89,
80,94,96,92,89,
81,94,95,91,90,
82,94,96,92,89,
83,94,96,91,89,
84,93,96,92,89,
85,93,95,91,89,
86,94,96,92,89,
87,94,96,92,90,
88,94,96,92,89,
89,93,95,92,89,
90,93,95,92,89,
91,93,95,91,89,
92,93,95,92,89,
93,92,94,91,88,
94,92,95,91,88,
95,12,16,16,12,
96,7,5,13,12,
97,6,3,6,8,
98,2,5,3,4,
99,3,5,4,4,
100,3,3,3,4,
101,2,3,2,1,
102,2,3,2,2,
103,2,2,2,1,
104,1,2,1,2,
105,1,1,1,1,
106,2,1,2,2,
107,3,3,3,4,
108,3,3,3,3,
109,2,1,2,2,
110,2,3,2,2,
111,2,2,2,2,
112,2,2,1,2,
113,1,1,1,1,
114,2,1,1,1,
115,1,1,1,1,
116,1,1,1,1,
117,1,1,1,1,
118,1,1,1,1,
119,1,1,1,1,
120,1,1,1,1,
121,0,1,0,1,
122,0,1,1,1,
123,0,0,1,0,
124,1,1,1,0,
125,1,1,1,1,
126,0,1,0,1,
127,1,1,1,0,
128,0,1,1,1,
129,0,0,0,0,
130,0,0,0,1,
131,0,0,0,1,
132,0,1,1,0,
133,0,0,0,0,
134,0,1,1,0,
135,0,0,1,0,
136,0,0,0,0,
137,0,1,0,1,
138,1,1,0,1,
139,0,1,1,1,
140,0,1,0,0,
141,1,1,1,1,
142,0,1,1,1,
143,1,1,1,1,
144,1,1,1,1,
145,1,1,1,0,
146,0,0,1,0,
147,0,1,0,0,
148,0,1,1,0,
149,0,0,0,0,
150,1,1,1,1,
151,0,1,0,1,
152,1,0,1,0,
153,0,1,1,0,
154,0,1,1,1,
155,1,1,0,0,
156,1,1,1,1,
157,1,0,1,0,
158,1,1,1,0,
159,0,1,1,0,
160,1,1,1,0,
161,1,1,1,0,
162,0,1,0,1,
163,0,1,0,1,
164,1,0,0,0,
165,1,1,1,1,
166,0,0,0,1,
167,2,2,2,1,
168,2,3,2,2,
169,2,2,2,2,
170,0,1,1,1,
171,2,3,3,2,
172,1,1,1,2,
173,3,3,3,3,
174,4,3,3,3,
175,3,2,3,2,
176,4,4,4,4,
177,4,4,4,4,
178,4,4,5,4,
179,3,3,3,3,
180,2,3,3,3,
181,2,3,3,3,
182,2,1,2,1,
183,2,3,2,2,
184,2,3,2,2,
185,1,2,2,2,
186,2,2,2,3,
187,1,1,1,1,
188,1,1,2,2,
189,1,2,1,1,
190,1,1,1,1,
191,1,1,1,1,
192,0,1,1,0,
193,1,2,1,1,
194,2,3,2,1,
195,1,2,1,1,
196,2,3,2,1,
197,1,1,1,1,
198,1,1,1,1,
199,1,1,1,1,
