Angle,mic0,mic1,mic2,mic3
39,111.0,133.0,165.0,129.0,
40,106.0,114.0,157.0,116.0,
41,116.0,130.0,162.0,132.0,
42,119.0,134.0,164.0,133.0,
43,115.0,129.0,161.0,131.0,
44,116.0,131.0,163.0,133.0,
45,106.0,119.0,151.0,109.0,
46,106.0,115.0,152.0,115.0,
48,120.0,132.0,160.0,128.0,
49,110.0,127.0,157.0,125.0,
50,137.0,143.0,180.0,144.0,
51,119.0,131.0,160.0,131.0,
53,121.0,130.0,161.0,124.0,
54,108.0,121.0,155.0,113.0,
55,119.0,129.0,160.0,131.0,
56,121.0,133.0,162.0,132.0,
57,105.0,118.0,159.0,118.0,
58,115.0,129.0,161.0,131.0,
59,102.0,111.0,155.0,111.0,
