step,mic0,mic1,mic2,mic3,
0,5,7,6,5,
1,3,4,4,3,
2,3,3,3,2,
3,3,4,4,3,
4,3,3,3,2,
5,2,2,2,2,
6,4,4,3,3,
7,2,3,2,2,
8,1,2,2,1,
9,1,1,1,1,
10,1,1,1,1,
11,1,1,1,1,
12,1,1,1,1,
13,1,0,0,1,
14,3,4,3,3,
15,4,5,4,3,
16,5,5,5,4,
17,6,7,7,6,
18,6,6,7,7,
19,4,4,4,4,
20,3,3,2,2,
21,3,3,3,2,
22,3,4,4,3,
23,4,5,4,4,
24,2,3,3,2,
25,3,4,4,3,
26,2,3,2,2,
27,3,4,4,3,
28,3,3,3,2,
29,3,3,2,3,
30,2,3,3,2,
31,1,2,2,2,
32,1,1,1,1,
33,1,1,1,1,
34,2,2,2,1,
35,2,2,2,2,
36,2,2,2,2,
37,2,3,3,2,
38,2,3,3,2,
39,4,5,5,4,
40,2,3,3,3,
41,1,1,2,1,
42,1,1,1,1,
43,1,1,1,1,
44,1,1,1,1,
45,1,1,1,1,
46,1,1,1,1,
47,92,103,89,81,
48,95,114,99,91,
49,98,115,105,95,
50,96,113,102,88,
51,99,118,103,90,
52,98,118,102,89,
53,96,116,98,86,
54,96,116,98,86,
55,97,117,98,86,
56,98,117,97,86,
57,98,117,96,87,
58,98,118,97,88,
59,98,118,97,87,
60,98,118,97,87,
61,98,118,97,86,
62,99,119,96,86,
63,98,117,97,86,
64,98,118,96,88,
65,98,117,97,86,
66,98,118,97,86,
67,98,118,97,86,
68,98,118,97,87,
69,98,117,97,86,
70,97,117,97,86,
71,97,117,97,86,
72,98,117,98,86,
73,98,118,98,87,
74,98,117,98,87,
75,98,118,99,87,
76,98,118,99,88,
77,99,119,100,88,
78,99,118,99,89,
79,98,118,99,89,
80,98,118,99,88,
81,98,117,98,87,
82,98,117,98,87,
83,98,116,97,87,
84,98,117,97,87,
85,97,116,98,87,
86,97,116,97,87,
87,98,116,98,87,
88,98,116,98,88,
89,99,117,98,87,
90,98,117,98,87,
91,98,117,98,87,
92,98,117,99,88,
93,98,117,99,88,
94,98,117,99,88,
95,99,117,99,89,
96,98,117,99,88,
97,9,12,17,14,
98,11,9,13,13,
99,6,9,10,6,
100,3,3,6,3,
101,3,4,5,3,
102,4,4,3,2,
103,4,4,2,3,
104,3,3,1,3,
105,3,2,1,2,
106,2,1,1,1,
107,2,2,1,2,
108,1,1,1,1,
109,1,1,1,1,
110,1,1,1,1,
111,1,1,1,0,
112,1,1,1,1,
113,1,1,1,1,
114,0,1,1,1,
115,1,1,1,1,
116,1,1,1,1,
117,1,0,0,1,
118,1,0,1,1,
119,0,0,0,1,
120,0,1,0,0,
121,0,0,0,0,
122,0,0,0,0,
123,0,0,0,0,
124,0,0,0,0,
125,0,0,0,0,
126,1,0,0,0,
127,0,0,0,0,
128,0,0,0,0,
129,0,0,0,0,
130,0,1,0,0,
131,0,0,0,0,
132,1,0,1,0,
133,1,1,1,1,
134,1,1,1,1,
135,1,1,1,0,
136,0,0,1,1,
137,1,0,0,0,
138,1,0,1,0,
139,1,1,1,1,
140,1,1,1,1,
141,1,1,1,1,
142,1,1,1,1,
143,1,1,1,1,
144,1,1,1,1,
145,1,1,1,1,
146,1,1,1,0,
147,0,1,0,0,
148,0,0,0,0,
149,0,1,1,0,
150,1,0,0,0,
151,0,0,0,0,
152,1,1,1,0,
153,0,0,0,0,
154,1,0,1,1,
155,1,1,1,0,
156,1,1,1,1,
157,1,0,0,1,
158,1,1,1,1,
159,1,1,1,1,
160,1,2,2,1,
161,1,1,1,1,
162,0,0,0,0,
163,1,1,0,1,
164,0,1,1,1,
165,0,0,0,0,
166,0,1,0,0,
167,1,0,0,0,
168,0,1,1,1,
169,1,1,1,1,
170,1,1,1,1,
171,0,1,1,1,
172,1,1,1,0,
173,0,0,0,1,
174,0,1,0,1,
175,0,1,1,0,
176,1,1,1,1,
177,1,1,1,1,
178,0,1,1,0,
179,1,1,1,1,
180,1,1,1,1,
181,1,1,1,0,
182,0,1,1,0,
183,0,1,1,1,
184,0,1,0,1,
185,1,1,1,1,
186,1,1,1,1,
187,1,1,1,1,
188,0,0,0,0,
189,0,0,1,0,
190,0,0,0,0,
191,0,1,0,1,
192,1,1,1,1,
193,1,1,1,1,
194,1,1,1,1,
195,1,1,0,1,
196,1,1,1,1,
197,1,1,1,1,
198,1,1,0,1,
199,1,1,0,1,
