step,mic0,mic1,mic2,mic3,
0,2,3,2,2,
1,1,1,1,2,
2,1,2,1,0,
3,1,1,1,1,
4,2,2,1,1,
5,1,1,1,1,
6,0,0,1,1,
7,1,1,0,1,
8,1,1,0,1,
9,0,1,1,0,
10,0,1,1,1,
11,2,3,2,2,
12,2,2,2,2,
13,1,2,1,1,
14,1,0,1,1,
15,0,1,1,0,
16,1,1,1,1,
17,1,0,1,0,
18,0,0,1,0,
19,1,1,1,1,
20,1,1,1,1,
21,1,0,1,0,
22,0,1,1,2,
23,1,2,1,1,
24,1,1,1,1,
25,0,0,1,0,
26,0,0,0,0,
27,0,0,0,0,
28,0,1,0,0,
29,0,0,0,1,
30,0,0,1,0,
31,1,1,0,0,
32,0,0,0,0,
33,1,1,0,1,
34,1,0,0,0,
35,1,1,1,1,
36,1,1,1,1,
37,1,1,1,1,
38,1,1,1,0,
39,1,1,0,1,
40,1,2,2,1,
41,1,1,1,1,
42,1,2,1,1,
43,1,1,1,1,
44,1,1,1,1,
45,0,1,1,0,
46,0,1,0,0,
47,98,110,79,78,
48,103,123,69,67,
49,108,121,58,63,
50,111,120,62,68,
51,110,118,61,67,
52,110,119,59,65,
53,110,118,58,66,
54,109,118,61,68,
55,109,120,62,67,
56,110,122,61,69,
57,111,122,62,69,
58,111,122,63,69,
59,111,123,62,71,
60,110,120,61,69,
61,111,120,60,68,
62,110,120,60,69,
63,110,120,60,69,
64,110,120,60,68,
65,110,120,60,69,
66,110,119,60,69,
67,110,120,61,70,
68,110,120,60,69,
69,110,120,60,68,
70,110,120,61,69,
71,110,119,60,68,
72,109,119,60,68,
73,110,119,60,69,
74,109,119,60,69,
75,110,119,60,69,
76,110,124,63,69,
77,111,122,63,70,
78,112,121,62,71,
79,112,121,62,70,
80,110,120,60,69,
81,110,119,59,69,
82,109,119,60,68,
83,111,120,60,68,
84,109,119,59,69,
85,110,120,60,69,
86,110,120,61,70,
87,111,120,60,69,
88,112,121,61,71,
89,110,120,60,69,
90,109,119,59,68,
91,110,119,60,69,
92,111,121,61,70,
93,112,121,61,70,
94,112,121,61,71,
95,111,121,62,70,
96,110,120,61,69,
97,24,23,18,20,
98,7,8,7,9,
99,3,4,4,7,
100,2,4,2,4,
101,5,5,4,6,
102,5,3,6,7,
103,2,4,6,5,
104,2,4,5,4,
105,1,2,2,3,
106,2,3,2,2,
107,2,3,2,2,
108,2,3,3,2,
109,1,3,3,2,
110,2,3,2,1,
111,3,3,3,2,
112,2,2,2,2,
113,2,3,3,2,
114,1,2,2,2,
115,1,1,2,1,
116,2,2,2,2,
117,2,3,2,2,
118,3,3,3,2,
119,2,2,2,2,
120,2,2,2,2,
121,3,3,3,3,
122,2,3,2,2,
123,2,3,3,2,
124,3,4,3,2,
125,2,2,2,2,
126,2,2,3,2,
127,3,4,3,3,
128,3,4,4,4,
129,4,4,5,4,
130,4,5,5,4,
131,4,4,4,4,
132,4,4,4,4,
133,2,3,3,3,
134,3,4,3,3,
135,2,3,2,3,
136,2,2,2,2,
137,2,2,2,1,
138,2,2,2,2,
139,3,3,3,2,
140,3,4,3,3,
141,4,5,4,4,
142,4,5,4,4,
143,4,5,4,4,
144,4,4,4,3,
145,4,5,4,4,
146,3,4,3,3,
147,4,5,4,4,
148,4,4,5,4,
149,3,4,4,3,
150,2,3,3,3,
151,2,2,2,2,
152,3,3,2,2,
153,3,4,3,3,
154,4,4,4,3,
155,3,4,4,3,
156,4,4,4,4,
157,4,4,4,3,
158,4,4,3,3,
159,3,3,2,3,
160,2,3,3,3,
161,3,4,3,3,
162,3,3,3,3,
163,2,3,3,2,
164,2,2,2,2,
165,2,3,3,3,
166,2,3,2,2,
167,2,2,3,2,
168,3,3,3,3,
169,3,4,3,3,
170,3,3,3,3,
171,3,4,3,3,
172,3,3,3,2,
173,3,3,3,3,
174,4,4,4,4,
175,2,3,3,2,
176,2,3,2,2,
177,2,3,3,3,
178,2,2,2,2,
179,2,2,2,2,
180,2,2,2,2,
181,2,2,2,2,
182,2,2,2,2,
183,2,3,3,3,
184,2,2,2,2,
185,3,3,2,2,
186,2,3,3,3,
187,3,4,4,3,
188,3,3,4,2,
189,2,3,2,2,
190,2,3,3,2,
191,2,3,2,1,
192,1,3,2,1,
193,1,2,2,1,
194,1,2,2,1,
195,2,2,2,2,
196,1,1,1,1,
197,1,1,1,1,
198,2,3,2,3,
199,1,2,2,1,
