Angle,mic0,mic1,mic2,mic3
39,193.0,212.0,291.0,250.0,
40,183.0,181.0,254.0,226.0,
41,197.0,199.0,268.0,234.0,
42,205.0,209.0,284.0,246.0,
43,208.0,209.0,283.0,246.0,
44,207.0,209.0,262.0,231.0,
45,208.0,210.0,286.0,244.0,
46,206.0,207.0,261.0,229.0,
47,206.0,208.0,286.0,245.0,
48,205.0,206.0,255.0,228.0,
49,207.0,209.0,283.0,247.0,
50,208.0,210.0,258.0,232.0,
51,208.0,209.0,257.0,230.0,
52,208.0,210.0,284.0,247.0,
53,208.0,208.0,285.0,246.0,
54,207.0,208.0,261.0,228.0,
55,206.0,207.0,255.0,227.0,
56,208.0,209.0,257.0,230.0,
57,205.0,209.0,283.0,247.0,
58,205.0,209.0,280.0,242.0,
59,205.0,207.0,269.0,233.0,
