step,mic0,mic1,mic2,mic3,
0,4,5,4,3,
1,3,4,4,4,
2,2,2,2,2,
3,1,1,2,1,
4,2,2,1,2,
5,2,2,2,2,
6,3,4,3,2,
7,2,2,2,2,
8,3,2,3,3,
9,3,3,4,1,
10,2,2,1,2,
11,2,2,2,3,
12,4,4,4,3,
13,2,2,2,2,
14,3,1,3,3,
15,2,4,3,2,
16,2,1,2,1,
17,2,1,2,2,
18,1,2,2,2,
19,1,2,2,2,
20,2,3,3,2,
21,2,1,2,1,
22,2,2,2,2,
23,2,2,2,3,
24,2,3,3,2,
25,2,2,1,1,
26,2,1,3,2,
27,1,2,2,1,
28,2,2,2,2,
29,3,2,4,3,
30,3,3,2,2,
31,2,1,2,2,
32,2,2,3,2,
33,1,2,2,2,
34,2,3,3,2,
35,2,1,2,2,
36,1,1,2,1,
37,2,3,3,3,
38,2,1,2,2,
39,1,1,1,1,
40,2,3,2,3,
41,2,2,2,2,
42,1,1,2,1,
43,2,4,4,3,
44,187,194,260,257,
45,185,187,256,252,
46,183,189,259,252,
47,183,187,257,250,
48,182,187,256,250,
49,181,186,254,248,
50,183,188,254,248,
51,186,189,257,252,
52,184,186,256,250,
53,184,186,255,249,
54,187,189,257,251,
55,186,188,255,250,
56,185,188,254,248,
57,189,191,257,251,
58,186,189,256,250,
59,185,189,255,249,
60,186,190,257,250,
61,186,189,255,249,
62,185,189,255,249,
63,188,192,258,252,
64,187,191,256,250,
65,186,189,255,249,
66,188,192,257,251,
67,186,190,255,249,
68,185,189,254,248,
69,189,193,257,251,
70,187,191,256,250,
71,185,188,254,248,
72,188,192,258,251,
73,187,190,256,250,
74,187,190,255,250,
75,188,191,257,250,
76,189,193,257,250,
77,187,191,256,250,
78,187,192,257,250,
79,186,189,256,249,
80,187,191,256,250,
81,188,193,257,251,
82,187,190,255,249,
83,187,191,257,250,
84,188,193,257,250,
85,186,190,256,249,
86,188,192,257,250,
87,188,192,257,251,
88,186,190,256,249,
89,188,192,258,250,
90,187,191,256,250,
91,186,189,255,248,
92,189,192,257,250,
93,37,42,30,36,
94,9,11,9,8,
95,8,8,7,5,
96,7,6,10,4,
97,8,8,8,5,
98,8,9,4,5,
99,4,6,4,4,
100,5,6,5,6,
101,5,3,4,5,
102,4,5,4,4,
103,4,4,4,4,
104,3,2,5,4,
105,3,4,3,3,
106,3,4,4,4,
107,4,1,4,3,
108,3,3,4,3,
109,4,4,4,3,
110,4,1,4,4,
111,3,2,4,3,
112,4,3,4,3,
113,4,1,4,4,
114,3,3,4,3,
115,3,4,4,4,
116,4,1,4,4,
117,3,3,4,3,
118,4,5,5,4,
119,4,1,4,4,
120,3,3,4,4,
121,4,4,4,4,
122,4,1,4,4,
123,3,2,4,4,
124,3,4,3,3,
125,4,2,4,4,
126,4,3,4,4,
127,4,3,4,4,
128,3,3,4,3,
129,4,2,4,4,
130,4,4,4,4,
131,4,5,4,4,
132,4,2,4,4,
133,4,4,5,4,
134,3,4,3,3,
135,4,2,4,4,
136,4,4,4,5,
137,3,5,4,3,
138,4,1,4,4,
139,4,2,4,4,
140,4,5,4,4,
141,5,3,5,4,
142,4,3,5,4,
143,3,4,4,3,
144,4,3,4,5,
145,5,3,4,4,
146,4,5,4,3,
147,4,3,5,4,
148,5,3,5,5,
149,5,6,6,5,
150,5,4,6,6,
151,5,4,6,5,
152,5,6,6,5,
153,5,3,5,5,
154,5,4,6,5,
155,5,6,6,5,
156,5,3,5,4,
157,4,2,5,5,
158,4,5,4,5,
159,4,3,5,5,
160,4,1,6,4,
161,4,5,5,5,
162,4,2,5,4,
163,4,1,5,4,
164,5,6,6,5,
165,5,4,5,4,
166,4,2,5,4,
167,5,6,5,5,
168,4,4,4,4,
169,6,4,7,6,
170,5,7,6,6,
171,5,5,6,5,
172,5,1,6,5,
173,5,6,5,4,
174,5,4,5,4,
175,6,2,6,5,
176,4,5,4,4,
177,4,3,4,4,
178,5,1,5,4,
179,4,4,4,4,
180,4,3,4,4,
181,5,1,5,4,
182,5,5,5,4,
183,4,4,5,4,
184,4,1,5,5,
185,4,5,4,4,
186,5,4,5,4,
187,5,1,6,6,
188,4,5,4,4,
189,4,5,5,4,
190,4,2,5,5,
191,4,5,4,4,
192,4,5,4,5,
193,5,1,5,5,
194,4,5,4,4,
195,4,5,5,5,
196,5,2,6,6,
197,4,4,4,4,
198,5,6,5,5,
199,8,6,8,7,
