step,mic0,mic1,mic2,mic3,
0,1,2,1,1,
1,1,2,2,2,
2,2,2,3,2,
3,1,1,1,1,
4,1,2,2,1,
5,1,2,1,1,
6,1,1,1,1,
7,1,1,1,2,
8,1,1,1,1,
9,1,1,1,1,
10,1,1,1,1,
11,1,1,1,0,
12,0,1,1,0,
13,1,1,0,0,
14,1,1,1,1,
15,1,2,2,1,
16,1,2,1,1,
17,1,1,1,1,
18,1,2,1,1,
19,1,1,1,1,
20,1,1,1,1,
21,0,0,0,0,
22,0,0,0,0,
23,0,0,1,0,
24,1,1,1,1,
25,0,1,0,0,
26,1,1,1,1,
27,0,1,0,0,
28,0,0,0,0,
29,0,0,0,0,
30,0,0,1,1,
31,0,1,1,0,
32,0,0,0,0,
33,0,1,1,1,
34,0,0,0,0,
35,1,1,1,1,
36,0,1,1,0,
37,1,1,1,1,
38,0,1,1,1,
39,0,0,1,0,
40,0,1,0,1,
41,0,1,0,0,
42,0,0,0,1,
43,1,0,1,1,
44,0,1,0,0,
45,78,83,84,98,
46,79,83,83,97,
47,79,81,79,98,
48,78,80,84,102,
49,77,85,82,98,
50,80,91,85,100,
51,79,91,83,96,
52,78,91,82,96,
53,77,90,81,96,
54,76,90,82,95,
55,76,90,82,95,
56,75,90,81,94,
57,76,92,82,94,
58,76,92,82,94,
59,76,92,82,94,
60,76,91,81,94,
61,75,92,81,94,
62,76,92,82,94,
63,75,92,82,94,
64,76,92,83,94,
65,76,93,83,94,
66,76,93,83,95,
67,77,93,82,94,
68,76,93,83,94,
69,77,94,82,94,
70,76,92,82,94,
71,76,93,82,93,
72,76,93,84,94,
73,76,93,83,94,
74,78,94,83,95,
75,77,93,82,94,
76,76,93,83,94,
77,77,93,83,95,
78,76,92,82,95,
79,76,92,83,94,
80,75,92,82,93,
81,76,93,82,94,
82,77,93,83,94,
83,76,93,82,93,
84,76,93,82,93,
85,76,93,83,94,
86,77,94,83,94,
87,77,93,84,95,
88,77,93,84,94,
89,77,93,83,95,
90,77,95,85,95,
91,78,95,85,96,
92,77,93,84,94,
93,79,96,86,95,
94,7,17,12,7,
95,7,14,7,7,
96,7,15,11,7,
97,9,16,10,10,
98,8,11,8,8,
99,6,7,8,8,
100,4,3,3,5,
101,4,4,4,4,
102,4,4,4,4,
103,4,4,4,5,
104,2,3,3,3,
105,3,3,3,3,
106,2,3,3,2,
107,2,2,2,2,
108,1,1,2,2,
109,1,1,1,1,
110,1,2,2,2,
111,1,2,2,1,
112,1,1,2,1,
113,3,2,2,3,
114,3,3,2,3,
115,2,2,2,3,
116,2,2,3,2,
117,3,4,3,3,
118,2,2,2,2,
119,2,2,2,3,
120,1,1,2,2,
121,1,1,1,1,
122,1,1,1,2,
123,1,1,1,1,
124,1,0,1,1,
125,1,1,1,1,
126,1,0,0,1,
127,0,0,0,0,
128,0,1,1,0,
129,0,1,0,0,
130,1,1,0,0,
131,2,1,1,1,
132,1,2,2,1,
133,1,2,2,1,
134,1,2,1,1,
135,1,1,1,1,
136,1,1,1,1,
137,1,1,1,1,
138,1,1,1,0,
139,0,1,0,1,
140,1,0,0,0,
141,0,1,0,0,
142,1,1,1,0,
143,0,0,1,1,
144,0,0,0,0,
145,0,0,0,0,
146,0,0,0,0,
147,0,0,0,0,
148,0,0,0,0,
149,0,0,0,0,
150,0,1,0,0,
151,0,0,0,0,
152,0,1,0,0,
153,0,0,0,1,
154,0,0,0,0,
155,0,1,0,0,
156,1,1,0,1,
157,1,0,1,1,
158,1,1,1,1,
159,1,1,1,1,
160,2,2,1,1,
161,1,2,2,2,
162,1,2,2,1,
163,1,1,1,1,
164,1,1,2,1,
165,1,1,1,1,
166,1,1,1,1,
167,1,1,1,1,
168,1,2,2,1,
169,1,1,1,1,
170,1,2,2,1,
171,1,1,1,1,
172,1,1,2,1,
173,1,2,2,1,
174,1,2,2,1,
175,1,2,2,2,
176,2,4,3,2,
177,2,2,2,2,
178,2,2,2,2,
179,1,1,1,1,
180,1,1,1,1,
181,1,1,1,1,
182,3,3,2,2,
183,2,2,2,2,
184,1,1,2,1,
185,1,2,1,1,
186,1,2,1,1,
187,1,1,1,1,
188,1,1,1,0,
189,1,1,0,0,
190,1,1,1,1,
191,0,1,1,1,
192,1,1,1,0,
193,1,1,1,1,
194,1,1,1,0,
195,0,1,1,1,
196,1,1,0,0,
197,0,0,0,1,
198,1,1,1,1,
199,1,1,1,0,
