Angle,mic0,mic1,mic2,mic3
39,189.0,241.0,317.0,209.0,
40,163.0,206.0,291.0,178.0,
41,187.0,231.0,307.0,205.0,
42,187.0,231.0,308.0,204.0,
43,176.0,221.0,298.0,186.0,
44,188.0,232.0,307.0,206.0,
45,179.0,223.0,298.0,187.0,
46,187.0,230.0,308.0,204.0,
47,186.0,230.0,307.0,203.0,
48,186.0,231.0,308.0,203.0,
49,179.0,222.0,297.0,187.0,
50,188.0,231.0,308.0,206.0,
51,187.0,230.0,306.0,204.0,
52,187.0,230.0,307.0,204.0,
53,180.0,224.0,298.0,188.0,
54,179.0,223.0,298.0,187.0,
55,179.0,222.0,296.0,187.0,
56,188.0,231.0,307.0,205.0,
57,188.0,231.0,308.0,206.0,
58,179.0,223.0,297.0,187.0,
59,179.0,223.0,297.0,187.0,
