Angle,mic0,mic1,mic2,mic3
39,111.0,163.0,159.0,113.0,
40,126.0,183.0,160.0,115.0,
41,119.0,171.0,154.0,106.0,
42,113.0,167.0,152.0,110.0,
43,115.0,168.0,149.0,103.0,
44,128.0,178.0,157.0,115.0,
45,117.0,166.0,152.0,103.0,
46,127.0,169.0,151.0,118.0,
47,117.0,163.0,156.0,111.0,
48,121.0,163.0,145.0,113.0,
49,131.0,173.0,155.0,123.0,
50,126.0,172.0,159.0,117.0,
51,118.0,161.0,141.0,111.0,
52,121.0,165.0,158.0,115.0,
53,130.0,182.0,157.0,117.0,
54,125.0,176.0,157.0,112.0,
55,132.0,180.0,163.0,120.0,
56,131.0,176.0,158.0,119.0,
57,121.0,165.0,147.0,111.0,
58,121.0,169.0,160.0,112.0,
59,128.0,180.0,160.0,118.0,
