Angle,mic0,mic1,mic2,mic3
39,241.0,194.0,187.0,286.0,
40,249.0,201.0,213.0,290.0,
41,262.0,220.0,227.0,302.0,
42,251.0,220.0,222.0,287.0,
43,255.0,228.0,227.0,305.0,
44,249.0,224.0,218.0,283.0,
45,257.0,228.0,220.0,307.0,
46,257.0,224.0,221.0,307.0,
47,239.0,218.0,213.0,283.0,
48,257.0,223.0,215.0,307.0,
49,247.0,229.0,224.0,285.0,
50,255.0,232.0,223.0,306.0,
51,247.0,233.0,226.0,284.0,
52,267.0,254.0,241.0,300.0,
53,242.0,229.0,221.0,278.0,
54,249.0,237.0,228.0,291.0,
55,258.0,223.0,216.0,308.0,
56,248.0,235.0,224.0,279.0,
57,254.0,243.0,233.0,305.0,
58,258.0,230.0,223.0,308.0,
59,234.0,223.0,211.0,279.0,
