step,state,x_center,y_center,width,height,conf,label,ground_left,ground_middle,ground_right,ds_pid,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
0, DETECTION, 108.48104858398438, 87.90347290039062, 99.31619, 52.613586, 0.6641428470611572, Red Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 33.11845779418945, 30.414104461669922, 63.247765, 60.478584, 0.41997554898262024, Epuck, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 108.88580322265625, 87.10295104980469, 98.00357, 54.88031, 0.8824264407157898, Black Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 108.48104858398438, 87.90347290039062, 99.31619, 52.613586, 0.6641428470611572, Red Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 33.11845779418945, 30.414104461669922, 63.247765, 60.478584, 0.41997554898262024, Epuck, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 118.57579803466797, 86.85610961914062, 81.87889, 57.240295, 0.8848860859870911, Black Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 44.495880126953125, 30.466083526611328, 91.07315, 61.158882, 0.6789669394493103, Epuck, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 117.4791259765625, 87.44035339355469, 83.1879, 54.385483, 0.5584890246391296, Red Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 118.57579803466797, 86.85610961914062, 81.87889, 57.240295, 0.8848860859870911, Black Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 44.495880126953125, 30.466083526611328, 91.07315, 61.158882, 0.6789669394493103, Epuck, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 117.4791259765625, 87.44035339355469, 83.1879, 54.385483, 0.5584890246391296, Red Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 119.77487182617188, 88.011474609375, 80.125984, 55.65509, 0.9057583212852478, Black Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 119.10711669921875, 87.89269256591797, 81.04932, 54.560745, 0.4453332722187042, Red Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 82.02976989746094, 28.87281036376953, 159.25876, 59.98262, 0.28100842237472534, Epuck, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 119.77487182617188, 88.011474609375, 80.125984, 55.65509, 0.9057583212852478, Black Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 119.10711669921875, 87.89269256591797, 81.04932, 54.560745, 0.4453332722187042, Red Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 82.02976989746094, 28.87281036376953, 159.25876, 59.98262, 0.28100842237472534, Epuck, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 139.2939910888672, 87.56089782714844, 41.644806, 59.868866, 0.9203439950942993, Black Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 12.671697616577148, 10.34009075164795, 25.252857, 20.638422, 0.3116340935230255, Blue Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 139.2939910888672, 87.56089782714844, 41.644806, 59.868866, 0.9203439950942993, Black Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
0, DETECTION, 12.671697616577148, 10.34009075164795, 25.252857, 20.638422, 0.3116340935230255, Blue Block, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
