step,mic0,mic1,mic2,mic3,
0,6,5,7,6,
1,6,3,7,6,
2,6,7,7,6,
3,6,2,6,6,
4,6,5,7,6,
5,5,6,6,5,
6,6,4,6,6,
7,6,4,6,6,
8,5,6,6,5,
9,6,4,6,6,
10,6,3,6,6,
11,6,7,6,6,
12,6,2,6,5,
13,5,2,5,5,
14,7,7,7,6,
15,5,2,6,4,
16,4,1,4,4,
17,7,9,7,6,
18,4,2,6,5,
19,5,2,6,5,
20,6,8,7,7,
21,5,2,5,5,
22,6,2,6,6,
23,6,7,6,6,
24,5,2,5,5,
25,4,6,5,4,
26,5,4,6,5,
27,6,3,7,6,
28,4,6,5,5,
29,6,4,6,6,
30,6,4,6,6,
31,3,5,4,3,
32,6,6,6,5,
33,6,4,6,6,
34,3,5,3,3,
35,6,5,6,6,
36,5,3,6,6,
37,5,5,4,4,
38,6,4,6,6,
39,5,2,5,5,
40,3,5,4,4,
41,5,5,6,5,
42,5,3,5,5,
43,195,212,292,248,
44,171,192,276,231,
45,161,182,270,222,
46,166,187,273,226,
47,168,190,271,226,
48,171,194,276,228,
49,168,192,275,229,
50,168,191,274,227,
51,174,201,278,231,
52,172,198,275,227,
53,169,195,274,225,
54,171,196,277,227,
55,168,195,276,226,
56,167,192,274,224,
57,171,197,278,228,
58,171,196,276,226,
59,168,194,274,225,
60,172,198,277,227,
61,170,195,276,225,
62,168,193,273,224,
63,171,197,276,227,
64,172,197,276,228,
65,168,194,274,225,
66,171,197,277,227,
67,171,196,277,226,
68,168,193,273,223,
69,170,196,276,226,
70,172,198,277,228,
71,168,193,273,224,
72,171,197,276,227,
73,172,197,277,227,
74,169,195,274,225,
75,171,197,277,227,
76,172,198,277,226,
77,169,194,274,224,
78,171,198,276,227,
79,172,197,276,227,
80,168,193,273,223,
81,171,196,276,226,
82,171,197,277,226,
83,169,194,273,225,
84,171,198,277,226,
85,171,197,276,227,
86,171,196,276,226,
87,170,197,275,224,
88,169,195,273,224,
89,172,198,276,227,
90,171,196,276,227,
91,168,194,272,223,
92,172,197,275,226,
93,19,17,25,18,
94,10,17,16,8,
95,10,11,9,8,
96,7,10,10,6,
97,7,8,6,4,
98,6,4,6,6,
99,5,5,5,5,
100,5,7,4,5,
101,5,4,5,5,
102,5,4,5,4,
103,5,6,6,5,
104,5,4,5,4,
105,5,4,5,4,
106,5,6,5,5,
107,4,2,5,4,
108,4,3,4,4,
109,4,4,4,4,
110,4,2,4,4,
111,4,3,4,4,
112,4,5,4,4,
113,4,2,4,4,
114,4,4,4,4,
115,3,4,3,4,
116,4,2,4,4,
117,4,2,4,4,
118,4,5,4,4,
119,4,2,4,4,
120,4,3,5,4,
121,4,5,5,4,
122,4,3,4,4,
123,4,3,4,4,
124,4,4,3,3,
125,4,2,4,4,
126,3,2,4,3,
127,3,3,3,3,
128,4,3,4,3,
129,4,2,4,4,
130,3,4,3,3,
131,4,3,4,4,
132,4,2,4,4,
133,3,4,3,3,
134,3,3,4,3,
135,4,2,4,4,
136,3,4,2,2,
137,4,2,4,3,
138,4,2,3,3,
139,2,2,2,2,
140,3,3,3,3,
141,3,1,4,4,
142,2,3,3,1,
143,4,4,4,3,
144,3,1,4,3,
145,2,2,3,2,
146,3,3,4,2,
147,3,2,3,4,
148,2,3,3,2,
149,2,2,2,2,
150,2,1,3,3,
151,2,2,2,2,
152,3,3,3,3,
153,3,1,2,3,
154,2,3,2,2,
155,3,4,3,3,
156,3,1,3,3,
157,2,3,3,2,
158,3,4,3,3,
159,3,2,3,3,
160,2,3,2,2,
161,2,3,3,2,
162,3,2,3,3,
163,2,3,3,2,
164,2,3,3,2,
165,2,2,3,2,
166,2,3,2,2,
167,3,3,3,3,
168,3,2,3,3,
169,1,2,2,2,
170,2,2,3,2,
171,3,3,3,3,
172,1,2,1,1,
173,2,1,2,2,
174,2,2,3,2,
175,2,2,2,2,
176,2,1,2,2,
177,3,1,3,3,
178,1,2,2,1,
179,2,2,2,2,
180,3,1,3,3,
181,2,2,2,1,
182,2,1,3,2,
183,2,1,3,2,
184,2,3,2,2,
185,2,2,3,2,
186,3,1,3,2,
187,1,1,1,1,
188,2,2,3,2,
189,3,2,3,3,
190,2,2,2,1,
191,3,2,4,3,
192,3,1,3,4,
193,2,3,2,2,
194,3,3,3,2,
195,3,1,3,3,
196,1,1,2,2,
197,3,3,3,2,
198,2,1,3,2,
199,2,2,1,2,
